" -F1882,S1621+F4756,S4757"," -F1882,S1621+F4758,S4759"," -F1882,S1621+F4784,S4785"," -F1882,S1621+F1796,S1795"," -F1882,S1621+F4728,S4729"," -F1882,S1621+F1889,S1628"," -F1882,S1621+F1995,S1736"," -F1882,S1621+F1516,S1774"," -F1882,S1621+F1714,S1715"," -F1878,S1879+F4777,S4778"," -F1878,S1879+F1631,S1632"," -F4879,S4880+F1851,S1852"," -F4879,S4880+F1658,S1659"," -F4741,S4742+F1907,S1908"," -F4741,S4742+F1602,S1603"," -F4877,S4878+F1849,S1850"," -F4877,S4878+F1660,S1661"," -F4765,S4766+F1876,S1877"," -F4765,S4766+F1633,S1634"," -F4743,S4744+F1905,S1906"," -F4743,S4744+F1604,S1605"," -F1616,S1617+F1895,S1896"," -F4838,S4839+F1805,S1806"," -F4674,S4675+F1544,S1545"," -F4841,S4842+F1813,S1814"," -F4836,S4837+F1810,S1811"," -F4787,S4788+F1801,S1802"," -F4843,S4844+F1817,S1818"," -F4845,S4846+F1830,S1831"," -F4790,S4791+F1823,S1824"," -F4780,S4781+F1821,S1822"," -F4847,S4848+F1837,S1838"," -F4832,S4833+F1834,S1835"," -F4725,S4726+F1541,S1542"," -F4676,S4677+F1549,S1550"," -F4671,S4672+F1553,S1554"," -F4669,S4670+F1556,S1557"," -F4732,S4733+F1562,S1563"," -F4722,S4723+F1564,S1565"," -F4667,S4668+F1570,S1571"," -F4680,S4681+F1573,S1574"," -F4665,S4666+F1577,S1578"," -F4849,S4850+F1842,S1843"," -F4851,S4852+F1846,S1847"," -F4794,S4795+F1857,S1858"," -F4828,S4829+F1859,S1860"," -F4774,S4775+F1861,S1862"," -F4826,S4827+F1870,S1871"," -F4797,S4798+F1868,S1869"," -F4772,S4773+F1866,S1867"," -F4735,S4736+F1614,S1615"," -F4737,S4738+F1594,S1595"," -F4718,S4719+F1596,S1597"," -F4663,S4664+F1582,S1583"," -F4661,S4662+F1585,S1586"," -F4739,S4740+F1598,S1599"," -F4715,S4716+F1610,S1611"," -F4684,S4685+F1608,S1609"," -F4686,S4687+F1612,S1613"," -F4633,S4634+F1874,S1875"," -F4824,S4825+F1639,S1640"," -F4799,S4800+F1641,S1642"," -F4770,S4771+F1643,S1644"," -F4822,S4823+F1650,S1651"," -F4768,S4769+F1648,S1649"," -F4856,S4857+F1924,S1925"," -F4802,S4803+F1652,S1653"," -F4858,S4859+F1927,S1928"," -F4713,S4714+F1899,S1900"," -F4745,S4746+F1911,S1912"," -F4688,S4689+F1897,S1898"," -F4635,S4636+F1635,S1636"," -F4690,S4691+F1901,S1902"," -F4747,S4748+F1915,S1916"," -F4710,S4711+F1913,S1914"," -F4749,S4750+F1893,S1894"," -F4656,S4657+F1663,S1664"," -F4654,S4655+F1667,S1668"," -F4860,S4861+F1932,S1933"," -F4818,S4819+F1936,S1937"," -F4862,S4863+F1939,S1940"," -F4806,S4807+F1945,S1946"," -F4762,S4763+F1947,S1948"," -F4864,S4865+F1953,S1954"," -F4866,S4867+F1956,S1957"," -F4814,S4815+F1960,S1961"," -F4809,S4810+F1968,S1969"," -F4706,S4707+F1686,S1687"," -F4752,S4753+F1688,S1689"," -F4694,S4695+F1675,S1676"," -F4652,S4653+F1672,S1673"," -F4650,S4651+F1679,S1680"," -F4648,S4649+F1692,S1693"," -F4703,S4704+F1708,S1709"," -F4698,S4699+F1699,S1700"," -F4646,S4647+F1696,S1697"," -F4812,S4813+F1965,S1966"," -F4700,S4701+F1704,S1705"
112.75,113.07,107.08,82.58,106.85,12.08,88.43,80.08,91.07,128.91,299.44,371.48,709.29,385.60,166.29,431.25,656.09,248.54,326.32,356.35,174.03,200.41,310.51,308.37,360.46,308.82,218.03,303.03,316.37,154.49,138.16,292.55,230.16,221.52,304.76,347.46,315.28,139.22,159.23,318.28,251.63,309.66,284.94,305.29,407.59,256.13,422.33,462.42,332.37,396.75,142.49,59.90,341.32,303.74,331.02,254.37,500.83,392.93,316.83,636.65,525.31,530.64,392.55,450.73,421.52,290.92,469.95,285.31,517.56,369.27,498.99,358.34,453.21,353.92,379.47,272.72,314.25,288.58,275.84,243.91,289.87,146.92,129.37,291.24,343.87,289.80,204.40,149.53,131.68,238.91,294.59,297.66,302.92,209.08,288.59,345.04,292.77,288.30
113.39,113.82,107.73,83.64,108.00,12.10,89.21,81.06,91.79,136.38,298.72,369.42,709.81,370.88,163.26,427.24,654.97,259.10,334.70,344.72,168.07,205.98,297.60,330.03,346.89,295.81,214.06,300.88,315.29,156.49,139.61,286.99,227.84,232.98,311.17,372.71,335.08,137.43,156.14,332.65,264.38,322.16,288.23,304.32,398.30,260.97,414.95,447.43,338.86,393.93,151.30,61.32,351.88,318.36,343.43,252.26,514.93,405.00,312.91,658.38,526.09,534.27,383.77,449.85,410.63,293.63,479.88,284.65,530.97,357.01,514.22,372.44,470.69,348.22,395.21,287.35,327.68,299.18,277.31,241.69,294.28,149.08,129.59,291.88,350.00,287.44,207.80,150.57,133.07,248.72,304.26,303.82,310.45,210.34,299.24,357.61,292.60,294.26
114.15,114.74,108.83,84.22,108.70,12.29,90.33,81.36,93.56,140.17,321.84,381.81,698.09,378.23,168.79,453.71,642.27,263.33,337.51,349.50,174.02,214.41,333.53,333.93,385.53,337.15,237.76,332.49,341.04,157.81,142.68,313.77,247.04,239.58,317.31,361.23,329.08,143.15,163.05,321.65,260.71,317.22,307.05,324.90,431.81,255.88,459.12,480.95,331.47,427.31,155.85,63.60,358.95,314.35,344.96,259.36,523.73,409.83,321.48,684.79,556.34,569.60,387.99,477.92,412.87,308.68,498.66,297.70,551.17,361.17,524.86,370.06,482.15,353.08,408.64,297.38,322.98,298.42,291.08,250.56,304.89,156.12,137.18,301.69,367.98,303.71,220.98,151.39,134.96,252.54,310.24,309.69,316.58,224.21,307.00,366.63,312.84,305.08
118.92,118.87,112.70,87.51,112.11,12.54,92.92,84.38,96.24,151.55,344.74,408.01,686.34,373.18,165.56,471.72,628.72,271.01,355.71,346.57,169.90,227.18,355.00,355.87,401.71,346.69,251.07,347.32,356.35,166.69,148.64,324.11,264.45,254.16,346.52,397.55,356.07,149.19,170.11,356.18,290.60,348.31,320.29,343.03,461.83,253.88,497.87,509.10,325.38,457.66,170.24,69.57,383.59,340.05,371.48,260.50,555.88,437.00,313.21,721.98,595.06,610.59,380.35,514.12,409.30,329.63,546.84,314.32,596.90,358.98,567.92,394.56,519.38,351.59,443.62,318.41,352.92,320.72,310.47,272.64,321.53,161.95,141.78,323.90,387.25,325.37,239.97,161.95,141.80,268.89,325.61,326.12,326.87,234.75,317.29,376.50,327.75,311.88
109.11,108.12,101.19,79.64,102.01,11.43,84.92,76.03,89.29,150.75,303.05,345.27,619.46,338.10,155.74,398.23,570.32,263.91,344.72,314.82,156.55,225.08,284.99,326.36,319.18,282.26,205.33,282.00,287.65,151.03,136.27,263.31,213.45,229.69,304.95,366.57,326.75,138.79,155.71,327.15,258.78,319.32,259.84,275.89,373.07,234.21,405.62,415.60,298.64,373.50,177.54,67.03,351.52,313.14,339.61,244.89,515.09,405.04,297.23,653.54,503.40,519.92,342.87,431.79,370.80,267.50,462.86,259.91,522.31,325.56,504.28,376.04,465.30,319.99,386.69,326.62,325.66,298.78,260.29,224.52,268.87,148.60,129.57,268.33,318.96,272.78,196.11,152.78,135.17,252.38,307.99,308.91,311.21,213.24,296.22,357.83,278.12,297.78
113.12,112.73,101.87,79.89,102.94,11.71,87.68,76.29,91.76,150.08,307.20,340.37,615.97,339.56,155.23,392.08,567.38,263.46,346.20,316.03,156.49,223.26,287.09,327.30,325.21,286.88,209.49,282.98,290.37,151.35,135.63,272.44,214.69,232.76,307.11,367.50,328.95,139.89,157.70,328.81,256.92,317.27,262.49,276.68,378.76,233.29,411.89,419.73,295.26,382.86,175.93,66.76,355.65,315.60,341.63,243.31,522.48,408.49,295.30,668.00,514.13,528.02,343.86,438.51,372.68,272.98,467.70,258.06,529.62,327.24,519.08,382.77,468.88,320.80,394.00,324.81,335.19,307.43,262.03,230.59,270.92,149.32,132.57,277.44,322.53,280.11,203.96,157.28,139.74,262.79,318.92,320.68,321.07,226.37,309.18,371.69,285.06,311.12
127.42,128.08,117.48,90.74,117.36,13.18,99.59,88.27,102.35,154.18,350.04,411.83,693.64,377.43,167.88,476.51,637.36,275.94,361.92,352.30,170.55,229.24,352.08,355.27,405.53,347.19,250.10,349.78,356.52,175.20,154.48,333.55,264.19,255.56,346.92,398.61,352.93,156.67,175.97,358.73,286.95,346.89,319.32,339.85,472.01,255.40,500.34,517.29,327.61,463.97,175.17,69.49,381.34,345.97,371.65,263.20,570.31,447.20,318.09,740.70,610.51,617.93,385.24,534.03,416.89,342.36,549.05,320.64,601.10,364.73,588.75,402.83,524.39,356.68,448.25,323.31,361.66,327.40,322.66,281.82,331.11,170.03,150.94,348.48,407.02,344.18,256.31,171.88,149.37,279.20,336.91,337.78,343.16,253.59,332.87,400.08,350.19,329.82
123.30,123.38,113.07,87.06,112.62,12.93,96.03,84.73,98.86,141.18,327.17,390.47,694.06,372.88,166.17,460.71,640.14,263.31,337.75,345.65,171.46,214.01,331.41,334.43,384.84,336.25,237.89,333.38,340.84,163.97,147.32,326.33,252.82,241.74,318.13,362.60,325.91,148.63,167.41,323.76,261.94,315.91,312.65,330.36,446.04,253.75,471.50,497.69,329.27,436.89,159.01,64.67,360.07,317.51,349.04,258.93,537.15,418.80,318.71,702.76,575.03,587.02,384.78,503.22,412.96,323.04,515.09,305.72,568.50,358.43,551.71,376.47,503.03,350.17,425.72,296.42,342.92,317.59,305.38,264.27,319.34,163.64,145.85,327.94,390.26,323.39,235.69,158.95,141.67,269.84,327.27,328.16,337.53,244.03,333.71,391.46,334.83,328.92
111.07,111.29,101.94,78.95,102.25,11.78,86.59,76.64,89.82,127.17,279.88,333.47,645.68,354.01,158.81,395.89,595.10,239.21,315.93,327.68,163.46,198.38,274.88,301.85,310.85,272.58,192.25,270.64,279.27,146.74,130.51,262.00,204.49,212.90,279.50,328.84,293.83,136.69,153.10,295.30,234.47,289.33,250.00,266.06,364.88,234.51,387.81,409.47,303.47,356.77,143.62,60.39,325.89,287.53,309.55,245.94,481.15,373.69,305.45,597.19,475.47,484.05,359.25,410.72,389.79,263.86,432.26,253.81,474.40,340.20,474.69,346.35,424.00,330.34,358.43,275.47,300.89,277.70,253.45,219.34,267.44,142.55,127.75,274.10,327.51,272.43,196.79,151.05,133.75,232.73,284.57,287.38,296.47,210.66,289.26,344.42,283.72,288.82
121.93,122.02,112.00,86.12,112.34,12.86,95.44,84.45,97.86,138.42,304.58,378.59,708.95,373.35,164.14,439.98,655.50,261.40,338.47,346.61,170.62,207.54,303.39,329.30,357.92,304.44,216.20,308.95,321.85,161.12,142.38,299.92,232.16,234.89,312.22,374.14,330.93,144.43,163.00,333.11,264.42,323.82,291.30,311.46,408.78,259.38,428.47,458.78,338.23,407.61,154.01,60.73,359.87,326.02,353.42,252.62,534.40,413.42,315.41,677.29,541.75,549.01,385.20,468.02,409.81,305.20,493.17,292.36,540.51,357.49,534.12,379.52,480.00,349.63,410.68,291.98,341.29,310.47,292.56,250.55,301.22,157.29,140.73,317.17,367.18,303.38,220.87,161.63,142.17,260.13,317.12,320.24,325.28,225.80,312.43,374.70,311.37,311.82
