" -F478,S217+F4228,S4229"," -F478,S217+F4230,S4231"," -F478,S217+F4256,S4257"," -F478,S217+F392,S391"," -F478,S217+F4200,S4201"," -F478,S217+F485,S224"," -F478,S217+F591,S332"," -F478,S217+F112,S370"," -F478,S217+F310,S311"," -F474,S475+F4249,S4250"," -F474,S475+F227,S228"," -F4351,S4352+F447,S448"," -F4351,S4352+F254,S255"," -F4213,S4214+F503,S504"," -F4213,S4214+F198,S199"," -F4349,S4350+F445,S446"," -F4349,S4350+F256,S257"," -F4237,S4238+F472,S473"," -F4237,S4238+F229,S230"," -F4215,S4216+F501,S502"," -F4215,S4216+F200,S201"," -F212,S213+F491,S492"," -F4310,S4311+F401,S402"," -F4146,S4147+F140,S141"," -F4313,S4314+F409,S410"," -F4308,S4309+F406,S407"," -F4259,S4260+F397,S398"," -F4315,S4316+F413,S414"," -F4317,S4318+F426,S427"," -F4262,S4263+F419,S420"," -F4252,S4253+F417,S418"," -F4319,S4320+F433,S434"," -F4304,S4305+F430,S431"," -F4197,S4198+F137,S138"," -F4148,S4149+F145,S146"," -F4143,S4144+F149,S150"," -F4141,S4142+F152,S153"," -F4204,S4205+F158,S159"," -F4194,S4195+F160,S161"," -F4139,S4140+F166,S167"," -F4152,S4153+F169,S170"," -F4137,S4138+F173,S174"," -F4321,S4322+F438,S439"," -F4323,S4324+F442,S443"," -F4266,S4267+F453,S454"," -F4300,S4301+F455,S456"," -F4246,S4247+F457,S458"," -F4298,S4299+F466,S467"," -F4269,S4270+F464,S465"," -F4244,S4245+F462,S463"," -F4207,S4208+F210,S211"," -F4209,S4210+F190,S191"," -F4190,S4191+F192,S193"," -F4135,S4136+F178,S179"," -F4133,S4134+F181,S182"," -F4211,S4212+F194,S195"," -F4187,S4188+F206,S207"," -F4156,S4157+F204,S205"," -F4158,S4159+F208,S209"," -F4105,S4106+F470,S471"," -F4296,S4297+F235,S236"," -F4271,S4272+F237,S238"," -F4242,S4243+F239,S240"," -F4294,S4295+F246,S247"," -F4240,S4241+F244,S245"," -F4328,S4329+F520,S521"," -F4274,S4275+F248,S249"," -F4330,S4331+F523,S524"," -F4185,S4186+F495,S496"," -F4217,S4218+F507,S508"," -F4160,S4161+F493,S494"," -F4107,S4108+F231,S232"," -F4162,S4163+F497,S498"," -F4219,S4220+F511,S512"," -F4182,S4183+F509,S510"," -F4221,S4222+F489,S490"," -F4128,S4129+F259,S260"," -F4126,S4127+F263,S264"," -F4332,S4333+F528,S529"," -F4290,S4291+F532,S533"," -F4334,S4335+F535,S536"," -F4278,S4279+F541,S542"," -F4234,S4235+F543,S544"," -F4336,S4337+F549,S550"," -F4338,S4339+F552,S553"," -F4286,S4287+F556,S557"," -F4281,S4282+F564,S565"," -F4178,S4179+F282,S283"," -F4224,S4225+F284,S285"," -F4166,S4167+F271,S272"," -F4124,S4125+F268,S269"," -F4122,S4123+F275,S276"," -F4120,S4121+F288,S289"," -F4175,S4176+F304,S305"," -F4170,S4171+F295,S296"," -F4118,S4119+F292,S293"," -F4284,S4285+F561,S562"," -F4172,S4173+F300,S301"
107.50,107.71,101.50,78.57,101.61,11.59,84.18,76.36,86.80,120.82,278.10,353.39,657.30,345.44,149.05,409.30,608.45,235.60,305.91,321.86,153.78,193.06,297.11,283.51,345.44,301.04,207.86,291.34,303.84,149.76,132.35,281.22,220.48,203.54,266.93,305.14,273.87,127.99,147.40,273.78,220.39,264.51,274.19,290.14,388.26,244.53,395.88,435.51,315.31,380.62,137.44,57.07,297.69,261.08,284.69,231.54,431.69,340.14,282.99,563.29,488.28,490.20,363.02,420.79,381.55,280.58,437.97,271.44,473.90,332.20,451.13,311.00,412.17,324.48,352.04,262.07,275.31,254.39,263.32,232.22,275.09,144.03,125.69,276.12,335.50,275.16,192.19,140.99,122.55,216.57,259.82,262.13,268.46,191.30,266.15,310.11,277.52,264.62
114.61,114.88,109.22,84.12,109.20,12.24,90.56,82.02,92.97,130.86,303.30,376.49,707.66,371.99,162.79,430.36,651.26,251.49,325.20,345.15,168.92,204.97,317.40,321.36,370.66,311.71,222.56,316.00,327.00,156.67,137.13,293.47,237.90,230.66,309.43,354.44,319.56,137.57,158.96,320.42,256.82,311.80,292.83,310.61,416.70,258.43,430.73,472.01,335.59,406.99,146.24,60.99,342.60,304.60,335.27,252.11,502.46,394.80,315.75,656.21,538.55,542.85,380.36,463.04,411.75,301.16,488.46,290.44,531.30,356.19,512.72,361.45,471.79,346.92,400.34,277.65,319.54,286.23,281.97,247.36,293.72,149.38,130.52,289.69,352.22,290.30,211.31,152.88,131.32,246.73,296.55,297.73,302.98,219.28,295.61,353.75,293.25,289.42
103.55,104.89,99.67,77.13,99.18,11.19,82.26,74.23,85.46,136.98,287.23,361.54,657.90,349.92,154.30,420.77,609.28,258.27,325.61,326.08,158.81,204.32,302.10,295.74,350.60,301.32,214.99,301.63,311.22,146.10,130.90,287.73,223.98,212.09,275.36,325.72,286.58,123.54,140.40,284.47,229.69,277.45,279.85,294.13,393.87,248.86,402.30,444.77,318.17,382.59,149.26,60.16,313.55,274.17,298.18,235.98,455.84,356.98,286.33,581.21,499.47,500.04,363.92,429.15,387.66,284.71,442.40,274.90,488.69,338.01,463.45,328.56,424.65,331.75,357.85,279.90,286.92,265.31,269.82,231.75,279.47,142.82,125.42,279.62,334.13,278.50,196.78,135.39,121.09,228.05,274.90,277.52,287.47,202.28,279.02,329.71,281.81,280.66
117.85,117.94,111.99,86.71,112.02,12.48,92.69,83.88,95.59,141.37,318.43,394.88,686.32,367.09,165.06,453.88,632.16,263.29,339.13,340.41,169.19,218.63,329.18,336.64,369.95,324.87,230.65,321.11,332.61,160.70,143.82,303.81,250.76,241.69,330.04,380.97,338.52,144.15,164.80,335.97,273.90,330.25,300.61,320.65,435.81,258.30,456.58,479.12,330.01,421.82,158.37,64.31,368.08,320.92,355.88,253.95,531.52,421.22,312.30,686.35,558.11,567.14,375.65,477.81,401.98,311.84,504.50,300.96,553.23,350.64,536.19,377.12,491.20,343.86,414.75,298.24,342.82,313.29,297.11,253.93,301.11,156.37,139.32,299.69,360.05,312.28,219.59,154.79,135.06,262.49,316.77,321.80,328.50,231.26,312.23,380.86,304.23,312.27
118.66,118.86,113.21,87.51,112.14,12.51,92.90,84.40,96.14,150.10,344.42,408.05,685.99,372.44,165.01,470.56,628.66,271.69,356.36,346.23,168.91,227.46,355.24,354.61,401.28,346.57,251.92,347.36,355.88,166.00,148.28,324.60,264.18,254.68,344.93,397.61,355.71,148.20,170.14,356.44,290.53,348.52,319.85,342.69,464.82,255.80,498.05,509.93,325.92,458.43,168.80,69.39,383.34,339.93,371.89,259.21,555.28,435.73,312.63,723.08,594.51,609.87,381.17,513.65,409.67,329.93,545.58,313.80,596.14,358.38,567.70,395.42,519.15,352.98,444.22,316.28,352.37,320.20,310.62,272.44,321.44,162.04,142.12,322.92,387.03,323.48,238.36,161.37,141.15,268.00,323.71,325.58,325.54,233.87,316.44,375.65,326.25,310.41
127.29,127.12,117.21,90.61,117.24,13.12,99.61,88.30,102.62,154.69,349.38,411.03,693.61,377.25,167.35,475.86,637.52,277.11,363.04,351.89,170.41,229.12,352.16,354.19,404.51,347.00,250.21,349.54,357.06,174.41,154.41,334.47,264.81,255.62,344.89,398.49,352.76,155.93,175.49,359.47,285.46,347.08,320.08,340.57,472.20,256.54,500.09,518.16,328.38,464.42,174.71,69.66,381.67,346.17,371.37,262.77,569.57,447.08,318.03,741.83,610.20,617.99,382.79,533.72,416.43,342.32,553.24,320.35,600.93,362.50,588.77,402.98,524.11,357.30,448.89,321.78,361.13,327.69,322.96,281.40,329.40,170.51,151.42,348.36,406.71,342.86,255.10,172.18,149.67,277.96,335.27,337.12,341.90,252.55,332.01,398.79,349.09,329.63
126.74,127.00,116.90,90.16,116.82,13.25,99.25,88.02,101.76,142.16,324.30,404.38,683.63,366.47,164.38,463.55,631.70,265.85,340.34,341.33,168.43,217.69,328.99,341.10,375.29,326.47,234.45,327.56,338.89,165.21,149.48,317.22,256.26,244.86,331.14,384.35,336.31,152.21,171.43,347.25,277.65,333.59,308.21,326.21,447.91,255.74,471.22,492.28,325.72,437.85,160.95,64.83,374.20,331.33,364.87,251.92,564.07,436.85,308.36,714.85,572.55,583.44,378.85,501.79,401.20,323.08,520.51,307.68,569.01,350.91,564.01,391.30,506.01,345.84,424.98,300.80,357.93,325.24,305.98,265.71,310.98,163.64,148.43,321.37,374.70,329.10,234.96,165.32,142.80,274.31,330.09,334.57,343.52,248.78,329.57,399.15,325.76,331.10
110.78,111.57,102.18,79.28,101.91,11.89,86.42,76.63,89.41,136.71,288.12,358.89,654.74,348.95,153.92,419.90,605.76,259.13,327.98,324.21,159.00,203.00,292.85,284.83,339.89,291.36,210.24,292.65,303.28,147.73,131.75,285.89,220.45,205.41,268.55,319.39,281.20,126.64,142.36,283.57,227.75,272.86,273.10,290.34,390.06,247.12,401.35,443.99,320.08,381.43,149.49,59.29,306.61,272.56,297.10,233.00,453.60,352.72,283.62,588.24,505.44,508.49,364.67,438.51,386.87,292.21,446.95,280.17,492.27,337.28,475.63,325.65,422.08,329.65,362.89,283.81,292.27,268.53,280.54,239.24,287.31,145.62,129.60,298.25,349.71,293.49,211.68,141.68,124.58,230.55,280.22,282.75,291.91,209.31,290.53,339.63,303.03,290.55
122.18,122.06,112.28,86.03,111.30,12.91,95.45,84.50,98.03,138.86,304.37,378.75,708.65,373.27,163.74,439.45,654.95,262.33,339.63,346.36,169.97,207.47,303.96,327.92,358.44,304.20,218.11,308.94,321.62,161.37,141.91,299.74,231.44,235.55,310.86,372.93,329.94,143.76,163.58,333.57,264.97,323.80,291.62,308.82,408.41,261.23,428.86,460.07,338.37,408.34,154.16,60.53,359.60,325.44,353.09,252.27,534.40,413.05,315.21,678.01,541.35,547.74,384.75,467.94,408.53,305.27,492.71,292.22,541.24,356.33,534.04,380.20,479.63,349.03,410.21,290.70,340.94,309.71,292.55,250.46,302.57,158.17,140.91,316.81,366.91,302.60,219.59,162.36,141.61,259.61,316.44,319.82,324.80,225.44,312.15,374.20,310.26,312.30
124.14,124.30,115.35,88.20,115.37,13.11,97.06,86.87,99.38,132.68,308.58,375.23,711.81,380.29,164.90,432.12,659.40,255.37,331.09,352.02,170.88,205.12,312.31,316.75,367.94,308.56,220.40,312.13,322.88,162.99,143.20,300.53,239.01,229.35,308.95,354.51,314.98,146.58,167.91,323.24,255.44,314.19,290.09,308.77,417.15,260.66,437.97,471.84,339.96,410.27,148.00,61.41,347.65,309.41,336.94,255.74,514.32,401.68,319.70,667.58,547.70,558.22,391.29,481.03,418.65,309.21,496.11,294.84,537.62,364.80,534.67,364.34,485.45,353.80,411.31,280.52,330.28,295.19,289.93,255.23,306.96,155.02,138.65,314.45,374.34,308.74,224.73,159.77,138.58,256.24,309.09,312.51,317.50,236.52,311.94,375.48,313.51,309.99
