" -F1180,S919+F4492,S4493"," -F1180,S919+F4494,S4495"," -F1180,S919+F4520,S4521"," -F1180,S919+F1094,S1093"," -F1180,S919+F4464,S4465"," -F1180,S919+F1187,S926"," -F1180,S919+F1293,S1034"," -F1180,S919+F814,S1072"," -F1180,S919+F1012,S1013"," -F1176,S1177+F4513,S4514"," -F1176,S1177+F929,S930"," -F4615,S4616+F1149,S1150"," -F4615,S4616+F956,S957"," -F4477,S4478+F1205,S1206"," -F4477,S4478+F900,S901"," -F4613,S4614+F1147,S1148"," -F4613,S4614+F958,S959"," -F4501,S4502+F1174,S1175"," -F4501,S4502+F931,S932"," -F4479,S4480+F1203,S1204"," -F4479,S4480+F902,S903"," -F914,S915+F1193,S1194"," -F4574,S4575+F1103,S1104"," -F4410,S4411+F842,S843"," -F4577,S4578+F1111,S1112"," -F4572,S4573+F1108,S1109"," -F4523,S4524+F1099,S1100"," -F4579,S4580+F1115,S1116"," -F4581,S4582+F1128,S1129"," -F4526,S4527+F1121,S1122"," -F4516,S4517+F1119,S1120"," -F4583,S4584+F1135,S1136"," -F4568,S4569+F1132,S1133"," -F4461,S4462+F839,S840"," -F4412,S4413+F847,S848"," -F4407,S4408+F851,S852"," -F4405,S4406+F854,S855"," -F4468,S4469+F860,S861"," -F4458,S4459+F862,S863"," -F4403,S4404+F868,S869"," -F4416,S4417+F871,S872"," -F4401,S4402+F875,S876"," -F4585,S4586+F1140,S1141"," -F4587,S4588+F1144,S1145"," -F4530,S4531+F1155,S1156"," -F4564,S4565+F1157,S1158"," -F4510,S4511+F1159,S1160"," -F4562,S4563+F1168,S1169"," -F4533,S4534+F1166,S1167"," -F4508,S4509+F1164,S1165"," -F4471,S4472+F912,S913"," -F4473,S4474+F892,S893"," -F4454,S4455+F894,S895"," -F4399,S4400+F880,S881"," -F4397,S4398+F883,S884"," -F4475,S4476+F896,S897"," -F4451,S4452+F908,S909"," -F4420,S4421+F906,S907"," -F4422,S4423+F910,S911"," -F4369,S4370+F1172,S1173"," -F4560,S4561+F937,S938"," -F4535,S4536+F939,S940"," -F4506,S4507+F941,S942"," -F4558,S4559+F948,S949"," -F4504,S4505+F946,S947"," -F4592,S4593+F1222,S1223"," -F4538,S4539+F950,S951"," -F4594,S4595+F1225,S1226"," -F4449,S4450+F1197,S1198"," -F4481,S4482+F1209,S1210"," -F4424,S4425+F1195,S1196"," -F4371,S4372+F933,S934"," -F4426,S4427+F1199,S1200"," -F4483,S4484+F1213,S1214"," -F4446,S4447+F1211,S1212"," -F4485,S4486+F1191,S1192"," -F4392,S4393+F961,S962"," -F4390,S4391+F965,S966"," -F4596,S4597+F1230,S1231"," -F4554,S4555+F1234,S1235"," -F4598,S4599+F1237,S1238"," -F4542,S4543+F1243,S1244"," -F4498,S4499+F1245,S1246"," -F4600,S4601+F1251,S1252"," -F4602,S4603+F1254,S1255"," -F4550,S4551+F1258,S1259"," -F4545,S4546+F1266,S1267"," -F4442,S4443+F984,S985"," -F4488,S4489+F986,S987"," -F4430,S4431+F973,S974"," -F4388,S4389+F970,S971"," -F4386,S4387+F977,S978"," -F4384,S4385+F990,S991"," -F4439,S4440+F1006,S1007"," -F4434,S4435+F997,S998"," -F4382,S4383+F994,S995"," -F4548,S4549+F1263,S1264"," -F4436,S4437+F1002,S1003"
112.05,112.85,105.64,81.68,105.75,11.90,88.13,79.16,90.88,127.72,289.93,364.49,682.35,365.97,157.74,416.13,630.07,243.48,319.53,338.90,161.73,202.28,304.22,302.03,357.29,300.91,207.44,305.93,314.31,153.94,138.12,284.70,230.83,214.44,292.36,333.85,299.02,137.78,156.64,303.52,243.83,294.30,284.66,300.75,397.61,250.36,406.05,444.04,325.69,389.32,142.52,58.48,325.55,292.89,317.64,244.75,474.02,369.70,299.92,620.90,508.37,513.04,379.41,436.89,404.92,291.46,455.52,282.79,502.48,354.37,485.28,345.28,443.13,341.39,374.09,275.02,304.87,278.40,274.51,239.19,286.76,147.40,131.81,285.91,338.90,287.54,202.67,145.93,127.19,239.05,285.87,288.19,289.23,206.62,280.20,340.84,278.42,281.61
112.07,112.11,106.00,81.93,105.59,12.01,87.77,79.13,90.73,132.86,294.89,381.77,708.49,378.39,165.25,443.10,652.74,250.05,327.99,350.55,171.17,206.00,309.95,317.44,358.97,305.11,211.88,307.37,323.90,153.06,137.65,297.08,233.82,227.84,312.76,361.06,321.26,135.80,156.33,321.89,252.76,310.74,289.47,312.29,407.61,259.68,424.92,463.15,338.35,399.75,143.58,61.05,342.41,302.75,324.48,257.99,501.38,395.36,324.99,636.38,523.10,526.74,386.93,450.61,415.62,299.35,474.75,291.49,519.27,363.15,495.70,360.24,451.97,352.33,382.69,280.77,311.73,284.19,283.52,250.76,299.76,149.23,130.34,297.16,355.07,300.04,209.48,147.82,130.43,242.11,293.67,299.43,301.26,209.97,291.13,346.86,297.23,295.85
113.95,113.85,108.05,83.20,107.28,12.06,89.33,80.63,92.52,137.05,315.32,374.16,673.33,363.03,163.71,436.16,620.86,255.10,330.92,336.17,168.29,211.30,328.42,322.58,373.36,322.08,228.07,317.17,330.21,155.92,139.12,301.52,241.41,235.27,319.28,368.99,327.36,137.76,155.60,330.85,263.46,318.63,291.63,308.59,416.85,250.02,445.71,464.77,321.02,410.93,153.54,62.40,360.42,312.58,346.82,250.65,527.26,411.50,305.94,673.13,540.00,547.85,371.16,460.66,396.98,293.71,480.52,284.09,543.37,348.33,521.87,372.67,480.70,341.91,402.99,294.58,332.45,308.79,277.03,246.29,288.87,151.99,135.54,290.17,345.75,297.68,207.81,146.04,126.75,259.03,314.67,315.23,323.74,224.74,306.42,377.16,291.31,310.49
118.07,118.75,113.07,87.36,112.97,12.61,92.89,84.19,96.80,146.51,319.45,398.95,685.62,375.30,167.02,470.26,631.20,271.34,352.00,347.58,170.96,229.67,318.18,366.32,370.72,320.75,226.90,319.90,335.55,166.00,147.76,305.71,245.41,259.81,347.63,402.24,366.46,147.73,168.58,362.01,285.17,352.28,301.96,323.36,432.74,258.54,459.77,483.79,332.00,431.28,164.88,67.94,379.77,341.25,366.47,262.12,557.03,437.88,322.12,706.73,562.06,568.18,380.29,482.44,412.30,307.72,515.04,300.90,564.21,360.10,556.55,403.19,504.44,350.66,419.66,313.76,345.58,319.36,297.23,261.05,309.29,158.00,140.52,313.04,374.39,313.69,223.38,157.90,141.34,263.81,322.78,324.67,330.73,223.34,316.82,377.12,319.13,314.61
117.20,117.61,109.98,85.91,109.84,12.28,91.56,82.08,95.45,157.90,333.15,393.94,669.70,365.19,163.27,451.99,614.93,277.19,361.89,339.79,165.71,230.78,321.41,338.13,370.20,319.25,229.92,318.29,329.14,161.59,147.25,312.95,248.46,243.10,335.65,383.26,345.66,148.15,169.02,345.91,281.27,340.63,303.50,322.00,424.30,253.76,456.28,477.53,323.98,428.14,181.23,68.70,374.60,334.46,363.59,258.37,540.51,428.13,315.62,703.98,557.92,571.29,372.64,482.14,402.44,310.21,508.39,294.09,565.48,352.52,542.50,396.24,498.32,342.92,419.86,332.82,345.82,319.13,285.00,254.56,299.38,157.53,140.53,300.03,354.59,301.10,215.06,159.71,141.08,262.57,322.05,326.08,326.38,223.98,313.44,376.53,304.92,309.43
122.95,122.56,112.49,87.60,112.79,12.74,95.81,84.29,99.61,160.81,333.18,391.94,676.42,368.78,165.26,453.78,623.48,284.02,369.66,344.13,166.13,230.02,320.29,337.11,373.57,321.46,231.25,319.59,330.51,166.05,150.25,317.54,249.16,242.31,331.85,380.27,345.39,152.63,174.87,350.95,276.03,336.52,306.91,327.08,426.63,253.66,459.64,481.45,323.84,427.45,183.84,68.89,376.34,335.99,363.67,258.45,554.28,434.09,316.71,711.17,571.55,582.02,380.45,496.17,409.78,315.89,526.45,302.53,574.56,358.49,565.82,396.24,508.85,348.46,431.15,335.12,353.75,325.07,300.08,266.11,313.48,161.12,144.95,324.63,377.43,319.57,230.28,167.71,148.02,271.23,329.18,334.75,338.30,240.65,327.08,395.19,328.24,326.11
126.50,126.79,116.45,89.71,116.17,13.21,98.48,87.16,101.67,148.57,325.33,404.84,693.41,375.57,167.00,477.09,641.73,274.80,354.16,348.60,169.54,226.51,319.78,363.97,372.87,324.29,230.72,320.34,340.28,168.80,151.34,316.47,245.78,261.01,344.23,400.35,359.81,153.34,174.78,362.74,284.44,350.53,305.17,331.96,444.99,259.08,471.61,497.10,332.96,438.71,167.40,67.61,388.63,347.56,374.85,259.26,571.29,449.31,320.08,729.66,584.78,594.71,387.14,526.38,417.34,326.76,533.59,315.33,581.15,363.59,576.16,413.24,519.62,358.49,439.26,315.59,365.32,336.32,314.61,277.14,326.33,164.43,147.34,339.49,401.10,335.15,241.01,166.80,147.66,278.30,341.80,341.76,348.74,244.68,331.89,403.20,343.34,337.33
122.51,122.90,111.90,86.12,111.52,12.72,95.72,83.90,98.42,138.06,318.62,372.88,670.78,361.13,163.27,433.35,618.37,257.43,330.84,335.39,168.18,208.36,327.98,317.15,377.02,325.10,231.42,315.86,331.69,156.50,141.98,309.59,243.16,235.98,314.60,361.07,320.43,142.69,160.95,330.58,257.77,310.53,295.42,312.54,424.11,247.18,448.71,468.16,320.09,414.03,156.66,62.13,357.09,310.07,343.35,250.99,537.51,414.37,305.28,692.53,558.12,566.34,370.68,485.52,395.44,309.59,498.83,289.44,553.72,347.31,546.17,380.77,491.34,338.75,416.58,292.95,341.53,318.45,287.10,258.82,297.73,159.19,144.88,310.39,362.61,313.49,220.81,155.79,135.71,266.99,321.96,325.13,337.64,244.39,321.73,396.14,309.15,330.75
120.39,120.39,110.94,85.14,110.04,12.54,93.41,83.01,96.41,131.62,306.28,378.16,697.95,380.95,165.68,440.95,644.73,250.05,331.47,353.20,171.27,206.44,312.58,324.18,355.21,311.26,218.40,304.98,328.36,160.00,144.43,300.36,235.61,235.80,322.00,365.31,326.10,144.68,165.55,338.42,263.73,320.65,288.02,311.15,429.53,252.78,450.89,475.75,329.12,419.01,148.38,62.01,354.54,316.83,343.08,255.82,528.18,411.30,321.14,683.67,543.23,550.08,385.17,473.88,421.99,309.58,494.59,291.83,539.54,364.14,538.11,377.67,483.95,354.20,408.88,282.78,338.82,303.94,294.27,260.58,304.24,153.86,141.07,317.41,371.25,320.53,222.76,159.69,137.10,255.55,311.81,310.51,321.74,228.01,304.04,372.57,316.01,310.79
120.63,120.34,112.00,85.33,111.48,12.74,93.95,83.57,96.77,134.32,298.28,382.33,709.06,382.05,165.74,448.49,653.98,252.65,328.92,353.27,172.13,203.52,306.91,314.84,359.54,304.86,214.00,307.54,323.85,159.98,143.01,305.24,235.75,229.53,312.89,362.23,319.39,142.86,164.13,326.52,256.46,309.77,291.83,314.28,413.21,255.49,435.22,474.12,332.22,404.64,145.53,61.37,344.58,306.74,328.74,260.20,510.44,396.48,326.23,651.89,540.90,543.41,389.92,469.51,419.14,311.55,484.17,296.81,526.29,366.33,513.14,363.85,460.15,354.82,394.55,278.28,325.79,298.66,294.54,258.44,308.48,153.98,138.31,318.76,373.29,317.11,220.35,158.34,138.97,250.69,302.22,310.05,315.67,225.77,310.61,363.88,311.29,310.19
119.31,119.45,111.12,85.30,110.95,12.61,93.65,83.39,96.66,128.84,294.34,374.63,690.85,373.36,161.24,424.78,639.41,248.03,324.28,346.56,167.20,201.99,301.51,299.02,353.80,298.56,208.24,306.89,315.71,162.40,143.36,294.39,231.52,212.59,289.93,334.41,295.70,143.53,161.90,305.26,241.80,293.76,286.30,303.32,404.68,252.07,412.42,461.67,328.97,393.16,143.53,59.89,331.03,290.46,319.50,248.12,484.58,376.40,305.90,626.80,526.29,530.82,384.36,456.47,411.42,301.03,467.70,285.41,510.92,360.63,500.67,347.38,448.28,348.46,385.42,275.79,312.16,284.91,285.22,246.57,297.67,152.79,139.17,308.43,355.95,303.05,213.18,157.08,136.54,243.87,295.48,298.89,304.28,222.46,295.73,361.61,297.83,298.13
123.46,124.08,113.16,87.33,113.99,12.85,96.81,85.70,98.93,129.33,285.86,366.87,688.11,368.52,158.94,415.30,635.46,247.51,322.74,341.50,164.02,200.24,293.32,285.22,347.28,290.73,196.17,301.26,309.27,165.05,143.78,289.58,224.45,204.46,277.60,325.92,289.51,146.36,166.20,292.07,231.99,286.53,279.98,294.72,389.42,252.18,396.76,446.08,325.96,380.23,143.11,59.88,315.95,280.02,301.76,246.03,463.27,364.34,302.33,598.82,502.10,497.83,383.19,433.52,407.57,292.96,451.89,278.51,494.34,357.61,476.40,336.12,436.31,346.58,368.88,275.08,297.68,282.37,278.23,243.61,289.32,157.79,144.07,296.20,346.80,294.92,209.21,162.31,135.75,236.93,285.51,297.67,303.57,214.82,287.41,346.66,294.64,289.34
