" -F1180,S919+F4492,S4493"," -F1180,S919+F4494,S4495"," -F1180,S919+F4520,S4521"," -F1180,S919+F1094,S1093"," -F1180,S919+F4464,S4465"," -F1180,S919+F1187,S926"," -F1180,S919+F1293,S1034"," -F1180,S919+F814,S1072"," -F1180,S919+F1012,S1013"," -F1176,S1177+F4513,S4514"," -F1176,S1177+F929,S930"," -F4615,S4616+F1149,S1150"," -F4615,S4616+F956,S957"," -F4477,S4478+F1205,S1206"," -F4477,S4478+F900,S901"," -F4613,S4614+F1147,S1148"," -F4613,S4614+F958,S959"," -F4501,S4502+F1174,S1175"," -F4501,S4502+F931,S932"," -F4479,S4480+F1203,S1204"," -F4479,S4480+F902,S903"," -F914,S915+F1193,S1194"," -F4574,S4575+F1103,S1104"," -F4410,S4411+F842,S843"," -F4577,S4578+F1111,S1112"," -F4572,S4573+F1108,S1109"," -F4523,S4524+F1099,S1100"," -F4579,S4580+F1115,S1116"," -F4581,S4582+F1128,S1129"," -F4526,S4527+F1121,S1122"," -F4516,S4517+F1119,S1120"," -F4583,S4584+F1135,S1136"," -F4568,S4569+F1132,S1133"," -F4461,S4462+F839,S840"," -F4412,S4413+F847,S848"," -F4407,S4408+F851,S852"," -F4405,S4406+F854,S855"," -F4468,S4469+F860,S861"," -F4458,S4459+F862,S863"," -F4403,S4404+F868,S869"," -F4416,S4417+F871,S872"," -F4401,S4402+F875,S876"," -F4585,S4586+F1140,S1141"," -F4587,S4588+F1144,S1145"," -F4530,S4531+F1155,S1156"," -F4564,S4565+F1157,S1158"," -F4510,S4511+F1159,S1160"," -F4562,S4563+F1168,S1169"," -F4533,S4534+F1166,S1167"," -F4508,S4509+F1164,S1165"," -F4471,S4472+F912,S913"," -F4473,S4474+F892,S893"," -F4454,S4455+F894,S895"," -F4399,S4400+F880,S881"," -F4397,S4398+F883,S884"," -F4475,S4476+F896,S897"," -F4451,S4452+F908,S909"," -F4420,S4421+F906,S907"," -F4422,S4423+F910,S911"," -F4369,S4370+F1172,S1173"," -F4560,S4561+F937,S938"," -F4535,S4536+F939,S940"," -F4506,S4507+F941,S942"," -F4558,S4559+F948,S949"," -F4504,S4505+F946,S947"," -F4592,S4593+F1222,S1223"," -F4538,S4539+F950,S951"," -F4594,S4595+F1225,S1226"," -F4449,S4450+F1197,S1198"," -F4481,S4482+F1209,S1210"," -F4424,S4425+F1195,S1196"," -F4371,S4372+F933,S934"," -F4426,S4427+F1199,S1200"," -F4483,S4484+F1213,S1214"," -F4446,S4447+F1211,S1212"," -F4485,S4486+F1191,S1192"," -F4392,S4393+F961,S962"," -F4390,S4391+F965,S966"," -F4596,S4597+F1230,S1231"," -F4554,S4555+F1234,S1235"," -F4598,S4599+F1237,S1238"," -F4542,S4543+F1243,S1244"," -F4498,S4499+F1245,S1246"," -F4600,S4601+F1251,S1252"," -F4602,S4603+F1254,S1255"," -F4550,S4551+F1258,S1259"," -F4545,S4546+F1266,S1267"," -F4442,S4443+F984,S985"," -F4488,S4489+F986,S987"," -F4430,S4431+F973,S974"," -F4388,S4389+F970,S971"," -F4386,S4387+F977,S978"," -F4384,S4385+F990,S991"," -F4439,S4440+F1006,S1007"," -F4434,S4435+F997,S998"," -F4382,S4383+F994,S995"," -F4548,S4549+F1263,S1264"," -F4436,S4437+F1002,S1003"
101.54,102.62,96.28,74.29,96.64,10.90,79.93,72.33,81.80,115.04,278.70,340.68,641.13,359.79,156.19,386.96,583.65,227.99,292.54,335.35,164.66,176.00,296.02,289.37,348.00,297.69,207.99,291.71,290.30,132.75,117.83,275.08,224.78,207.57,288.54,329.89,297.80,118.85,134.97,296.72,240.64,281.96,276.46,291.35,390.07,236.22,408.35,429.72,307.41,387.07,127.98,52.29,320.00,281.72,310.22,232.90,464.42,365.40,288.86,606.68,501.50,506.14,366.37,433.93,394.11,282.85,453.11,263.80,484.24,341.03,473.00,323.78,430.37,321.38,364.50,240.32,294.03,277.10,260.31,228.06,270.20,129.63,112.96,277.62,319.13,278.74,197.08,131.51,113.01,221.18,270.78,274.70,274.60,202.14,274.63,323.36,272.14,268.39
103.67,102.89,97.98,75.62,97.26,11.12,80.65,72.99,82.78,122.55,278.93,350.77,643.41,353.28,158.13,406.22,585.08,234.40,297.06,331.71,166.11,180.43,298.12,299.38,345.26,297.07,213.81,293.47,297.01,135.08,121.57,280.65,225.28,217.81,303.62,348.20,311.25,120.64,138.30,316.81,249.93,295.15,277.56,297.05,393.19,235.49,426.88,434.37,304.78,388.97,130.28,54.43,326.59,291.67,317.57,234.52,482.65,376.60,293.49,623.02,509.87,516.95,368.52,431.56,387.91,284.27,456.31,265.90,496.71,338.93,483.15,337.30,438.39,319.87,370.93,247.24,299.98,277.75,263.03,232.66,276.17,134.43,115.68,279.66,325.84,289.47,201.72,133.39,115.06,223.10,276.50,278.44,283.98,200.36,283.25,324.09,280.14,273.41
100.08,101.05,95.13,73.71,94.66,10.86,79.25,71.12,81.35,117.59,275.06,338.00,620.68,346.27,155.24,391.92,564.18,227.27,292.43,324.01,162.43,179.50,292.81,304.83,333.50,292.13,210.37,284.07,290.28,130.32,118.06,270.59,217.50,220.03,306.64,348.18,317.72,119.25,136.46,324.65,255.07,299.13,272.03,286.37,393.86,232.00,413.08,421.91,297.90,383.45,127.75,54.34,334.63,295.51,323.20,228.35,487.92,383.39,287.59,623.96,497.08,505.85,351.87,424.59,377.55,275.26,450.64,257.90,496.80,330.45,486.84,344.27,442.54,311.87,369.81,246.80,304.18,281.02,256.36,225.37,268.47,130.82,114.33,274.94,319.45,285.16,197.01,133.37,112.67,223.75,278.95,276.62,283.65,198.23,272.96,324.78,279.23,270.07
102.09,102.00,97.06,74.52,96.38,11.03,80.21,72.44,81.99,121.97,283.47,344.85,666.54,365.79,162.37,395.52,607.19,238.50,300.86,341.01,171.07,174.65,305.80,285.40,356.65,308.55,221.29,300.01,299.48,130.59,116.65,284.27,226.30,212.87,288.59,330.90,299.11,118.73,135.95,302.21,240.33,282.01,280.28,292.34,395.58,244.19,418.53,438.96,317.81,393.14,132.50,52.44,319.01,276.54,311.11,238.65,471.28,371.45,300.86,612.98,500.51,508.11,375.88,437.59,402.17,287.15,449.96,266.90,488.84,349.33,476.40,324.68,433.53,328.83,367.69,246.57,291.85,276.99,261.82,226.84,269.14,132.99,115.64,277.24,320.41,281.33,194.94,128.75,109.11,221.35,273.93,276.80,282.51,204.53,278.05,328.70,276.02,273.81
105.04,105.68,99.24,76.94,99.19,11.26,82.28,74.09,84.13,129.66,290.98,379.43,730.69,397.31,174.49,442.38,664.98,255.13,325.35,371.09,182.33,188.05,309.73,336.19,362.06,314.93,223.14,308.11,311.09,138.15,121.52,296.43,236.04,239.82,323.65,371.36,339.37,123.65,141.21,337.18,267.97,319.61,298.04,316.35,424.93,264.69,442.13,474.65,345.78,421.59,140.50,56.95,353.91,316.07,344.51,256.06,522.31,409.01,320.48,663.09,540.06,544.45,413.15,460.59,444.00,306.66,485.60,284.78,527.02,380.53,524.81,358.04,471.63,357.93,391.94,260.55,318.52,295.00,284.31,248.09,297.61,133.90,117.01,302.88,352.37,302.50,215.12,135.80,118.11,234.48,295.22,293.09,297.77,206.42,297.50,341.28,306.32,284.78
107.26,107.31,101.47,78.77,100.64,11.42,83.73,75.69,85.94,137.58,312.23,367.82,740.71,411.66,178.87,424.56,674.22,267.40,342.89,385.90,187.54,195.00,318.65,329.90,372.69,326.18,234.49,314.21,309.35,142.03,126.78,302.49,242.55,240.93,336.11,383.25,351.60,130.84,150.49,352.50,278.84,332.91,299.73,321.50,419.64,270.35,451.47,464.04,351.86,420.83,150.72,58.84,371.75,327.64,357.31,264.50,539.91,428.11,335.11,691.29,551.75,564.92,422.03,469.86,452.72,304.48,497.88,284.12,541.66,393.10,531.82,371.80,488.80,366.75,410.00,278.04,330.58,312.20,278.54,246.62,294.79,140.35,121.62,299.80,342.94,301.98,212.64,143.79,123.26,244.76,307.34,313.67,315.58,221.85,312.77,363.52,300.55,293.73
112.40,112.14,104.53,80.74,104.22,11.75,87.41,77.94,89.42,137.14,324.23,374.53,773.41,426.77,183.15,433.19,699.79,271.58,346.73,399.52,193.38,194.19,315.31,330.80,369.05,319.88,231.39,316.32,315.25,147.03,130.31,306.46,249.87,238.83,333.21,377.61,343.08,133.81,154.15,339.15,274.72,333.87,303.23,327.58,428.20,276.86,455.55,482.92,362.21,430.85,149.96,58.58,367.38,326.45,362.61,270.70,537.21,421.02,344.35,705.66,576.79,581.81,439.18,485.79,472.46,322.36,522.02,304.47,563.77,409.15,553.09,377.98,503.64,384.09,432.95,280.68,347.16,327.12,295.29,264.44,312.09,143.55,126.46,317.65,383.06,330.88,231.68,150.75,130.67,263.60,325.80,333.04,344.76,243.71,344.50,394.21,332.25,329.32
111.12,111.36,103.71,79.00,102.81,11.64,86.11,76.57,88.02,128.45,301.90,384.23,749.64,406.73,176.81,448.43,675.62,257.54,327.21,378.84,187.08,186.83,306.14,338.74,366.66,311.18,224.58,312.21,314.90,142.89,125.88,301.75,244.90,239.43,325.47,370.48,336.87,127.65,147.03,332.40,267.93,323.68,301.98,327.03,434.25,270.53,458.15,478.86,351.78,428.34,139.54,57.77,356.65,319.79,349.47,260.54,522.46,412.49,328.53,671.71,562.10,559.11,424.44,482.83,454.09,318.78,507.38,306.36,537.27,391.18,538.42,364.78,486.21,369.01,412.27,259.59,335.16,314.23,296.85,259.82,314.99,139.64,122.60,320.04,391.41,334.71,230.06,142.88,123.99,245.90,310.77,309.48,321.58,222.30,321.96,367.12,330.79,309.12
107.46,108.00,100.39,77.04,99.69,11.32,83.98,74.81,84.79,119.68,292.50,356.13,682.07,372.76,164.42,409.89,618.37,240.93,301.13,347.47,174.31,173.89,310.19,294.00,360.17,313.25,221.29,304.45,301.12,137.07,120.92,289.33,234.49,212.84,292.82,331.47,298.07,122.39,138.42,297.35,239.92,288.01,285.96,302.00,407.85,247.32,432.95,448.78,322.51,397.53,129.79,53.44,323.56,285.91,319.94,241.91,477.43,373.37,303.12,622.86,517.81,524.61,385.45,446.62,408.18,297.60,466.29,280.82,501.29,356.57,492.16,329.87,450.66,336.71,382.15,244.88,303.58,288.02,271.74,238.40,282.13,136.63,119.28,286.52,342.84,303.87,209.54,135.15,115.40,233.88,287.50,293.01,302.85,217.59,295.18,349.17,292.65,293.21
107.08,107.27,97.85,75.63,97.93,11.08,83.24,73.48,84.81,117.25,281.72,349.45,632.22,350.49,157.01,404.15,568.40,229.46,293.26,327.87,164.39,177.00,291.34,303.43,332.12,289.05,208.56,285.29,290.26,137.43,121.15,270.90,223.75,218.40,305.43,345.87,316.01,123.57,140.24,315.81,249.65,301.38,272.19,290.94,393.48,234.46,414.93,435.31,302.46,392.30,127.14,53.51,331.83,295.71,323.40,230.55,489.28,384.63,289.41,628.68,512.88,513.16,360.63,437.48,381.26,288.15,467.22,273.64,505.07,333.43,498.63,349.68,454.41,315.34,384.29,243.01,311.65,290.98,270.54,239.58,284.29,134.63,119.74,288.66,346.54,310.49,211.62,139.91,117.87,233.61,289.91,292.81,301.96,212.07,291.43,346.15,300.13,288.33
