" -F478,S217+F4228,S4229"," -F478,S217+F4230,S4231"," -F478,S217+F4256,S4257"," -F478,S217+F392,S391"," -F478,S217+F4200,S4201"," -F478,S217+F485,S224"," -F478,S217+F591,S332"," -F478,S217+F112,S370"," -F478,S217+F310,S311"," -F474,S475+F4249,S4250"," -F474,S475+F227,S228"," -F4351,S4352+F447,S448"," -F4351,S4352+F254,S255"," -F4213,S4214+F503,S504"," -F4213,S4214+F198,S199"," -F4349,S4350+F445,S446"," -F4349,S4350+F256,S257"," -F4237,S4238+F472,S473"," -F4237,S4238+F229,S230"," -F4215,S4216+F501,S502"," -F4215,S4216+F200,S201"," -F212,S213+F491,S492"," -F4310,S4311+F401,S402"," -F4146,S4147+F140,S141"," -F4313,S4314+F409,S410"," -F4308,S4309+F406,S407"," -F4259,S4260+F397,S398"," -F4315,S4316+F413,S414"," -F4317,S4318+F426,S427"," -F4262,S4263+F419,S420"," -F4252,S4253+F417,S418"," -F4319,S4320+F433,S434"," -F4304,S4305+F430,S431"," -F4197,S4198+F137,S138"," -F4148,S4149+F145,S146"," -F4143,S4144+F149,S150"," -F4141,S4142+F152,S153"," -F4204,S4205+F158,S159"," -F4194,S4195+F160,S161"," -F4139,S4140+F166,S167"," -F4152,S4153+F169,S170"," -F4137,S4138+F173,S174"," -F4321,S4322+F438,S439"," -F4323,S4324+F442,S443"," -F4266,S4267+F453,S454"," -F4300,S4301+F455,S456"," -F4246,S4247+F457,S458"," -F4298,S4299+F466,S467"," -F4269,S4270+F464,S465"," -F4244,S4245+F462,S463"," -F4207,S4208+F210,S211"," -F4209,S4210+F190,S191"," -F4190,S4191+F192,S193"," -F4135,S4136+F178,S179"," -F4133,S4134+F181,S182"," -F4211,S4212+F194,S195"," -F4187,S4188+F206,S207"," -F4156,S4157+F204,S205"," -F4158,S4159+F208,S209"," -F4105,S4106+F470,S471"," -F4296,S4297+F235,S236"," -F4271,S4272+F237,S238"," -F4242,S4243+F239,S240"," -F4294,S4295+F246,S247"," -F4240,S4241+F244,S245"," -F4328,S4329+F520,S521"," -F4274,S4275+F248,S249"," -F4330,S4331+F523,S524"," -F4185,S4186+F495,S496"," -F4217,S4218+F507,S508"," -F4160,S4161+F493,S494"," -F4107,S4108+F231,S232"," -F4162,S4163+F497,S498"," -F4219,S4220+F511,S512"," -F4182,S4183+F509,S510"," -F4221,S4222+F489,S490"," -F4128,S4129+F259,S260"," -F4126,S4127+F263,S264"," -F4332,S4333+F528,S529"," -F4290,S4291+F532,S533"," -F4334,S4335+F535,S536"," -F4278,S4279+F541,S542"," -F4234,S4235+F543,S544"," -F4336,S4337+F549,S550"," -F4338,S4339+F552,S553"," -F4286,S4287+F556,S557"," -F4281,S4282+F564,S565"," -F4178,S4179+F282,S283"," -F4224,S4225+F284,S285"," -F4166,S4167+F271,S272"," -F4124,S4125+F268,S269"," -F4122,S4123+F275,S276"," -F4120,S4121+F288,S289"," -F4175,S4176+F304,S305"," -F4170,S4171+F295,S296"," -F4118,S4119+F292,S293"," -F4284,S4285+F561,S562"," -F4172,S4173+F300,S301"
97.38,97.23,91.56,70.62,90.45,10.69,76.13,68.33,77.90,111.10,253.39,320.24,627.79,349.55,146.25,371.39,574.50,222.38,286.40,327.66,154.24,168.69,262.69,269.44,309.48,268.42,187.66,261.87,263.30,128.68,111.98,254.02,200.80,192.63,259.24,295.53,270.20,111.56,127.27,272.31,218.58,254.99,247.98,262.16,347.77,232.49,364.19,392.82,299.40,343.16,123.95,49.69,289.86,254.78,277.90,219.15,428.87,333.73,271.82,544.78,446.06,453.59,357.27,383.78,383.92,256.22,400.74,237.77,438.56,330.24,429.97,296.20,387.33,314.83,327.72,228.49,263.57,249.93,236.51,203.17,247.02,125.96,108.64,253.02,296.69,251.46,176.09,123.03,105.40,197.88,247.18,249.60,254.35,183.24,255.72,294.38,255.71,249.80
103.71,104.57,98.30,75.98,98.60,11.15,81.58,73.82,83.18,117.00,273.49,342.92,654.07,358.75,156.41,391.82,595.95,233.97,299.45,336.47,165.18,176.04,297.18,296.10,346.80,294.42,212.03,290.73,293.12,133.96,117.92,269.82,225.02,212.66,294.10,336.51,307.73,121.80,137.78,307.68,246.29,292.65,275.28,291.36,388.68,239.87,402.75,428.46,312.86,380.60,128.68,52.21,328.48,290.41,318.00,234.05,478.43,376.46,293.88,614.79,499.04,506.07,369.09,427.83,392.96,279.60,445.66,258.56,483.59,341.28,479.91,331.29,435.98,322.20,366.80,241.71,297.61,274.35,255.82,223.46,268.66,130.86,112.75,268.73,320.44,272.29,194.80,132.64,111.80,222.74,279.85,278.68,279.02,203.48,279.98,325.34,274.06,265.52
103.94,103.51,97.47,75.71,98.54,11.18,81.34,73.65,83.04,123.22,282.21,341.81,629.88,347.61,154.51,390.78,573.44,237.34,299.08,325.56,162.58,176.38,287.51,306.84,335.32,288.79,212.23,285.03,289.23,133.30,116.44,276.78,221.93,220.30,296.15,352.99,319.46,120.28,137.16,320.76,256.80,302.66,276.60,293.84,389.83,235.31,410.79,434.17,303.44,392.07,133.81,52.13,331.84,300.78,329.30,227.76,491.51,381.24,286.71,637.38,512.92,518.80,356.53,439.74,382.00,284.09,463.62,265.48,501.11,332.55,491.18,336.78,441.57,313.84,379.77,246.90,299.80,280.96,263.01,229.83,274.76,131.71,114.82,279.81,326.80,280.18,201.93,135.71,116.13,226.96,283.04,280.57,286.15,198.34,284.30,325.16,281.12,271.50
95.07,93.99,90.31,69.92,90.75,10.50,74.90,67.57,76.87,119.13,269.39,336.76,634.98,347.19,150.53,385.94,579.85,233.74,293.86,323.44,157.70,173.12,289.07,273.17,335.93,291.71,211.78,287.63,289.33,124.82,111.41,275.39,217.81,197.73,258.67,302.32,271.43,109.78,124.85,269.23,222.44,257.93,268.93,285.20,382.06,238.30,392.19,425.32,308.26,374.46,128.56,51.67,294.62,257.80,284.10,222.62,434.48,338.54,275.70,559.08,477.63,480.95,358.46,410.75,380.98,277.28,425.78,256.00,455.98,330.55,444.66,298.32,402.93,312.44,341.25,239.14,263.96,249.56,257.37,216.75,267.92,124.86,107.02,271.08,313.63,268.89,191.72,120.11,105.14,206.26,256.15,259.09,261.59,187.81,266.31,301.50,274.28,256.34
107.39,107.05,100.60,77.57,100.05,11.45,83.77,75.29,85.26,125.47,299.36,375.41,699.55,385.19,170.28,429.15,637.97,251.51,316.19,359.19,179.41,181.62,331.69,324.78,382.09,328.04,236.74,323.03,320.09,134.09,119.48,300.36,246.56,233.80,322.66,367.75,327.14,127.13,144.03,331.07,263.83,313.77,301.82,318.09,434.45,257.22,460.05,474.34,335.69,426.41,135.95,54.39,356.14,310.85,345.20,248.73,522.63,407.05,310.63,673.17,548.85,555.74,399.31,472.67,422.69,310.49,494.84,286.47,529.62,365.17,524.67,350.44,474.83,346.01,398.79,250.95,318.51,302.26,285.70,246.72,295.50,135.08,117.41,297.26,350.26,310.67,217.61,136.55,116.09,242.27,301.23,299.30,308.91,223.48,304.43,351.66,300.52,292.79
106.52,106.41,100.39,77.80,100.07,11.32,83.23,75.08,85.04,130.91,317.13,380.19,734.27,403.51,174.51,430.62,667.30,257.42,328.86,376.14,183.90,188.05,337.74,339.47,390.65,334.22,245.37,327.51,325.42,138.00,120.88,307.96,249.75,246.65,339.19,378.98,348.88,127.85,145.32,349.29,282.44,329.56,305.18,321.67,445.43,268.27,481.19,477.92,345.58,436.38,143.05,56.96,367.59,326.99,358.69,259.69,540.27,424.64,326.59,705.38,561.21,574.62,412.75,479.77,442.67,307.63,506.98,282.35,555.74,381.77,545.90,364.79,496.31,359.41,413.81,264.71,328.58,306.95,284.91,248.21,292.69,139.99,118.96,301.98,351.69,306.63,225.86,141.96,119.21,249.10,307.73,306.89,308.15,224.56,307.08,353.80,304.40,288.42
111.01,112.00,103.60,79.80,103.47,11.70,87.45,77.50,89.39,131.74,329.76,387.42,761.94,417.76,179.60,439.77,687.86,262.57,333.64,388.24,189.63,188.70,333.87,341.27,383.38,330.40,243.88,326.35,320.89,145.95,126.17,307.11,255.46,245.59,338.74,384.04,346.11,132.97,150.44,343.04,278.36,332.78,302.38,323.08,448.14,272.72,486.53,487.78,355.14,444.50,140.66,57.91,363.89,329.97,359.33,265.76,533.48,422.48,335.71,704.86,580.55,583.57,431.93,496.33,462.71,320.36,523.12,304.14,565.62,399.73,558.10,372.14,507.01,375.04,429.49,264.38,342.04,319.59,299.30,262.47,312.83,144.07,124.99,319.00,391.40,335.88,241.64,150.42,126.56,259.03,319.84,319.47,328.48,244.24,331.65,380.70,330.26,315.29
113.02,113.19,104.25,79.93,103.91,11.91,88.03,78.12,89.04,124.71,311.69,383.48,721.11,395.03,172.65,436.93,651.29,254.77,316.25,366.82,182.81,181.17,328.38,326.88,378.75,331.02,238.40,323.25,323.44,142.91,124.21,303.24,258.23,233.84,322.61,369.36,328.78,131.00,149.18,327.65,267.24,317.05,309.66,328.78,445.35,264.20,468.83,486.65,343.50,435.09,134.23,53.33,354.57,313.74,350.52,253.70,521.46,408.57,318.10,679.79,570.36,571.28,407.63,489.30,431.83,323.82,513.61,311.31,546.22,374.36,536.61,357.21,488.82,354.01,418.00,251.60,332.29,313.14,302.42,262.04,313.71,139.73,122.58,316.38,389.49,342.76,239.58,144.14,122.80,255.87,312.58,315.46,328.93,240.77,328.37,378.97,327.35,318.31
100.14,100.40,91.68,71.10,90.94,10.58,77.67,68.77,79.36,118.01,273.69,338.69,644.47,350.15,150.79,394.31,583.92,235.07,293.73,326.92,157.98,171.95,291.11,276.56,343.46,293.84,212.57,292.28,289.59,128.02,112.74,277.23,223.68,199.00,262.04,303.22,271.80,110.90,125.09,266.27,217.78,259.77,271.62,287.23,388.47,239.77,397.57,430.04,307.43,378.45,126.34,51.34,293.57,255.90,282.88,222.55,429.15,358.60,277.31,555.98,490.76,488.05,363.85,418.48,384.62,284.99,433.73,271.26,466.21,333.71,451.34,299.14,407.40,316.09,347.54,238.03,272.05,254.75,266.04,227.01,274.95,127.46,111.17,278.53,336.98,284.59,201.97,124.77,109.13,211.03,258.30,265.45,271.46,197.00,277.17,315.40,288.00,271.22
110.00,109.87,101.21,78.01,101.35,11.48,85.55,76.16,86.71,121.25,287.26,345.69,645.59,354.78,158.32,398.21,583.48,239.48,300.55,331.06,166.03,177.37,287.79,308.32,337.11,289.59,214.19,287.25,290.49,139.32,121.07,273.41,225.14,220.04,294.19,348.35,314.68,126.19,143.35,308.66,251.39,303.11,274.74,295.98,390.96,240.20,415.74,435.70,309.21,390.15,132.88,52.79,331.51,295.88,325.32,232.08,487.79,382.87,290.85,640.74,527.58,531.48,367.72,445.58,388.79,290.99,475.13,281.28,512.58,339.00,507.31,343.24,461.70,320.76,388.04,248.88,314.57,295.35,274.87,240.44,288.91,137.01,119.11,291.66,351.37,300.19,212.88,144.60,124.10,235.59,294.05,295.38,303.21,216.57,306.10,351.40,296.15,295.52
