" -F1882,S1621+F4756,S4757"," -F1882,S1621+F4758,S4759"," -F1882,S1621+F4784,S4785"," -F1882,S1621+F1796,S1795"," -F1882,S1621+F4728,S4729"," -F1882,S1621+F1889,S1628"," -F1882,S1621+F1995,S1736"," -F1882,S1621+F1516,S1774"," -F1882,S1621+F1714,S1715"," -F1878,S1879+F4777,S4778"," -F1878,S1879+F1631,S1632"," -F4879,S4880+F1851,S1852"," -F4879,S4880+F1658,S1659"," -F4741,S4742+F1907,S1908"," -F4741,S4742+F1602,S1603"," -F4877,S4878+F1849,S1850"," -F4877,S4878+F1660,S1661"," -F4765,S4766+F1876,S1877"," -F4765,S4766+F1633,S1634"," -F4743,S4744+F1905,S1906"," -F4743,S4744+F1604,S1605"," -F1616,S1617+F1895,S1896"," -F4838,S4839+F1805,S1806"," -F4674,S4675+F1544,S1545"," -F4841,S4842+F1813,S1814"," -F4836,S4837+F1810,S1811"," -F4787,S4788+F1801,S1802"," -F4843,S4844+F1817,S1818"," -F4845,S4846+F1830,S1831"," -F4790,S4791+F1823,S1824"," -F4780,S4781+F1821,S1822"," -F4847,S4848+F1837,S1838"," -F4832,S4833+F1834,S1835"," -F4725,S4726+F1541,S1542"," -F4676,S4677+F1549,S1550"," -F4671,S4672+F1553,S1554"," -F4669,S4670+F1556,S1557"," -F4732,S4733+F1562,S1563"," -F4722,S4723+F1564,S1565"," -F4667,S4668+F1570,S1571"," -F4680,S4681+F1573,S1574"," -F4665,S4666+F1577,S1578"," -F4849,S4850+F1842,S1843"," -F4851,S4852+F1846,S1847"," -F4794,S4795+F1857,S1858"," -F4828,S4829+F1859,S1860"," -F4774,S4775+F1861,S1862"," -F4826,S4827+F1870,S1871"," -F4797,S4798+F1868,S1869"," -F4772,S4773+F1866,S1867"," -F4735,S4736+F1614,S1615"," -F4737,S4738+F1594,S1595"," -F4718,S4719+F1596,S1597"," -F4663,S4664+F1582,S1583"," -F4661,S4662+F1585,S1586"," -F4739,S4740+F1598,S1599"," -F4715,S4716+F1610,S1611"," -F4684,S4685+F1608,S1609"," -F4686,S4687+F1612,S1613"," -F4633,S4634+F1874,S1875"," -F4824,S4825+F1639,S1640"," -F4799,S4800+F1641,S1642"," -F4770,S4771+F1643,S1644"," -F4822,S4823+F1650,S1651"," -F4768,S4769+F1648,S1649"," -F4856,S4857+F1924,S1925"," -F4802,S4803+F1652,S1653"," -F4858,S4859+F1927,S1928"," -F4713,S4714+F1899,S1900"," -F4745,S4746+F1911,S1912"," -F4688,S4689+F1897,S1898"," -F4635,S4636+F1635,S1636"," -F4690,S4691+F1901,S1902"," -F4747,S4748+F1915,S1916"," -F4710,S4711+F1913,S1914"," -F4749,S4750+F1893,S1894"," -F4656,S4657+F1663,S1664"," -F4654,S4655+F1667,S1668"," -F4860,S4861+F1932,S1933"," -F4818,S4819+F1936,S1937"," -F4862,S4863+F1939,S1940"," -F4806,S4807+F1945,S1946"," -F4762,S4763+F1947,S1948"," -F4864,S4865+F1953,S1954"," -F4866,S4867+F1956,S1957"," -F4814,S4815+F1960,S1961"," -F4809,S4810+F1968,S1969"," -F4706,S4707+F1686,S1687"," -F4752,S4753+F1688,S1689"," -F4694,S4695+F1675,S1676"," -F4652,S4653+F1672,S1673"," -F4650,S4651+F1679,S1680"," -F4648,S4649+F1692,S1693"," -F4703,S4704+F1708,S1709"," -F4698,S4699+F1699,S1700"," -F4646,S4647+F1696,S1697"," -F4812,S4813+F1965,S1966"," -F4700,S4701+F1704,S1705"
102.54,102.89,97.09,75.02,97.52,11.06,80.34,73.00,82.14,117.04,276.05,341.33,643.56,361.09,156.79,392.94,593.11,229.14,294.32,334.55,163.68,174.22,287.03,286.89,336.79,291.85,208.87,283.61,284.52,134.21,120.19,274.48,219.66,206.76,290.63,326.72,298.23,121.03,139.07,303.09,243.79,285.95,274.20,292.40,386.48,237.60,403.45,428.85,309.99,376.52,127.28,52.73,318.24,283.18,309.49,232.09,469.87,363.99,290.36,603.85,493.27,499.62,366.80,422.70,392.24,277.52,442.13,258.40,480.62,339.94,470.39,323.09,426.09,321.89,361.18,239.33,291.88,275.60,257.58,225.15,268.38,131.55,114.17,273.28,311.65,274.52,192.99,132.11,113.36,216.23,270.84,274.27,277.34,193.53,273.46,313.93,273.21,263.78
103.37,103.86,97.78,75.51,97.73,11.15,81.33,73.61,82.79,123.25,282.24,342.08,630.60,348.16,154.41,392.42,573.68,236.39,298.44,325.64,162.09,176.42,286.68,308.29,335.84,288.95,212.35,285.93,289.48,132.92,116.58,276.46,221.82,219.45,297.82,352.71,319.40,121.01,137.90,320.84,256.47,302.12,276.24,293.85,389.37,233.56,411.35,432.37,303.07,390.97,134.26,52.70,332.43,300.79,329.33,228.40,491.22,381.80,287.61,636.97,512.97,518.75,357.78,439.56,382.40,284.25,463.88,265.69,501.76,333.43,490.93,336.50,441.88,314.02,381.62,248.80,302.05,281.68,264.73,229.73,275.34,132.49,114.06,280.54,327.42,279.48,203.18,136.30,117.29,227.21,283.47,280.74,286.57,199.13,285.38,325.02,282.62,270.20
96.07,95.92,88.68,69.24,89.32,10.37,74.92,66.69,76.79,110.51,254.49,314.99,587.52,326.69,150.30,368.54,536.20,217.33,277.93,307.96,156.02,169.30,269.85,285.89,309.86,269.67,190.76,264.49,265.05,121.70,108.93,253.56,197.75,204.09,271.14,316.49,288.35,114.57,130.97,285.20,231.30,271.64,248.55,263.61,361.83,215.27,381.38,396.94,281.75,350.60,125.32,51.67,305.32,270.37,290.34,219.90,447.64,352.39,275.79,565.05,455.14,465.02,337.99,387.82,357.97,255.97,409.41,239.62,446.48,314.91,440.85,311.89,395.59,294.74,334.56,234.38,273.86,256.54,241.40,206.10,253.55,122.29,105.32,256.90,304.49,258.02,185.16,126.78,111.07,204.90,258.64,257.29,262.93,182.97,258.34,295.55,265.13,252.50
104.24,104.60,98.41,75.64,98.16,11.37,81.66,73.57,83.29,123.81,303.36,346.17,677.98,375.55,165.51,404.65,616.43,242.39,305.10,349.34,173.95,180.09,315.54,329.98,358.82,317.17,231.17,304.88,299.33,134.03,119.26,284.95,231.84,236.47,319.96,364.73,333.02,124.11,141.29,328.36,267.13,313.69,284.49,303.08,410.44,247.52,441.83,448.82,324.42,411.34,135.23,54.09,361.18,315.32,347.99,242.71,535.12,415.01,305.35,690.66,538.11,548.38,384.45,459.39,403.84,294.41,483.61,277.70,530.86,355.65,527.25,357.82,486.03,333.90,403.33,252.49,327.56,309.07,269.45,235.39,281.47,133.39,114.49,285.85,340.63,293.67,212.41,132.99,115.89,245.90,310.68,311.77,316.77,225.43,319.10,366.12,297.05,301.83
106.03,106.10,100.49,77.74,100.77,11.29,83.22,75.08,84.94,131.59,317.38,380.52,734.73,404.00,175.53,430.86,667.12,256.21,328.54,376.26,184.00,187.96,337.59,341.12,391.07,335.11,245.34,327.54,325.11,138.12,121.06,307.24,249.86,246.36,340.56,386.05,348.53,128.62,146.75,348.85,282.43,329.40,304.98,321.65,444.45,266.72,481.55,476.68,346.11,436.22,143.02,57.42,367.12,327.06,359.99,260.58,540.04,424.45,326.56,705.16,561.78,574.82,413.31,480.33,443.03,306.68,508.07,282.15,555.12,382.67,546.45,364.91,495.95,359.48,413.62,266.25,328.94,307.63,284.42,247.49,292.50,139.73,118.04,302.28,351.74,308.27,227.50,141.08,119.47,249.15,307.86,307.18,307.93,223.59,307.37,354.63,305.84,288.87
101.61,101.70,95.21,74.23,95.20,10.82,79.20,71.03,81.76,130.61,288.40,326.93,678.83,381.34,171.77,374.44,622.00,250.30,324.44,359.78,179.26,191.12,285.06,316.31,326.61,286.14,213.51,281.30,278.98,132.82,118.92,262.60,213.03,226.17,299.91,355.25,320.29,124.45,141.17,317.56,253.44,298.90,261.31,275.16,373.60,247.74,408.09,408.25,322.03,377.94,147.85,57.07,334.58,299.15,325.74,252.48,488.53,385.75,320.92,635.09,496.48,509.13,392.87,421.34,421.42,266.08,453.69,250.88,496.81,367.92,487.96,340.24,442.36,346.21,370.99,272.51,303.03,285.22,252.27,216.36,259.61,132.78,113.55,266.42,310.28,270.28,191.99,140.51,121.41,230.34,286.12,289.29,290.19,202.97,288.78,332.23,276.20,276.24
105.53,105.04,95.91,75.20,95.97,10.99,81.73,71.91,83.97,131.34,292.34,329.62,702.63,395.82,177.71,378.57,638.13,255.54,330.79,372.32,185.46,190.69,276.42,309.91,315.70,280.07,206.82,272.24,272.70,137.08,120.19,258.00,212.95,220.34,297.50,348.18,316.99,123.90,140.99,314.31,250.52,300.78,257.66,276.61,378.12,256.38,407.37,410.65,334.69,375.37,147.13,57.64,334.70,299.29,326.92,261.41,491.82,386.69,333.13,633.19,508.82,516.91,407.14,427.85,435.43,275.00,464.02,264.30,507.85,381.47,497.59,352.05,453.41,359.38,386.58,275.05,317.13,299.62,260.85,229.31,268.46,133.58,116.13,273.11,332.23,287.26,206.29,145.77,126.75,242.65,301.78,304.83,311.29,220.86,311.38,357.52,287.53,302.51
112.55,112.80,103.67,79.74,103.34,11.74,87.47,77.53,89.21,131.73,330.07,387.36,762.67,418.57,179.70,440.55,688.33,261.82,333.05,388.91,189.47,188.79,333.79,342.11,384.28,331.46,243.85,325.84,320.54,146.29,126.79,307.85,255.04,245.69,340.45,382.22,345.48,132.93,151.31,343.68,278.00,332.78,302.42,321.53,448.83,271.54,486.92,486.23,355.07,444.44,140.94,58.03,363.85,329.94,359.64,265.82,533.52,423.24,335.91,704.27,580.86,583.28,432.97,496.49,463.18,320.33,524.25,303.82,566.00,400.90,557.64,371.15,506.99,375.48,428.96,265.74,342.57,319.89,300.28,263.42,313.45,143.50,124.81,319.38,391.20,337.33,243.23,150.12,126.61,259.46,320.22,320.81,328.85,243.78,331.85,381.22,331.59,316.37
110.07,109.99,100.74,77.58,101.06,11.55,85.51,75.68,86.68,121.75,308.69,353.94,696.29,384.57,167.99,411.95,627.69,246.01,309.23,355.41,176.46,179.13,316.52,340.51,368.23,327.48,235.33,311.72,308.90,140.04,123.92,293.45,241.99,241.64,326.78,372.61,339.23,126.74,145.12,328.18,265.24,321.28,293.73,308.55,423.88,254.94,451.67,462.40,329.67,417.16,133.28,55.22,363.75,316.08,354.39,246.50,530.80,418.95,312.05,688.99,553.03,562.03,393.88,475.57,414.27,304.19,503.35,290.70,541.97,361.88,537.36,362.19,498.98,341.71,421.90,251.30,339.82,321.16,279.50,244.65,297.89,138.90,119.84,299.92,370.40,316.19,224.99,140.72,122.55,257.80,323.71,323.54,337.13,245.01,343.64,389.53,318.61,329.61
100.33,99.68,91.96,71.24,91.48,10.55,77.92,68.77,79.74,110.62,264.91,316.50,589.53,326.36,150.18,371.46,534.72,218.03,277.49,307.95,155.57,170.03,269.55,287.27,307.54,269.38,192.23,266.27,264.27,128.53,113.02,252.57,204.07,202.09,270.98,314.89,285.22,117.79,134.05,280.44,226.78,275.88,248.43,264.31,364.23,215.83,380.10,402.04,279.78,353.66,124.88,51.57,303.92,269.09,295.78,220.53,445.64,351.54,276.78,563.25,468.43,472.24,339.92,398.84,359.98,264.00,423.65,252.33,457.61,315.47,448.81,316.41,411.86,298.85,348.29,234.39,284.01,266.15,248.72,213.31,263.71,125.09,107.90,265.26,324.97,275.63,193.84,133.16,115.98,211.34,266.31,266.56,275.17,196.58,276.55,319.21,278.57,271.33
