" -F1180,S919+F4492,S4493"," -F1180,S919+F4494,S4495"," -F1180,S919+F4520,S4521"," -F1180,S919+F1094,S1093"," -F1180,S919+F4464,S4465"," -F1180,S919+F1187,S926"," -F1180,S919+F1293,S1034"," -F1180,S919+F814,S1072"," -F1180,S919+F1012,S1013"," -F1176,S1177+F4513,S4514"," -F1176,S1177+F929,S930"," -F4615,S4616+F1149,S1150"," -F4615,S4616+F956,S957"," -F4477,S4478+F1205,S1206"," -F4477,S4478+F900,S901"," -F4613,S4614+F1147,S1148"," -F4613,S4614+F958,S959"," -F4501,S4502+F1174,S1175"," -F4501,S4502+F931,S932"," -F4479,S4480+F1203,S1204"," -F4479,S4480+F902,S903"," -F914,S915+F1193,S1194"," -F4574,S4575+F1103,S1104"," -F4410,S4411+F842,S843"," -F4577,S4578+F1111,S1112"," -F4572,S4573+F1108,S1109"," -F4523,S4524+F1099,S1100"," -F4579,S4580+F1115,S1116"," -F4581,S4582+F1128,S1129"," -F4526,S4527+F1121,S1122"," -F4516,S4517+F1119,S1120"," -F4583,S4584+F1135,S1136"," -F4568,S4569+F1132,S1133"," -F4461,S4462+F839,S840"," -F4412,S4413+F847,S848"," -F4407,S4408+F851,S852"," -F4405,S4406+F854,S855"," -F4468,S4469+F860,S861"," -F4458,S4459+F862,S863"," -F4403,S4404+F868,S869"," -F4416,S4417+F871,S872"," -F4401,S4402+F875,S876"," -F4585,S4586+F1140,S1141"," -F4587,S4588+F1144,S1145"," -F4530,S4531+F1155,S1156"," -F4564,S4565+F1157,S1158"," -F4510,S4511+F1159,S1160"," -F4562,S4563+F1168,S1169"," -F4533,S4534+F1166,S1167"," -F4508,S4509+F1164,S1165"," -F4471,S4472+F912,S913"," -F4473,S4474+F892,S893"," -F4454,S4455+F894,S895"," -F4399,S4400+F880,S881"," -F4397,S4398+F883,S884"," -F4475,S4476+F896,S897"," -F4451,S4452+F908,S909"," -F4420,S4421+F906,S907"," -F4422,S4423+F910,S911"," -F4369,S4370+F1172,S1173"," -F4560,S4561+F937,S938"," -F4535,S4536+F939,S940"," -F4506,S4507+F941,S942"," -F4558,S4559+F948,S949"," -F4504,S4505+F946,S947"," -F4592,S4593+F1222,S1223"," -F4538,S4539+F950,S951"," -F4594,S4595+F1225,S1226"," -F4449,S4450+F1197,S1198"," -F4481,S4482+F1209,S1210"," -F4424,S4425+F1195,S1196"," -F4371,S4372+F933,S934"," -F4426,S4427+F1199,S1200"," -F4483,S4484+F1213,S1214"," -F4446,S4447+F1211,S1212"," -F4485,S4486+F1191,S1192"," -F4392,S4393+F961,S962"," -F4390,S4391+F965,S966"," -F4596,S4597+F1230,S1231"," -F4554,S4555+F1234,S1235"," -F4598,S4599+F1237,S1238"," -F4542,S4543+F1243,S1244"," -F4498,S4499+F1245,S1246"," -F4600,S4601+F1251,S1252"," -F4602,S4603+F1254,S1255"," -F4550,S4551+F1258,S1259"," -F4545,S4546+F1266,S1267"," -F4442,S4443+F984,S985"," -F4488,S4489+F986,S987"," -F4430,S4431+F973,S974"," -F4388,S4389+F970,S971"," -F4386,S4387+F977,S978"," -F4384,S4385+F990,S991"," -F4439,S4440+F1006,S1007"," -F4434,S4435+F997,S998"," -F4382,S4383+F994,S995"," -F4548,S4549+F1263,S1264"," -F4436,S4437+F1002,S1003"
161.550,161.470,147.720,112.890,148.130,17.270,128.910,113.340,130.040,149.060,531.780,646.900,751.420,418.720,193.270,776.050,681.560,289.560,362.730,389.920,199.790,219.970,535.040,489.380,639.790,545.610,381.760,534.640,562.750,220.960,192.730,528.350,424.900,362.580,495.140,563.080,505.010,189.970,224.140,514.770,424.240,503.690,530.740,581.160,785.020,281.040,778.160,881.460,356.320,787.290,164.780,65.596,587.410,515.590,571.440,285.970,908.140,678.920,354.040,1186.200,1049.600,1032.800,420.030,951.620,450.760,700.760,953.320,662.060,996.560,392.790,998.260,630.580,925.400,376.050,796.600,311.100,668.480,629.610,663.900,576.550,723.300,219.300,189.600,748.890,931.680,777.460,555.020,225.860,191.190,538.790,627.020,673.560,685.760,540.920,711.660,852.780,796.370,701.340
126.280,125.500,114.700,88.979,114.460,13.426,99.684,87.066,103.310,144.680,649.110,801.920,839.060,480.860,215.920,949.200,766.060,288.120,368.680,446.540,225.870,212.550,669.210,649.890,828.660,698.020,478.040,689.890,714.130,171.590,151.180,676.960,543.500,478.870,650.480,738.550,658.010,154.250,176.920,661.070,578.350,670.610,690.190,749.080,1004.100,308.460,1033.500,1120.500,400.180,977.350,153.620,64.553,804.630,690.220,766.800,310.650,1182.800,911.010,396.910,1524.000,1322.300,1302.100,480.830,1206.200,522.590,890.300,1243.900,828.330,1276.900,450.340,1259.400,767.420,1188.800,425.680,1013.700,294.460,850.210,787.720,817.480,726.760,892.050,169.830,149.680,915.360,1137.200,957.180,664.480,179.670,154.560,670.210,751.060,829.360,827.780,649.100,884.500,1041.600,936.520,857.860
111.090,110.780,103.430,81.450,103.200,11.983,87.940,78.542,91.809,136.810,765.670,802.090,778.100,439.710,194.770,932.500,710.670,267.500,347.480,408.810,207.400,205.220,739.890,756.920,892.320,782.390,550.790,742.600,775.340,157.230,138.810,731.180,606.930,566.460,775.160,871.780,758.040,138.120,156.190,769.870,646.560,753.220,750.060,824.330,1112.700,288.940,1239.200,1156.600,371.450,1127.900,147.190,62.226,890.540,783.190,870.300,289.450,1391.500,1043.000,365.480,1784.200,1485.600,1471.700,442.250,1342.300,474.140,890.260,1396.300,824.630,1440.200,410.490,1442.900,856.930,1344.200,392.740,1158.300,281.690,960.980,883.270,799.630,759.860,903.630,152.840,135.220,908.140,1125.600,984.040,700.760,155.910,135.170,742.430,871.250,918.040,941.240,734.270,994.820,1118.400,951.050,929.580
105.640,105.590,99.669,78.887,99.516,11.371,83.443,75.586,88.174,137.500,730.950,826.840,754.760,428.320,195.740,976.520,692.700,275.360,345.040,398.710,207.960,206.330,743.260,751.550,899.800,776.210,548.240,745.150,798.980,150.640,132.780,743.830,619.020,550.070,791.120,888.110,783.120,132.960,150.760,800.750,666.410,779.830,742.150,805.580,1084.400,277.150,1173.500,1184.300,359.320,1081.500,147.090,62.616,895.820,798.960,885.300,284.300,1365.600,1038.100,352.180,1783.100,1439.200,1426.600,438.610,1329.400,473.820,920.550,1367.800,816.660,1448.900,408.470,1482.800,928.980,1406.600,388.590,1155.100,283.210,991.310,914.230,820.230,750.520,869.760,147.030,130.290,910.070,1105.600,948.320,699.770,145.560,127.690,757.440,892.100,961.400,975.510,719.260,977.180,1149.600,944.710,944.350
108.840,108.660,103.290,80.885,102.750,11.800,85.937,77.982,90.168,137.980,805.190,901.190,751.340,415.070,185.420,1055.000,684.620,274.700,340.580,387.950,194.270,205.230,751.350,801.620,904.580,785.830,548.000,738.420,804.630,156.680,138.450,760.160,630.200,584.740,834.060,943.060,829.850,137.610,156.080,852.310,711.660,840.510,794.600,882.540,1176.900,276.120,1278.100,1344.400,355.390,1231.300,146.270,62.421,975.470,873.300,977.960,269.740,1569.300,1166.000,337.980,2042.800,1612.500,1610.700,428.220,1483.600,455.770,1010.400,1524.300,957.230,1643.200,394.410,1643.000,1056.000,1558.900,378.090,1329.600,282.600,1144.000,1060.300,938.770,859.860,1060.700,151.180,133.560,1083.100,1309.000,1111.700,793.860,153.940,132.890,864.480,1041.300,1077.500,1123.300,873.830,1191.300,1365.500,1089.100,1137.600
108.520,108.160,102.520,80.681,102.380,11.802,86.007,77.669,89.787,133.810,732.230,840.190,717.260,408.530,183.050,980.050,652.730,266.780,331.880,381.860,192.510,200.380,695.430,701.020,837.200,723.560,520.170,700.670,746.780,153.030,135.800,726.450,589.840,533.380,735.330,833.660,741.190,137.210,155.960,737.990,626.790,735.860,734.750,813.790,1092.100,269.760,1188.100,1165.600,344.170,1095.700,141.530,61.332,860.380,770.750,858.410,266.650,1382.900,1034.300,328.070,1765.700,1422.400,1409.700,417.070,1338.900,444.560,907.960,1381.100,829.860,1406.200,384.510,1429.800,871.970,1343.700,368.150,1163.600,275.970,970.190,913.480,844.290,764.000,879.720,150.900,133.500,910.670,1130.100,991.320,703.420,152.000,131.860,753.040,905.100,926.490,970.800,711.960,967.210,1127.100,977.880,914.840
143.560,143.190,128.020,99.083,127.720,14.965,113.850,97.188,116.300,154.420,645.110,830.140,754.000,428.950,196.200,972.540,680.050,296.740,372.160,397.960,206.060,219.530,736.150,676.130,876.800,749.440,512.970,726.530,756.390,194.980,170.060,722.680,568.660,499.560,684.570,770.340,671.300,166.090,190.540,691.520,579.850,684.490,716.380,765.890,1026.700,285.530,1031.400,1162.800,367.150,1011.900,169.220,65.418,779.180,691.780,769.110,292.420,1143.100,885.250,365.090,1504.900,1299.000,1267.100,424.940,1168.000,456.050,863.730,1145.000,777.980,1202.100,400.740,1178.900,745.940,1087.500,383.240,918.560,315.170,765.940,689.400,763.300,668.560,828.450,195.400,168.900,830.340,1001.000,839.100,590.940,200.350,171.440,588.420,699.340,723.910,711.090,543.500,746.850,862.980,825.400,701.580
114.720,114.540,108.520,84.923,108.230,12.418,90.957,82.110,95.007,147.860,864.480,991.020,800.730,460.820,205.630,1153.100,731.710,292.040,366.760,429.700,217.880,210.220,845.160,801.140,1042.200,899.730,613.480,875.750,902.990,164.460,145.950,880.160,722.820,601.420,842.530,927.080,821.960,146.850,167.030,875.490,732.980,860.820,886.040,936.670,1307.100,286.710,1352.400,1399.900,370.780,1232.100,160.560,62.776,1028.300,904.290,1060.200,298.620,1545.900,1193.500,377.400,2065.600,1693.500,1701.400,463.410,1606.100,502.470,1111.100,1615.500,1020.000,1648.900,435.880,1652.800,980.100,1543.200,411.700,1324.300,296.710,1071.100,1005.900,1009.800,893.310,1042.500,158.240,139.780,1056.300,1305.400,1060.900,767.810,163.960,141.430,829.730,942.150,977.120,990.780,752.880,1015.800,1200.300,1013.700,937.750
107.000,106.980,103.890,81.644,103.780,11.730,85.165,78.472,89.534,138.880,818.590,852.640,720.240,408.780,183.050,979.300,653.950,270.520,340.960,379.940,190.870,202.230,783.510,805.560,962.940,843.810,585.310,787.810,832.820,155.100,138.100,785.870,657.400,607.970,856.490,949.700,841.780,135.300,154.020,870.860,736.300,858.350,804.350,870.450,1168.200,271.130,1343.200,1262.200,344.420,1187.600,151.830,61.311,1013.500,899.140,981.890,271.110,1533.200,1175.900,337.930,1957.500,1606.500,1599.100,408.510,1458.400,441.100,972.020,1459.000,862.820,1583.200,384.740,1580.700,947.210,1480.600,363.850,1243.700,284.320,993.620,936.120,841.340,795.120,911.720,147.020,129.630,917.260,1106.300,975.880,696.320,148.920,128.930,769.110,899.690,932.290,948.720,701.400,980.360,1140.000,904.260,901.160
125.810,125.840,123.820,95.002,123.310,13.954,100.500,94.180,103.810,139.170,642.440,721.990,736.790,418.910,190.000,843.800,671.100,277.090,345.500,389.680,199.960,206.420,596.060,611.900,699.800,606.990,434.650,582.370,617.050,183.230,158.070,597.940,484.320,450.920,631.750,731.140,652.370,157.780,181.730,661.200,546.610,654.020,611.280,682.820,929.760,272.440,971.830,985.500,350.350,911.300,148.920,61.492,748.230,669.300,747.900,274.480,1174.100,877.100,345.460,1548.500,1252.100,1248.600,425.130,1135.900,461.060,792.510,1157.500,718.700,1214.600,400.240,1257.100,792.300,1164.800,378.590,992.850,286.370,826.280,763.070,719.260,642.450,789.970,171.630,150.440,812.830,981.020,849.770,598.020,172.520,150.200,652.730,771.800,791.260,824.710,617.930,835.060,972.060,819.510,799.360
