" -F478,S217+F4228,S4229"," -F478,S217+F4230,S4231"," -F478,S217+F4256,S4257"," -F478,S217+F392,S391"," -F478,S217+F4200,S4201"," -F478,S217+F485,S224"," -F478,S217+F591,S332"," -F478,S217+F112,S370"," -F478,S217+F310,S311"," -F474,S475+F4249,S4250"," -F474,S475+F227,S228"," -F4351,S4352+F447,S448"," -F4351,S4352+F254,S255"," -F4213,S4214+F503,S504"," -F4213,S4214+F198,S199"," -F4349,S4350+F445,S446"," -F4349,S4350+F256,S257"," -F4237,S4238+F472,S473"," -F4237,S4238+F229,S230"," -F4215,S4216+F501,S502"," -F4215,S4216+F200,S201"," -F212,S213+F491,S492"," -F4310,S4311+F401,S402"," -F4146,S4147+F140,S141"," -F4313,S4314+F409,S410"," -F4308,S4309+F406,S407"," -F4259,S4260+F397,S398"," -F4315,S4316+F413,S414"," -F4317,S4318+F426,S427"," -F4262,S4263+F419,S420"," -F4252,S4253+F417,S418"," -F4319,S4320+F433,S434"," -F4304,S4305+F430,S431"," -F4197,S4198+F137,S138"," -F4148,S4149+F145,S146"," -F4143,S4144+F149,S150"," -F4141,S4142+F152,S153"," -F4204,S4205+F158,S159"," -F4194,S4195+F160,S161"," -F4139,S4140+F166,S167"," -F4152,S4153+F169,S170"," -F4137,S4138+F173,S174"," -F4321,S4322+F438,S439"," -F4323,S4324+F442,S443"," -F4266,S4267+F453,S454"," -F4300,S4301+F455,S456"," -F4246,S4247+F457,S458"," -F4298,S4299+F466,S467"," -F4269,S4270+F464,S465"," -F4244,S4245+F462,S463"," -F4207,S4208+F210,S211"," -F4209,S4210+F190,S191"," -F4190,S4191+F192,S193"," -F4135,S4136+F178,S179"," -F4133,S4134+F181,S182"," -F4211,S4212+F194,S195"," -F4187,S4188+F206,S207"," -F4156,S4157+F204,S205"," -F4158,S4159+F208,S209"," -F4105,S4106+F470,S471"," -F4296,S4297+F235,S236"," -F4271,S4272+F237,S238"," -F4242,S4243+F239,S240"," -F4294,S4295+F246,S247"," -F4240,S4241+F244,S245"," -F4328,S4329+F520,S521"," -F4274,S4275+F248,S249"," -F4330,S4331+F523,S524"," -F4185,S4186+F495,S496"," -F4217,S4218+F507,S508"," -F4160,S4161+F493,S494"," -F4107,S4108+F231,S232"," -F4162,S4163+F497,S498"," -F4219,S4220+F511,S512"," -F4182,S4183+F509,S510"," -F4221,S4222+F489,S490"," -F4128,S4129+F259,S260"," -F4126,S4127+F263,S264"," -F4332,S4333+F528,S529"," -F4290,S4291+F532,S533"," -F4334,S4335+F535,S536"," -F4278,S4279+F541,S542"," -F4234,S4235+F543,S544"," -F4336,S4337+F549,S550"," -F4338,S4339+F552,S553"," -F4286,S4287+F556,S557"," -F4281,S4282+F564,S565"," -F4178,S4179+F282,S283"," -F4224,S4225+F284,S285"," -F4166,S4167+F271,S272"," -F4124,S4125+F268,S269"," -F4122,S4123+F275,S276"," -F4120,S4121+F288,S289"," -F4175,S4176+F304,S305"," -F4170,S4171+F295,S296"," -F4118,S4119+F292,S293"," -F4284,S4285+F561,S562"," -F4172,S4173+F300,S301"
109.700,109.790,99.771,81.124,99.874,11.733,85.804,75.367,91.475,157.390,274.920,360.360,740.280,409.030,182.380,419.160,677.330,309.240,383.400,384.720,189.910,257.510,278.490,272.510,317.160,265.220,188.920,273.530,278.090,148.540,131.920,263.490,208.130,193.300,249.910,298.920,273.120,133.900,150.100,267.620,212.650,259.140,256.670,273.380,363.580,288.010,362.720,418.590,365.910,352.360,170.980,74.358,286.930,249.950,261.420,272.390,412.860,331.200,319.930,509.430,445.520,451.610,411.500,374.540,447.250,258.380,399.450,243.000,438.640,392.330,407.790,327.230,368.390,369.420,318.010,345.870,250.670,243.590,253.760,209.300,264.430,149.000,131.680,260.390,297.670,244.590,177.870,143.370,125.570,197.760,245.440,252.610,256.120,178.060,242.620,281.750,267.630,246.500
116.410,116.070,108.290,85.467,108.460,12.294,91.291,81.731,95.412,155.390,289.910,353.570,818.000,450.580,202.080,401.630,745.840,310.670,390.260,420.090,216.300,238.420,294.890,290.790,342.130,279.730,205.020,285.820,290.000,154.380,135.160,267.980,220.780,209.610,276.370,323.720,289.150,138.560,156.230,286.640,227.800,276.170,262.200,281.990,383.710,298.900,401.820,430.810,388.260,366.150,168.090,68.310,305.970,268.830,284.610,297.530,447.360,354.460,368.820,553.210,465.040,474.470,450.800,391.370,489.590,258.600,422.840,240.170,470.020,428.340,439.220,336.320,398.000,404.930,339.680,325.660,264.740,256.080,249.360,211.370,259.620,149.470,129.870,253.570,290.850,245.160,181.570,147.510,127.530,212.400,259.790,266.000,266.670,192.660,259.160,301.140,261.610,256.180
115.440,114.880,105.800,83.741,106.180,12.251,90.472,80.168,93.975,147.400,273.430,339.580,805.310,447.970,193.490,394.490,732.170,296.660,373.520,415.620,208.720,219.740,285.860,283.940,325.450,276.780,197.790,276.370,282.270,149.740,128.870,270.290,212.180,205.820,262.770,321.650,284.230,134.710,152.010,286.230,222.460,268.940,256.000,272.870,372.280,294.060,382.320,416.320,376.040,352.290,155.380,61.785,301.390,264.720,280.560,287.160,444.450,349.580,357.430,543.560,451.390,457.670,444.480,382.320,481.190,254.060,405.180,235.330,450.900,426.450,420.670,330.020,384.840,395.060,325.660,304.530,264.200,253.310,242.150,206.370,254.370,146.860,125.410,250.410,291.520,245.420,176.710,147.390,128.480,207.860,256.340,262.220,260.650,183.630,253.600,292.790,260.020,249.900
106.590,106.390,98.080,76.948,97.491,11.433,83.744,74.138,86.896,130.800,248.680,321.000,681.400,368.950,162.860,369.380,620.270,262.260,327.930,345.750,171.500,198.450,257.920,249.930,303.450,252.690,179.620,258.840,262.260,145.590,124.700,246.660,194.660,179.930,233.520,282.930,250.500,122.430,139.310,250.400,198.990,237.600,242.440,260.470,342.570,252.630,345.340,390.260,325.870,328.710,137.390,58.630,270.070,236.620,248.960,243.140,394.160,307.680,294.780,489.000,418.770,424.260,374.080,356.550,404.260,243.230,374.730,223.960,412.810,354.820,384.770,287.870,349.150,335.800,300.120,271.630,236.480,224.180,231.890,194.810,242.190,138.840,118.420,240.260,276.880,230.650,164.380,137.040,119.540,183.710,225.860,232.850,234.150,164.470,225.560,262.810,242.130,225.390
114.650,113.650,106.640,82.799,106.630,12.291,90.145,80.864,92.238,137.320,262.870,333.170,731.340,404.400,174.170,376.960,664.970,275.830,348.880,378.370,185.970,199.270,273.740,266.210,316.280,267.060,189.060,265.060,273.650,152.200,131.150,251.780,208.660,193.090,262.640,308.630,277.860,134.960,152.930,281.840,225.230,272.940,251.280,273.330,357.320,266.240,373.240,400.650,345.490,348.530,147.330,58.594,303.550,268.380,290.230,259.120,442.440,348.580,324.570,559.780,452.500,459.240,404.950,383.700,440.590,254.240,413.010,234.140,454.780,384.630,432.960,317.710,398.350,360.590,337.140,280.720,272.310,256.990,239.530,207.310,251.610,147.520,128.860,246.430,284.640,248.480,174.180,146.670,124.700,212.750,256.020,257.830,262.200,186.120,252.160,296.280,249.660,247.040
111.480,111.180,103.550,80.513,102.790,11.990,87.655,78.013,90.201,141.530,268.080,331.060,714.490,391.660,172.190,371.810,651.410,278.060,348.060,366.490,184.610,200.800,280.190,271.140,328.310,272.760,195.600,273.090,278.790,147.580,127.230,258.460,213.420,196.970,266.470,309.030,272.940,132.120,149.980,276.150,220.860,264.350,255.460,277.450,367.970,258.820,382.490,413.730,338.100,356.080,151.270,55.797,296.420,258.390,278.010,255.890,434.780,337.500,320.810,539.440,455.060,456.520,397.050,386.710,426.350,258.980,407.220,236.500,445.200,373.830,423.560,317.480,385.360,351.870,327.810,285.500,261.070,246.860,243.460,212.750,255.520,140.560,121.310,249.360,291.380,245.840,179.720,141.710,121.630,203.960,244.370,253.120,252.110,183.680,248.430,289.290,256.780,239.060
118.240,117.880,105.160,81.683,104.890,12.138,92.105,79.662,94.182,137.550,270.280,343.850,763.670,423.430,179.680,393.050,700.050,279.910,354.860,396.870,192.360,198.980,283.160,276.190,327.950,276.120,196.160,279.740,286.680,150.120,128.050,265.970,218.460,199.450,279.950,319.580,290.560,131.090,147.600,292.230,231.680,282.150,265.880,283.400,374.350,273.240,389.160,420.470,357.480,365.930,145.650,57.234,319.420,281.830,300.610,266.410,469.130,363.270,336.420,591.060,483.270,490.120,428.790,408.460,469.210,271.800,436.010,253.280,482.970,407.100,467.010,335.840,425.950,379.480,354.920,281.360,291.450,278.900,260.050,222.140,274.700,154.730,136.970,274.520,316.600,278.910,194.500,150.560,127.430,222.930,272.670,277.950,287.210,206.620,277.310,324.760,276.680,274.020
107.590,107.970,96.243,75.578,95.436,11.122,84.119,72.604,87.000,130.630,254.370,331.510,712.180,382.800,165.140,382.460,649.340,266.360,332.670,358.950,175.480,197.820,267.090,259.810,310.600,260.640,184.740,267.370,272.180,143.190,121.430,254.990,202.200,186.060,246.100,286.980,261.910,118.650,133.170,256.560,203.250,245.730,251.470,266.160,355.730,259.820,358.080,408.770,336.840,341.740,137.550,57.897,279.880,242.500,255.720,246.310,410.840,321.340,301.440,505.560,441.630,445.620,392.320,379.760,424.140,258.720,398.770,242.370,432.920,370.540,411.620,299.000,375.300,351.860,318.960,269.120,251.480,240.640,253.540,210.170,262.970,140.970,122.580,263.770,306.030,258.500,185.730,139.010,120.470,192.860,238.140,247.110,250.000,178.960,244.880,287.630,268.780,243.140
117.130,116.340,104.910,82.439,104.840,12.206,90.855,79.134,94.297,146.750,288.300,354.680,829.600,458.770,196.740,411.810,754.660,301.970,380.830,426.520,213.540,217.530,299.750,298.090,343.910,291.850,209.720,293.480,301.170,147.850,126.140,279.610,226.090,212.950,281.360,334.060,302.100,129.910,146.930,297.910,232.660,283.930,277.490,293.550,403.430,296.780,410.890,448.470,387.480,384.630,156.890,61.003,322.870,280.800,300.110,291.740,481.560,371.320,369.540,598.070,492.900,499.820,463.120,420.440,500.810,278.050,444.640,259.890,490.210,439.280,468.820,351.610,425.920,410.860,357.980,301.460,293.090,281.800,271.750,224.300,284.060,150.180,130.580,285.320,329.360,279.720,204.530,149.390,129.850,228.580,281.800,292.580,291.780,210.780,288.910,331.540,292.320,283.070
119.430,118.840,105.400,83.251,105.300,12.323,92.951,79.437,96.734,154.270,304.160,369.180,870.200,480.500,210.230,422.880,794.170,307.950,393.740,450.130,225.100,236.880,306.150,305.290,355.840,294.750,216.420,299.970,306.580,151.470,131.480,283.370,234.700,218.330,297.020,336.090,308.780,132.200,148.820,305.770,240.280,295.210,280.960,300.410,408.760,309.960,431.000,456.150,407.400,392.560,164.970,67.655,329.740,289.560,306.940,307.010,483.600,381.440,383.670,606.970,503.740,514.320,482.760,432.040,523.630,284.700,461.900,265.570,501.590,457.320,482.970,359.460,437.570,430.210,374.850,325.000,294.180,286.420,277.790,231.480,286.360,153.320,135.500,285.580,329.250,278.840,209.500,152.780,130.310,230.710,282.710,294.250,298.360,219.660,291.600,340.450,293.530,287.140
108.160,108.190,96.490,77.979,96.444,11.364,84.001,72.535,89.723,156.030,282.520,368.590,769.320,417.760,186.940,430.430,707.430,306.120,381.910,394.420,194.630,252.600,287.140,282.450,328.940,278.120,198.250,283.930,287.910,143.390,126.410,272.350,216.570,199.180,262.420,302.540,283.490,127.420,143.360,274.460,216.590,267.040,266.390,281.340,379.640,293.170,385.660,436.200,375.950,365.190,168.830,72.975,298.320,258.400,272.490,275.100,433.870,345.250,327.950,536.110,468.730,477.330,425.830,396.810,464.030,268.560,422.070,258.290,460.910,404.820,434.400,335.380,391.500,383.170,336.360,338.740,262.910,259.180,270.400,218.940,283.830,146.290,132.400,283.610,325.550,270.370,196.350,142.010,123.650,210.230,258.420,268.590,271.740,193.900,262.860,303.840,291.000,264.090
