" -F1180,S919+F4492,S4493"," -F1180,S919+F4494,S4495"," -F1180,S919+F4520,S4521"," -F1180,S919+F1094,S1093"," -F1180,S919+F4464,S4465"," -F1180,S919+F1187,S926"," -F1180,S919+F1293,S1034"," -F1180,S919+F814,S1072"," -F1180,S919+F1012,S1013"," -F1176,S1177+F4513,S4514"," -F1176,S1177+F929,S930"," -F4615,S4616+F1149,S1150"," -F4615,S4616+F956,S957"," -F4477,S4478+F1205,S1206"," -F4477,S4478+F900,S901"," -F4613,S4614+F1147,S1148"," -F4613,S4614+F958,S959"," -F4501,S4502+F1174,S1175"," -F4501,S4502+F931,S932"," -F4479,S4480+F1203,S1204"," -F4479,S4480+F902,S903"," -F914,S915+F1193,S1194"," -F4574,S4575+F1103,S1104"," -F4410,S4411+F842,S843"," -F4577,S4578+F1111,S1112"," -F4572,S4573+F1108,S1109"," -F4523,S4524+F1099,S1100"," -F4579,S4580+F1115,S1116"," -F4581,S4582+F1128,S1129"," -F4526,S4527+F1121,S1122"," -F4516,S4517+F1119,S1120"," -F4583,S4584+F1135,S1136"," -F4568,S4569+F1132,S1133"," -F4461,S4462+F839,S840"," -F4412,S4413+F847,S848"," -F4407,S4408+F851,S852"," -F4405,S4406+F854,S855"," -F4468,S4469+F860,S861"," -F4458,S4459+F862,S863"," -F4403,S4404+F868,S869"," -F4416,S4417+F871,S872"," -F4401,S4402+F875,S876"," -F4585,S4586+F1140,S1141"," -F4587,S4588+F1144,S1145"," -F4530,S4531+F1155,S1156"," -F4564,S4565+F1157,S1158"," -F4510,S4511+F1159,S1160"," -F4562,S4563+F1168,S1169"," -F4533,S4534+F1166,S1167"," -F4508,S4509+F1164,S1165"," -F4471,S4472+F912,S913"," -F4473,S4474+F892,S893"," -F4454,S4455+F894,S895"," -F4399,S4400+F880,S881"," -F4397,S4398+F883,S884"," -F4475,S4476+F896,S897"," -F4451,S4452+F908,S909"," -F4420,S4421+F906,S907"," -F4422,S4423+F910,S911"," -F4369,S4370+F1172,S1173"," -F4560,S4561+F937,S938"," -F4535,S4536+F939,S940"," -F4506,S4507+F941,S942"," -F4558,S4559+F948,S949"," -F4504,S4505+F946,S947"," -F4592,S4593+F1222,S1223"," -F4538,S4539+F950,S951"," -F4594,S4595+F1225,S1226"," -F4449,S4450+F1197,S1198"," -F4481,S4482+F1209,S1210"," -F4424,S4425+F1195,S1196"," -F4371,S4372+F933,S934"," -F4426,S4427+F1199,S1200"," -F4483,S4484+F1213,S1214"," -F4446,S4447+F1211,S1212"," -F4485,S4486+F1191,S1192"," -F4392,S4393+F961,S962"," -F4390,S4391+F965,S966"," -F4596,S4597+F1230,S1231"," -F4554,S4555+F1234,S1235"," -F4598,S4599+F1237,S1238"," -F4542,S4543+F1243,S1244"," -F4498,S4499+F1245,S1246"," -F4600,S4601+F1251,S1252"," -F4602,S4603+F1254,S1255"," -F4550,S4551+F1258,S1259"," -F4545,S4546+F1266,S1267"," -F4442,S4443+F984,S985"," -F4488,S4489+F986,S987"," -F4430,S4431+F973,S974"," -F4388,S4389+F970,S971"," -F4386,S4387+F977,S978"," -F4384,S4385+F990,S991"," -F4439,S4440+F1006,S1007"," -F4434,S4435+F997,S998"," -F4382,S4383+F994,S995"," -F4548,S4549+F1263,S1264"," -F4436,S4437+F1002,S1003"
92.31,92.39,87.10,68.54,86.76,10.13,72.48,65.13,74.70,115.05,234.63,296.48,685.78,363.28,157.36,342.70,629.70,234.40,298.82,338.54,166.41,171.73,255.76,253.52,296.34,252.16,177.72,253.84,255.94,126.94,112.41,237.83,190.18,181.28,247.02,287.51,260.12,112.13,125.43,257.80,202.93,244.76,232.15,245.69,323.90,253.02,332.27,361.14,334.50,312.95,122.94,52.48,266.99,240.23,257.79,239.66,389.84,306.34,302.84,495.80,401.74,406.29,384.17,342.50,403.18,232.52,360.81,217.98,398.43,349.08,384.44,285.36,347.51,328.31,288.81,235.62,243.16,228.27,221.38,188.59,229.88,121.08,105.99,233.56,270.15,230.34,161.26,122.66,107.59,185.93,228.17,233.61,235.54,163.60,227.95,267.57,232.50,221.97
94.08,94.48,89.81,70.65,88.56,10.47,74.16,66.98,76.91,115.74,240.26,308.94,667.42,360.41,155.66,357.25,611.15,232.69,297.06,334.10,164.73,177.02,260.91,248.84,304.42,257.41,181.95,262.21,264.12,130.16,113.94,245.79,196.07,177.65,243.59,284.77,258.02,114.35,128.24,256.92,200.64,243.87,240.70,257.43,337.51,248.59,341.81,378.86,324.23,322.94,120.39,53.29,263.01,239.61,255.11,237.62,385.43,303.57,304.58,493.90,411.06,412.87,371.14,353.78,400.18,239.32,368.23,227.66,400.97,343.39,383.50,284.75,344.95,325.93,292.07,239.04,239.64,225.89,230.23,195.43,240.83,125.86,109.88,241.89,281.96,236.46,166.47,125.99,109.65,184.16,227.43,232.28,238.70,162.22,226.15,269.02,242.07,223.89
96.29,96.57,91.75,71.99,91.11,10.85,75.74,68.47,78.31,124.74,245.78,305.48,759.31,407.90,180.04,351.04,688.81,254.59,323.50,379.22,191.36,180.28,257.43,266.63,297.81,254.64,179.91,255.54,257.71,136.77,119.40,242.24,193.87,189.04,257.62,299.44,275.00,122.48,137.42,271.76,212.83,258.32,237.93,251.18,330.95,274.18,345.86,369.85,359.95,319.52,130.50,55.24,279.54,253.15,272.19,266.08,411.13,322.26,339.79,517.77,412.03,415.01,415.64,351.84,442.97,236.93,373.26,221.96,409.03,383.12,395.30,299.91,357.79,354.84,302.98,251.58,252.62,239.13,224.93,189.61,234.66,131.26,114.85,235.00,273.47,229.78,165.48,133.09,114.85,193.89,241.29,247.61,250.62,171.96,240.24,283.18,233.99,234.86
97.22,97.32,91.88,73.03,90.81,10.81,76.28,68.75,79.25,131.39,241.79,302.38,808.35,436.95,193.42,348.70,738.48,269.64,345.64,406.92,207.06,190.41,249.60,259.41,286.32,243.15,172.75,247.70,252.19,138.23,122.27,235.92,186.15,182.46,249.05,292.85,267.13,125.50,140.69,265.09,206.28,251.52,229.52,244.05,320.71,288.15,329.79,359.05,375.55,309.47,140.23,58.11,271.39,246.64,260.04,284.86,394.52,313.05,364.98,494.61,401.68,406.91,450.74,339.15,486.79,230.32,355.11,216.94,398.88,420.50,380.24,296.22,340.71,380.23,289.87,266.67,244.03,232.53,220.93,184.52,228.03,134.54,118.02,229.62,263.21,223.95,159.10,136.51,119.48,189.04,234.30,240.81,244.35,165.55,230.39,273.45,230.21,228.74
102.57,102.55,92.57,73.93,92.03,11.08,79.29,69.30,82.26,133.99,254.54,319.30,859.53,456.91,200.84,367.38,786.44,276.77,356.39,426.47,215.18,191.36,264.32,271.38,305.04,262.06,183.48,265.71,267.92,139.87,123.61,253.03,202.49,191.07,263.35,308.99,280.19,127.96,144.35,281.08,220.22,268.29,247.34,263.56,344.00,298.15,352.42,383.54,392.31,329.36,141.20,59.30,290.31,261.21,277.58,294.50,427.67,333.18,378.98,532.06,429.45,433.17,478.54,363.93,519.24,245.75,386.75,233.57,429.02,448.51,410.91,311.91,372.07,414.68,314.90,269.63,263.66,252.34,237.42,203.30,248.68,141.44,124.46,252.47,293.69,247.57,175.13,143.15,123.87,205.90,251.80,261.17,267.66,184.78,258.22,304.99,255.78,255.39
99.70,99.49,91.28,71.91,90.24,10.92,77.45,68.29,80.19,117.39,250.37,323.47,705.91,377.41,161.19,373.94,644.63,241.03,305.54,352.71,171.18,175.90,272.70,260.63,317.88,270.82,189.57,271.39,275.01,133.74,117.16,259.54,206.23,183.75,253.95,296.69,268.40,117.85,132.36,267.13,209.63,254.56,253.43,271.08,356.95,258.64,361.28,396.31,340.09,339.32,121.71,54.06,272.68,248.85,266.41,244.71,408.12,318.77,311.85,523.85,437.43,438.19,391.34,374.63,420.68,257.59,391.26,244.53,424.77,362.34,403.37,297.13,366.06,342.69,310.72,238.54,257.67,242.10,246.98,211.31,260.88,132.07,115.78,263.77,309.57,261.39,184.20,130.94,113.82,197.24,242.62,252.27,257.34,178.23,250.92,295.02,267.38,242.34
96.52,96.74,88.02,69.56,87.34,10.51,75.01,66.12,77.29,116.64,246.84,311.96,717.76,380.42,161.60,362.67,658.26,240.59,306.18,356.69,171.59,172.24,264.17,262.18,306.19,261.61,184.27,262.94,267.35,130.28,114.97,250.75,199.05,187.56,254.50,293.99,264.33,114.41,127.16,265.27,211.17,258.95,244.84,260.85,344.57,260.39,350.76,380.81,341.75,330.15,124.13,53.13,277.10,252.89,270.03,244.40,406.83,320.56,310.22,518.59,430.67,431.97,400.44,367.19,426.58,250.72,385.50,234.78,420.76,369.28,403.24,293.88,365.59,347.32,309.97,238.33,258.21,244.70,239.33,206.67,252.21,127.29,111.08,255.11,300.93,255.70,180.65,127.92,111.56,199.54,243.97,253.51,259.15,179.59,251.80,296.69,260.65,246.31
96.94,96.82,87.75,68.88,87.10,10.41,75.70,65.58,77.97,117.70,253.21,313.85,724.95,382.17,163.22,363.55,665.96,241.26,307.03,358.07,173.29,171.99,266.38,264.97,307.81,263.79,185.55,263.87,269.91,128.54,114.16,253.20,204.30,190.44,259.11,299.72,271.05,113.19,126.58,269.73,215.95,260.80,247.97,264.87,351.30,262.58,358.56,386.01,346.53,337.11,124.03,53.56,285.73,258.27,276.62,247.84,422.26,332.09,317.75,541.46,441.38,441.18,403.25,377.94,427.03,255.48,395.81,240.67,431.86,369.09,416.80,302.77,378.74,352.94,319.90,238.30,266.62,251.12,240.89,211.00,258.40,128.21,112.96,260.58,305.66,261.28,184.37,128.84,112.63,205.46,251.14,257.84,263.84,186.71,258.38,303.25,265.99,256.18
100.86,101.20,91.82,72.39,91.30,10.90,78.37,69.04,81.15,119.23,256.50,327.00,724.41,387.48,164.58,378.79,659.45,245.00,310.89,361.06,174.34,176.99,275.17,262.47,322.06,275.11,192.59,274.85,277.59,137.60,119.90,262.52,210.83,187.88,256.88,300.31,271.70,119.22,133.56,271.46,215.13,260.00,257.36,273.04,363.11,264.45,370.75,403.47,344.77,348.70,123.55,54.12,283.24,258.35,273.26,248.97,421.48,329.69,320.77,538.43,450.02,449.10,403.28,389.68,433.71,265.43,403.07,252.25,433.97,372.35,419.91,304.23,379.86,352.42,324.40,242.46,268.81,250.19,253.70,219.96,269.95,137.01,119.98,273.75,322.65,271.83,192.66,133.66,115.43,207.56,253.36,258.59,264.06,186.20,258.53,304.09,276.81,254.94
102.93,102.92,93.00,73.38,92.43,10.99,79.67,69.82,81.88,127.84,262.70,327.65,809.61,436.90,189.22,381.10,737.92,263.26,334.67,403.75,203.16,181.33,269.56,274.14,314.59,270.30,190.55,270.14,276.98,138.67,121.71,260.14,209.13,197.33,269.67,313.57,284.88,123.53,139.49,285.46,224.59,272.74,255.80,272.57,355.81,288.91,371.70,404.25,383.30,350.30,131.94,56.22,300.70,268.86,289.44,281.52,442.62,345.66,359.23,561.65,458.92,462.26,448.55,393.62,476.31,265.47,415.96,249.12,453.23,414.82,435.44,318.01,396.79,386.88,336.31,250.13,280.20,264.50,252.48,217.84,262.85,138.84,120.97,266.43,314.36,267.59,188.97,138.78,120.17,217.24,264.96,273.19,280.31,196.90,274.13,320.27,272.74,268.17
