" -F1882,S1621+F4756,S4757"," -F1882,S1621+F4758,S4759"," -F1882,S1621+F4784,S4785"," -F1882,S1621+F1796,S1795"," -F1882,S1621+F4728,S4729"," -F1882,S1621+F1889,S1628"," -F1882,S1621+F1995,S1736"," -F1882,S1621+F1516,S1774"," -F1882,S1621+F1714,S1715"," -F1878,S1879+F4777,S4778"," -F1878,S1879+F1631,S1632"," -F4879,S4880+F1851,S1852"," -F4879,S4880+F1658,S1659"," -F4741,S4742+F1907,S1908"," -F4741,S4742+F1602,S1603"," -F4877,S4878+F1849,S1850"," -F4877,S4878+F1660,S1661"," -F4765,S4766+F1876,S1877"," -F4765,S4766+F1633,S1634"," -F4743,S4744+F1905,S1906"," -F4743,S4744+F1604,S1605"," -F1616,S1617+F1895,S1896"," -F4838,S4839+F1805,S1806"," -F4674,S4675+F1544,S1545"," -F4841,S4842+F1813,S1814"," -F4836,S4837+F1810,S1811"," -F4787,S4788+F1801,S1802"," -F4843,S4844+F1817,S1818"," -F4845,S4846+F1830,S1831"," -F4790,S4791+F1823,S1824"," -F4780,S4781+F1821,S1822"," -F4847,S4848+F1837,S1838"," -F4832,S4833+F1834,S1835"," -F4725,S4726+F1541,S1542"," -F4676,S4677+F1549,S1550"," -F4671,S4672+F1553,S1554"," -F4669,S4670+F1556,S1557"," -F4732,S4733+F1562,S1563"," -F4722,S4723+F1564,S1565"," -F4667,S4668+F1570,S1571"," -F4680,S4681+F1573,S1574"," -F4665,S4666+F1577,S1578"," -F4849,S4850+F1842,S1843"," -F4851,S4852+F1846,S1847"," -F4794,S4795+F1857,S1858"," -F4828,S4829+F1859,S1860"," -F4774,S4775+F1861,S1862"," -F4826,S4827+F1870,S1871"," -F4797,S4798+F1868,S1869"," -F4772,S4773+F1866,S1867"," -F4735,S4736+F1614,S1615"," -F4737,S4738+F1594,S1595"," -F4718,S4719+F1596,S1597"," -F4663,S4664+F1582,S1583"," -F4661,S4662+F1585,S1586"," -F4739,S4740+F1598,S1599"," -F4715,S4716+F1610,S1611"," -F4684,S4685+F1608,S1609"," -F4686,S4687+F1612,S1613"," -F4633,S4634+F1874,S1875"," -F4824,S4825+F1639,S1640"," -F4799,S4800+F1641,S1642"," -F4770,S4771+F1643,S1644"," -F4822,S4823+F1650,S1651"," -F4768,S4769+F1648,S1649"," -F4856,S4857+F1924,S1925"," -F4802,S4803+F1652,S1653"," -F4858,S4859+F1927,S1928"," -F4713,S4714+F1899,S1900"," -F4745,S4746+F1911,S1912"," -F4688,S4689+F1897,S1898"," -F4635,S4636+F1635,S1636"," -F4690,S4691+F1901,S1902"," -F4747,S4748+F1915,S1916"," -F4710,S4711+F1913,S1914"," -F4749,S4750+F1893,S1894"," -F4656,S4657+F1663,S1664"," -F4654,S4655+F1667,S1668"," -F4860,S4861+F1932,S1933"," -F4818,S4819+F1936,S1937"," -F4862,S4863+F1939,S1940"," -F4806,S4807+F1945,S1946"," -F4762,S4763+F1947,S1948"," -F4864,S4865+F1953,S1954"," -F4866,S4867+F1956,S1957"," -F4814,S4815+F1960,S1961"," -F4809,S4810+F1968,S1969"," -F4706,S4707+F1686,S1687"," -F4752,S4753+F1688,S1689"," -F4694,S4695+F1675,S1676"," -F4652,S4653+F1672,S1673"," -F4650,S4651+F1679,S1680"," -F4648,S4649+F1692,S1693"," -F4703,S4704+F1708,S1709"," -F4698,S4699+F1699,S1700"," -F4646,S4647+F1696,S1697"," -F4812,S4813+F1965,S1966"," -F4700,S4701+F1704,S1705"
94.06,94.17,88.36,69.34,88.12,10.38,74.17,66.61,76.53,115.47,237.38,296.28,683.94,369.65,160.64,342.18,626.43,233.33,299.00,342.22,169.42,170.86,251.06,260.03,292.52,250.88,175.58,251.98,255.07,127.99,113.66,237.47,189.03,184.97,252.36,292.77,263.75,114.37,128.53,260.37,205.36,249.92,234.01,248.29,329.30,251.42,335.39,362.04,329.94,310.98,122.87,53.93,270.94,245.63,261.63,243.24,393.79,311.42,309.83,496.56,400.81,405.78,382.84,342.28,407.33,232.80,362.54,219.16,397.02,352.94,381.53,285.23,344.11,327.52,291.49,237.15,242.87,229.60,220.67,189.26,231.82,123.91,108.65,232.10,270.65,231.54,163.16,125.81,109.51,185.89,229.14,236.48,238.83,164.34,229.00,271.46,234.09,225.38
92.53,92.74,88.23,69.36,86.77,10.33,73.18,65.92,75.71,118.83,240.00,297.82,685.74,362.96,161.14,344.37,625.91,240.11,301.76,336.79,169.82,177.67,253.16,262.90,290.31,249.22,175.31,249.07,250.04,129.51,114.64,232.66,187.38,185.39,254.01,296.63,268.83,114.85,128.27,266.43,209.64,254.92,228.25,244.04,321.28,254.98,337.33,358.97,332.25,308.21,124.73,54.49,276.41,249.82,267.57,241.64,406.66,319.36,307.77,508.45,405.84,412.22,378.68,343.27,398.95,228.74,364.08,215.63,403.51,344.11,389.47,296.02,352.56,326.51,296.21,243.55,252.31,237.51,216.94,185.31,227.42,123.79,107.49,227.00,263.28,224.56,157.83,126.06,109.11,191.46,238.60,244.03,246.16,168.19,236.13,278.22,227.84,227.91
97.19,97.05,91.11,72.64,90.99,10.75,76.10,68.66,78.89,129.67,252.59,319.02,790.69,431.22,190.87,367.31,723.34,265.34,339.63,400.67,206.52,189.20,271.04,262.22,313.56,267.69,188.25,271.80,273.74,136.98,120.09,254.76,203.71,188.09,254.32,292.45,264.75,123.32,137.60,266.69,212.02,257.42,248.60,264.23,345.27,282.83,356.62,385.35,371.66,331.88,135.97,57.53,278.28,249.58,268.39,282.25,402.33,318.62,362.98,511.58,426.21,427.53,442.01,363.15,479.23,246.81,379.97,232.96,414.60,413.64,394.59,292.47,356.79,377.16,301.43,260.32,248.58,234.80,235.61,200.67,248.05,131.73,115.63,244.93,282.58,239.26,169.00,133.91,116.28,191.41,235.71,243.28,245.28,170.46,235.63,277.54,244.25,231.22
92.00,91.88,86.46,69.42,85.95,10.32,71.86,64.76,75.12,131.08,228.64,278.05,762.43,418.04,187.63,321.32,697.88,261.52,337.47,387.25,197.42,192.28,229.33,247.30,259.25,220.25,158.40,227.59,229.57,129.79,115.72,215.76,170.91,173.20,236.05,275.46,252.34,120.85,135.06,251.41,193.46,241.27,209.66,219.32,288.88,268.39,302.80,324.49,352.79,283.70,140.77,58.34,257.35,232.89,247.16,278.55,379.30,298.32,359.40,469.52,372.02,380.30,430.21,314.75,468.49,208.97,337.33,200.12,375.71,406.57,362.12,287.59,326.48,370.15,275.50,269.09,234.82,224.68,204.94,171.23,212.56,125.60,110.49,212.50,241.80,204.07,147.82,132.05,115.89,181.23,226.60,233.04,234.29,157.32,219.10,262.93,213.13,218.31
95.61,95.34,86.07,69.50,86.00,10.30,74.20,64.72,77.18,132.81,238.82,288.81,822.65,451.62,202.76,333.51,752.73,272.80,350.26,418.11,215.80,192.56,236.23,259.86,269.13,228.53,165.15,232.90,234.93,129.55,115.42,220.45,176.43,181.85,249.11,291.43,265.97,121.55,135.85,266.51,207.11,255.35,216.00,227.09,301.83,285.23,320.84,338.60,377.03,297.10,141.64,58.68,274.00,250.00,262.79,299.27,401.16,317.33,384.38,499.60,390.29,400.99,459.65,330.32,505.10,217.90,353.81,208.08,399.22,434.59,383.96,303.06,347.40,404.76,293.31,270.02,253.27,240.37,213.57,181.14,224.50,130.26,114.46,225.71,259.43,220.90,160.00,136.15,118.80,194.87,243.26,251.82,256.22,174.10,241.10,288.48,229.99,240.68
97.67,98.63,89.36,70.68,88.96,10.69,76.41,67.35,78.93,120.83,251.58,314.27,722.46,380.65,169.31,358.55,658.57,247.76,311.19,356.86,178.90,182.30,262.77,273.08,302.63,259.94,183.48,262.82,264.62,132.05,117.50,248.67,200.44,192.68,267.29,309.53,281.46,116.50,131.61,279.45,219.90,268.75,241.48,261.79,345.38,268.48,352.84,382.28,349.38,333.84,127.10,55.78,288.88,263.24,281.85,253.46,427.05,336.19,323.23,541.04,429.05,432.79,396.85,368.35,419.96,242.82,385.90,233.16,426.96,362.99,413.87,309.88,376.02,348.01,314.84,248.79,268.93,252.26,237.19,203.07,249.31,129.84,113.41,249.36,290.00,248.20,177.43,130.79,114.59,207.64,254.70,262.29,266.56,185.56,259.10,304.68,254.78,254.88
98.97,98.49,89.68,70.20,89.15,10.62,76.83,67.66,79.05,116.49,250.59,312.10,724.10,387.70,166.52,360.51,663.21,240.88,308.12,359.13,175.70,172.66,265.09,270.02,307.45,263.39,184.92,263.46,267.81,131.13,116.10,250.90,201.84,192.34,262.97,302.91,274.57,116.28,130.42,272.98,215.12,261.70,247.22,262.75,346.76,262.75,358.97,383.53,344.48,330.72,125.01,53.83,286.30,257.74,277.50,250.96,418.07,330.54,319.75,534.93,435.75,440.44,405.15,375.10,432.63,251.77,395.88,238.81,436.18,372.34,421.36,305.81,384.45,349.60,319.32,240.02,266.67,250.18,240.33,207.23,250.75,129.29,112.63,252.83,298.77,254.63,180.99,130.97,114.33,205.20,249.66,259.67,266.60,185.65,257.07,304.58,258.46,251.06
99.68,100.05,90.11,70.56,89.83,10.76,77.92,67.87,80.32,116.94,255.46,314.47,730.37,390.96,168.53,365.99,671.05,241.29,310.77,362.89,177.16,174.32,264.51,267.20,308.18,262.22,185.72,266.17,268.39,132.82,117.60,250.70,198.98,188.89,259.57,303.12,275.21,117.10,131.39,272.81,216.67,261.83,244.11,264.33,352.45,261.13,364.97,388.40,343.84,339.24,125.17,54.48,287.34,261.58,279.76,252.15,427.32,333.40,323.32,544.62,444.01,450.01,408.42,381.22,436.85,256.19,399.95,242.65,437.59,376.74,419.19,306.31,379.33,356.34,325.32,241.28,272.18,256.86,243.94,211.75,259.19,131.21,114.91,260.42,305.19,262.48,184.17,133.49,115.11,210.90,257.94,267.25,272.60,191.77,265.51,312.89,266.15,261.08
98.71,98.97,89.94,71.57,88.99,10.57,77.04,67.76,80.02,122.44,253.65,314.89,742.89,392.89,173.58,364.49,679.53,250.29,314.25,366.36,184.28,182.77,260.99,273.26,303.40,259.94,183.45,262.27,264.72,133.84,118.02,249.85,199.08,193.70,264.64,309.91,281.67,119.36,133.59,281.34,219.70,270.13,241.63,257.93,341.09,271.52,355.37,385.27,354.43,332.75,127.99,56.09,294.41,266.27,283.37,257.03,435.31,342.80,326.96,547.41,435.50,444.25,409.02,375.82,432.08,250.37,398.46,235.44,440.77,373.46,425.80,317.46,384.03,359.53,326.49,250.63,277.72,259.79,242.34,208.04,253.32,132.88,116.53,260.11,299.48,254.21,181.03,134.33,117.23,212.52,261.74,268.70,275.70,190.83,266.05,315.16,260.21,261.35
102.51,102.48,92.25,73.62,92.03,10.99,79.56,69.45,82.30,133.39,275.56,340.91,851.91,464.16,205.62,393.08,780.29,278.90,354.96,431.96,219.44,194.29,286.19,279.43,336.17,283.99,200.08,286.13,291.25,138.80,122.70,271.97,217.79,201.63,272.50,316.15,288.05,124.16,139.89,287.85,228.01,274.44,268.19,285.62,375.20,300.48,386.59,416.80,395.17,357.10,137.99,58.53,299.85,271.90,290.98,301.90,439.44,343.45,388.39,560.25,472.98,473.00,479.17,410.24,513.54,279.53,429.27,264.33,460.39,445.32,436.13,315.61,395.11,415.55,341.37,268.45,279.51,263.10,263.62,227.50,278.37,140.70,121.94,279.88,330.91,279.68,197.56,140.46,122.39,217.25,261.83,272.77,279.20,195.04,268.81,318.20,285.69,266.08
