" -F478,S217+F4228,S4229"," -F478,S217+F4230,S4231"," -F478,S217+F4256,S4257"," -F478,S217+F392,S391"," -F478,S217+F4200,S4201"," -F478,S217+F485,S224"," -F478,S217+F591,S332"," -F478,S217+F112,S370"," -F478,S217+F310,S311"," -F474,S475+F4249,S4250"," -F474,S475+F227,S228"," -F4351,S4352+F447,S448"," -F4351,S4352+F254,S255"," -F4213,S4214+F503,S504"," -F4213,S4214+F198,S199"," -F4349,S4350+F445,S446"," -F4349,S4350+F256,S257"," -F4237,S4238+F472,S473"," -F4237,S4238+F229,S230"," -F4215,S4216+F501,S502"," -F4215,S4216+F200,S201"," -F212,S213+F491,S492"," -F4310,S4311+F401,S402"," -F4146,S4147+F140,S141"," -F4313,S4314+F409,S410"," -F4308,S4309+F406,S407"," -F4259,S4260+F397,S398"," -F4315,S4316+F413,S414"," -F4317,S4318+F426,S427"," -F4262,S4263+F419,S420"," -F4252,S4253+F417,S418"," -F4319,S4320+F433,S434"," -F4304,S4305+F430,S431"," -F4197,S4198+F137,S138"," -F4148,S4149+F145,S146"," -F4143,S4144+F149,S150"," -F4141,S4142+F152,S153"," -F4204,S4205+F158,S159"," -F4194,S4195+F160,S161"," -F4139,S4140+F166,S167"," -F4152,S4153+F169,S170"," -F4137,S4138+F173,S174"," -F4321,S4322+F438,S439"," -F4323,S4324+F442,S443"," -F4266,S4267+F453,S454"," -F4300,S4301+F455,S456"," -F4246,S4247+F457,S458"," -F4298,S4299+F466,S467"," -F4269,S4270+F464,S465"," -F4244,S4245+F462,S463"," -F4207,S4208+F210,S211"," -F4209,S4210+F190,S191"," -F4190,S4191+F192,S193"," -F4135,S4136+F178,S179"," -F4133,S4134+F181,S182"," -F4211,S4212+F194,S195"," -F4187,S4188+F206,S207"," -F4156,S4157+F204,S205"," -F4158,S4159+F208,S209"," -F4105,S4106+F470,S471"," -F4296,S4297+F235,S236"," -F4271,S4272+F237,S238"," -F4242,S4243+F239,S240"," -F4294,S4295+F246,S247"," -F4240,S4241+F244,S245"," -F4328,S4329+F520,S521"," -F4274,S4275+F248,S249"," -F4330,S4331+F523,S524"," -F4185,S4186+F495,S496"," -F4217,S4218+F507,S508"," -F4160,S4161+F493,S494"," -F4107,S4108+F231,S232"," -F4162,S4163+F497,S498"," -F4219,S4220+F511,S512"," -F4182,S4183+F509,S510"," -F4221,S4222+F489,S490"," -F4128,S4129+F259,S260"," -F4126,S4127+F263,S264"," -F4332,S4333+F528,S529"," -F4290,S4291+F532,S533"," -F4334,S4335+F535,S536"," -F4278,S4279+F541,S542"," -F4234,S4235+F543,S544"," -F4336,S4337+F549,S550"," -F4338,S4339+F552,S553"," -F4286,S4287+F556,S557"," -F4281,S4282+F564,S565"," -F4178,S4179+F282,S283"," -F4224,S4225+F284,S285"," -F4166,S4167+F271,S272"," -F4124,S4125+F268,S269"," -F4122,S4123+F275,S276"," -F4120,S4121+F288,S289"," -F4175,S4176+F304,S305"," -F4170,S4171+F295,S296"," -F4118,S4119+F292,S293"," -F4284,S4285+F561,S562"," -F4172,S4173+F300,S301"
90.00,90.57,83.44,66.15,82.71,10.10,71.09,63.21,73.79,109.21,229.17,299.93,651.58,346.34,145.71,346.60,600.22,222.89,285.19,324.06,153.16,163.64,253.98,230.13,295.94,251.17,175.51,253.70,253.78,126.26,111.36,238.46,189.69,166.97,224.54,258.29,234.82,105.70,118.48,231.52,184.62,223.70,233.49,249.31,330.90,242.87,332.05,365.73,314.79,311.48,116.21,49.40,242.67,218.27,233.03,222.36,354.61,278.94,281.42,462.11,398.12,395.51,360.29,342.76,383.75,232.14,351.69,218.29,381.45,331.29,363.93,258.36,327.45,310.62,277.36,224.52,221.64,209.44,220.26,186.19,230.92,122.44,107.36,230.97,268.74,223.96,159.49,118.45,102.64,171.85,210.15,216.47,219.24,154.34,213.81,248.64,227.13,207.56
94.37,94.43,88.58,69.41,87.59,10.35,73.99,66.60,76.45,112.03,249.60,305.90,676.69,357.55,154.79,351.67,622.10,228.44,295.26,333.56,164.21,168.61,266.39,261.03,306.77,263.65,186.23,262.87,266.26,126.14,111.50,249.06,202.38,189.18,254.53,292.16,264.90,113.10,126.51,262.45,211.18,250.43,245.09,258.10,347.60,249.32,361.95,380.03,324.26,334.93,120.45,52.29,273.85,248.12,263.96,235.25,399.10,312.11,303.44,514.05,427.37,432.63,374.28,369.96,397.37,246.29,385.92,230.93,419.92,341.57,399.07,285.17,363.76,322.02,308.33,231.46,249.53,234.18,231.47,201.69,243.79,125.46,109.31,243.41,283.90,241.52,172.23,126.04,108.31,193.43,233.76,239.71,242.27,171.22,237.38,274.70,242.44,229.56
95.52,95.59,90.70,71.62,90.94,10.78,75.17,68.55,77.49,122.60,245.86,306.03,735.79,398.52,174.84,351.59,668.90,251.67,316.35,372.00,186.60,173.39,261.23,262.99,300.95,256.49,181.87,258.02,261.63,134.72,118.16,244.19,194.77,189.81,256.11,300.40,272.48,118.85,133.63,271.42,213.20,257.98,239.43,255.36,334.43,267.25,350.69,372.08,351.58,322.78,129.56,52.14,279.38,252.92,273.52,258.06,408.43,320.55,330.37,518.40,420.38,423.27,406.85,360.31,435.17,242.62,378.88,228.10,416.10,375.33,399.81,295.33,360.63,347.28,305.50,243.63,253.82,240.00,229.26,193.94,237.07,130.52,113.16,239.63,276.29,233.40,165.51,130.20,112.51,194.25,238.36,244.29,248.10,171.46,237.94,280.94,236.01,234.49
96.57,96.77,91.42,72.56,90.79,10.76,76.10,68.69,79.29,129.90,252.48,319.04,789.75,430.63,190.42,367.17,722.56,266.93,340.09,401.04,205.71,189.14,271.72,261.48,314.04,267.29,189.18,272.00,273.67,136.92,120.26,254.94,204.84,188.41,252.47,292.24,265.17,123.46,137.34,266.48,212.38,257.20,249.11,263.88,345.86,284.37,356.36,387.27,371.96,332.73,136.00,56.79,277.71,249.06,268.37,281.46,402.26,318.45,361.54,512.22,425.65,427.70,441.80,363.49,478.71,246.93,379.56,232.41,414.92,412.43,394.69,294.19,356.48,377.08,301.70,258.93,248.35,234.48,235.30,201.13,247.88,132.62,115.88,245.03,282.23,237.99,167.72,133.78,115.84,191.01,236.84,242.51,244.84,169.74,235.61,277.19,242.72,230.51
101.93,101.97,92.29,73.85,92.52,10.99,79.41,69.78,82.51,131.50,267.68,335.16,832.43,452.08,198.30,387.30,762.55,276.66,351.38,420.02,214.13,191.14,285.11,272.98,331.59,280.55,198.31,283.27,288.21,139.49,123.14,268.95,215.18,195.67,266.11,307.35,276.57,123.46,137.45,278.38,222.58,266.75,262.57,280.12,365.08,291.27,375.06,412.50,388.09,353.08,136.85,58.06,290.33,261.74,281.17,290.50,427.96,335.59,371.52,555.04,458.19,459.93,467.36,392.25,507.87,268.99,414.12,254.28,451.02,436.03,426.51,309.11,388.90,407.44,332.45,262.34,273.19,258.05,257.30,219.98,270.08,138.65,121.22,269.76,316.22,265.85,188.23,139.26,120.31,210.65,254.08,263.90,266.83,190.40,262.77,306.39,272.18,257.40
98.62,98.62,89.97,71.13,89.48,10.84,77.24,68.14,79.56,114.91,259.81,315.91,714.42,378.40,162.68,364.39,654.69,235.09,303.25,353.74,172.97,170.28,274.52,268.89,316.85,273.76,193.79,271.02,275.57,130.97,115.72,257.59,208.99,195.95,265.13,304.42,274.76,116.26,132.07,272.24,217.89,261.53,252.40,270.86,359.77,259.09,379.69,395.33,339.28,348.57,122.25,52.43,287.32,258.61,277.32,246.63,426.04,329.04,316.95,544.47,450.54,456.35,394.10,391.25,422.70,261.51,410.22,246.93,443.86,363.97,426.32,299.18,387.21,341.94,328.11,235.02,267.65,252.07,248.88,217.26,261.42,130.95,113.34,263.69,313.73,266.68,190.47,131.54,114.02,208.46,250.45,259.40,264.17,190.89,263.42,304.26,270.07,257.50
93.79,93.91,85.59,67.36,84.02,10.27,73.43,64.17,75.45,111.61,238.91,309.29,674.48,351.78,148.15,359.10,618.69,229.24,289.74,330.40,156.05,164.57,262.77,241.09,306.92,260.64,182.61,263.90,268.38,127.09,112.73,249.36,198.33,174.90,235.35,269.79,242.52,107.35,119.88,241.63,192.51,231.76,244.59,260.25,344.34,247.24,347.82,383.13,323.58,328.33,117.74,49.59,251.71,228.23,244.28,225.49,367.15,288.37,282.51,483.38,420.18,419.29,373.26,366.07,395.59,249.61,377.04,237.32,404.40,340.61,383.96,267.66,349.52,323.60,299.51,227.46,236.13,221.85,238.98,205.31,250.10,127.39,111.53,254.31,298.12,252.20,177.60,122.81,105.30,183.67,222.09,230.20,235.03,168.64,231.68,269.53,257.01,227.69
93.00,93.58,84.11,66.50,83.44,10.21,72.76,63.45,75.26,111.99,246.33,318.05,685.83,356.94,148.58,367.46,630.56,230.64,291.82,336.83,157.73,164.92,269.28,244.33,315.92,267.69,187.81,269.01,275.18,125.33,111.09,257.12,207.24,177.77,240.02,273.13,246.96,106.53,119.37,248.18,201.11,238.97,251.72,269.09,357.96,253.68,361.42,397.20,328.18,341.68,117.67,49.54,259.43,235.82,254.06,227.67,381.22,300.07,287.64,502.83,437.11,435.54,377.43,378.38,398.80,258.59,390.07,242.32,420.30,342.99,400.56,272.98,362.28,328.68,308.89,228.42,244.47,229.36,245.96,213.06,259.67,127.48,110.96,262.69,310.15,261.65,184.69,122.37,105.41,190.87,227.92,236.17,240.05,172.77,238.80,275.63,265.09,231.96
99.69,100.24,90.26,70.89,89.38,10.74,77.80,67.93,80.30,115.45,264.95,321.96,721.38,381.32,163.01,373.14,663.21,237.20,307.67,356.03,173.37,171.89,279.94,276.21,323.52,277.94,196.75,276.70,281.75,129.50,114.87,262.77,212.46,201.26,269.83,307.38,279.34,116.76,132.36,277.58,222.63,266.42,258.26,277.66,368.53,263.43,385.42,406.55,347.17,361.47,123.54,52.60,293.07,262.95,282.58,250.23,432.54,335.43,323.49,558.12,463.76,466.33,400.90,402.16,425.22,269.75,423.18,253.00,453.83,365.27,437.75,300.84,398.57,350.38,338.97,234.91,275.69,257.44,255.16,224.31,268.85,131.19,114.53,272.48,321.67,275.86,196.05,131.88,114.77,213.45,257.14,264.94,270.84,197.47,271.78,313.37,275.72,265.05
101.49,101.75,91.87,72.37,91.94,11.10,79.15,69.53,81.51,125.16,265.00,324.73,784.00,427.03,186.74,375.74,713.94,261.70,330.00,397.57,200.56,176.81,272.63,276.49,317.35,270.40,189.79,272.61,277.49,138.37,121.83,259.18,210.67,198.26,270.74,315.65,284.44,121.25,136.54,283.65,227.74,275.21,257.00,273.83,360.22,281.35,376.52,404.09,370.71,351.78,131.59,53.02,299.26,269.03,290.37,272.11,445.64,346.27,352.86,571.53,459.19,462.40,438.52,397.83,464.72,268.10,418.86,253.09,455.70,401.47,442.56,316.64,401.14,381.38,337.11,247.89,284.69,267.17,254.62,218.17,266.73,136.86,119.76,270.88,317.07,270.42,191.32,138.52,119.27,218.86,267.17,275.87,283.40,201.12,278.85,325.74,272.77,273.09
