" -F1882,S1621+F4756,S4757"," -F1882,S1621+F4758,S4759"," -F1882,S1621+F4784,S4785"," -F1882,S1621+F1796,S1795"," -F1882,S1621+F4728,S4729"," -F1882,S1621+F1889,S1628"," -F1882,S1621+F1995,S1736"," -F1882,S1621+F1516,S1774"," -F1882,S1621+F1714,S1715"," -F1878,S1879+F4777,S4778"," -F1878,S1879+F1631,S1632"," -F4879,S4880+F1851,S1852"," -F4879,S4880+F1658,S1659"," -F4741,S4742+F1907,S1908"," -F4741,S4742+F1602,S1603"," -F4877,S4878+F1849,S1850"," -F4877,S4878+F1660,S1661"," -F4765,S4766+F1876,S1877"," -F4765,S4766+F1633,S1634"," -F4743,S4744+F1905,S1906"," -F4743,S4744+F1604,S1605"," -F1616,S1617+F1895,S1896"," -F4838,S4839+F1805,S1806"," -F4674,S4675+F1544,S1545"," -F4841,S4842+F1813,S1814"," -F4836,S4837+F1810,S1811"," -F4787,S4788+F1801,S1802"," -F4843,S4844+F1817,S1818"," -F4845,S4846+F1830,S1831"," -F4790,S4791+F1823,S1824"," -F4780,S4781+F1821,S1822"," -F4847,S4848+F1837,S1838"," -F4832,S4833+F1834,S1835"," -F4725,S4726+F1541,S1542"," -F4676,S4677+F1549,S1550"," -F4671,S4672+F1553,S1554"," -F4669,S4670+F1556,S1557"," -F4732,S4733+F1562,S1563"," -F4722,S4723+F1564,S1565"," -F4667,S4668+F1570,S1571"," -F4680,S4681+F1573,S1574"," -F4665,S4666+F1577,S1578"," -F4849,S4850+F1842,S1843"," -F4851,S4852+F1846,S1847"," -F4794,S4795+F1857,S1858"," -F4828,S4829+F1859,S1860"," -F4774,S4775+F1861,S1862"," -F4826,S4827+F1870,S1871"," -F4797,S4798+F1868,S1869"," -F4772,S4773+F1866,S1867"," -F4735,S4736+F1614,S1615"," -F4737,S4738+F1594,S1595"," -F4718,S4719+F1596,S1597"," -F4663,S4664+F1582,S1583"," -F4661,S4662+F1585,S1586"," -F4739,S4740+F1598,S1599"," -F4715,S4716+F1610,S1611"," -F4684,S4685+F1608,S1609"," -F4686,S4687+F1612,S1613"," -F4633,S4634+F1874,S1875"," -F4824,S4825+F1639,S1640"," -F4799,S4800+F1641,S1642"," -F4770,S4771+F1643,S1644"," -F4822,S4823+F1650,S1651"," -F4768,S4769+F1648,S1649"," -F4856,S4857+F1924,S1925"," -F4802,S4803+F1652,S1653"," -F4858,S4859+F1927,S1928"," -F4713,S4714+F1899,S1900"," -F4745,S4746+F1911,S1912"," -F4688,S4689+F1897,S1898"," -F4635,S4636+F1635,S1636"," -F4690,S4691+F1901,S1902"," -F4747,S4748+F1915,S1916"," -F4710,S4711+F1913,S1914"," -F4749,S4750+F1893,S1894"," -F4656,S4657+F1663,S1664"," -F4654,S4655+F1667,S1668"," -F4860,S4861+F1932,S1933"," -F4818,S4819+F1936,S1937"," -F4862,S4863+F1939,S1940"," -F4806,S4807+F1945,S1946"," -F4762,S4763+F1947,S1948"," -F4864,S4865+F1953,S1954"," -F4866,S4867+F1956,S1957"," -F4814,S4815+F1960,S1961"," -F4809,S4810+F1968,S1969"," -F4706,S4707+F1686,S1687"," -F4752,S4753+F1688,S1689"," -F4694,S4695+F1675,S1676"," -F4652,S4653+F1672,S1673"," -F4650,S4651+F1679,S1680"," -F4648,S4649+F1692,S1693"," -F4703,S4704+F1708,S1709"," -F4698,S4699+F1699,S1700"," -F4646,S4647+F1696,S1697"," -F4812,S4813+F1965,S1966"," -F4700,S4701+F1704,S1705"
102.38,103.32,97.49,76.56,96.70,11.07,80.94,72.94,83.07,117.86,262.26,327.91,646.16,363.54,159.54,372.43,589.07,232.32,302.25,336.98,166.36,196.53,273.48,268.30,311.78,272.29,189.59,269.39,272.76,145.93,126.03,252.64,208.10,192.70,264.46,299.87,276.48,127.29,143.13,276.65,221.35,262.68,238.70,268.27,353.26,241.19,369.84,397.34,306.50,348.90,131.52,58.75,288.78,258.39,273.48,242.43,423.97,330.83,298.13,534.11,448.81,451.93,365.49,383.93,392.04,254.37,406.13,238.13,438.41,343.23,421.11,311.13,377.82,329.53,321.72,259.11,258.07,245.47,239.99,205.93,255.25,136.31,121.18,255.03,285.35,247.36,175.10,140.29,121.63,196.06,244.67,251.04,257.30,182.14,246.89,288.51,256.99,240.07
97.90,97.71,91.36,71.75,91.14,10.35,76.77,68.35,79.24,114.48,256.76,313.11,606.15,337.37,155.51,360.84,552.13,223.91,289.95,318.15,161.47,188.68,264.64,274.86,294.60,262.45,182.41,259.26,259.88,134.41,116.79,243.21,195.94,195.52,260.69,303.46,276.55,122.88,137.51,272.46,221.45,264.11,239.94,259.77,351.48,224.52,371.01,385.51,289.51,339.86,128.01,56.98,289.91,259.34,275.68,232.32,429.41,331.63,287.47,538.55,443.25,450.39,347.16,376.46,368.40,243.92,403.53,228.16,440.50,323.71,425.37,312.15,383.96,309.43,322.52,250.26,260.58,247.02,232.34,197.01,249.46,130.29,114.13,252.12,292.96,249.28,178.46,133.90,117.84,196.80,246.06,249.38,256.48,182.88,250.92,290.89,260.86,245.18
107.62,107.70,102.87,80.38,102.41,11.41,84.55,76.90,87.05,135.06,291.38,367.36,788.24,433.00,187.78,411.70,720.12,261.65,347.90,404.00,197.25,206.72,308.21,295.29,350.24,301.83,214.29,304.22,306.03,152.73,129.80,284.35,234.59,216.21,291.21,331.58,302.20,135.76,151.62,300.27,244.04,286.81,282.66,304.36,407.38,282.51,422.70,451.68,369.24,395.91,145.72,62.38,318.00,285.53,303.44,277.98,467.85,361.61,348.08,601.33,510.89,516.89,446.50,439.60,474.78,287.33,462.79,266.87,499.52,412.01,480.09,340.46,431.35,387.52,363.39,278.62,288.17,272.08,273.59,233.01,287.85,144.78,126.86,287.81,332.81,286.26,208.40,147.52,127.00,220.77,273.19,275.80,278.30,206.42,273.94,319.48,291.25,260.66
103.82,103.85,93.57,74.78,92.74,10.59,80.36,69.67,83.49,135.18,261.31,318.68,709.46,394.86,177.46,365.83,652.23,264.96,342.37,374.19,182.40,211.05,252.47,263.74,286.16,248.72,180.02,254.52,253.69,138.36,121.96,238.44,191.27,185.21,247.32,294.63,272.54,124.20,136.27,270.25,211.39,257.40,236.86,247.14,333.25,258.39,342.88,383.53,334.35,333.35,153.33,62.99,284.09,258.15,271.52,267.49,423.98,334.95,334.97,530.94,439.01,443.33,407.43,376.35,435.39,247.42,400.31,234.99,439.84,381.68,420.96,320.45,381.27,363.50,322.59,292.05,270.63,253.43,239.15,202.05,249.10,137.67,120.63,254.50,292.39,255.95,181.71,143.33,124.95,208.06,255.18,264.23,267.42,183.61,258.91,304.74,268.47,257.68
110.73,110.34,100.50,78.75,100.31,11.36,86.14,75.19,87.83,128.15,289.89,359.84,723.35,398.11,176.74,418.34,658.33,256.04,327.68,369.22,183.56,201.60,302.02,282.67,345.53,300.54,214.41,300.30,300.60,148.02,129.50,283.23,229.12,201.46,268.07,306.21,283.97,134.38,149.07,280.66,224.48,269.43,278.98,296.13,401.20,266.00,408.67,450.39,343.58,388.28,142.81,61.16,303.28,271.30,293.48,263.21,453.19,353.40,327.48,587.79,507.05,505.90,407.39,437.64,429.29,295.36,453.97,275.96,487.30,377.37,466.34,327.06,424.32,359.39,363.11,272.99,291.22,271.41,277.16,234.00,288.73,151.95,131.78,296.58,350.55,300.28,216.33,147.61,128.83,223.34,275.38,280.22,290.21,209.22,290.52,333.36,312.73,280.18
107.84,108.38,98.11,77.34,98.03,11.33,84.20,73.74,86.36,131.67,268.91,336.39,697.33,376.23,165.09,386.87,635.29,256.99,324.83,352.48,171.63,197.97,271.92,280.27,311.77,267.44,193.48,271.68,273.11,145.32,126.52,256.23,208.50,196.81,262.81,315.87,288.05,127.51,143.58,287.68,227.23,273.49,255.45,273.16,362.61,257.66,372.02,408.99,333.00,359.89,144.60,59.17,304.28,276.97,294.38,245.87,446.74,350.75,305.65,563.46,477.53,476.36,391.88,409.57,416.24,273.01,433.09,258.37,465.98,361.38,451.99,326.22,405.02,343.00,348.19,275.21,288.43,265.85,260.78,220.09,273.13,143.94,125.61,279.98,321.96,279.18,202.46,144.54,124.73,214.17,266.88,273.10,279.65,191.75,271.06,317.11,288.55,264.85
105.92,106.09,95.91,75.81,94.85,10.92,82.14,71.77,84.45,126.35,271.10,334.55,685.18,383.81,166.05,387.55,628.86,245.53,320.02,357.05,172.73,199.78,266.01,263.44,310.11,263.50,186.36,264.53,267.99,140.78,126.85,253.37,201.32,189.37,263.00,299.56,276.62,129.50,145.49,281.24,222.07,262.18,248.46,263.40,355.73,251.78,372.02,404.70,322.06,354.65,139.80,59.83,290.46,260.29,281.67,248.46,427.77,338.92,307.71,541.32,464.42,471.88,388.09,398.76,419.23,266.45,425.82,251.58,454.79,365.45,441.16,315.91,397.66,349.81,342.88,269.51,274.14,263.08,252.72,218.82,266.65,142.88,123.83,273.62,315.46,274.08,194.36,144.94,125.29,210.86,262.63,270.60,273.95,190.53,268.76,307.89,282.17,263.98
98.04,97.95,88.29,69.88,87.97,10.10,75.96,65.88,78.54,119.89,253.83,305.23,616.10,343.34,157.34,360.38,560.82,232.70,300.60,323.95,163.61,190.50,253.16,263.47,283.83,247.90,178.60,248.67,251.61,127.84,115.09,236.11,186.49,185.94,247.22,288.11,267.98,119.36,134.10,265.11,213.01,254.10,232.14,243.72,336.52,227.25,357.27,377.16,292.68,334.08,136.05,58.02,282.16,249.66,268.84,237.43,418.58,328.57,295.19,525.26,442.96,453.13,350.56,380.22,374.74,243.87,408.14,230.73,433.28,330.07,424.51,305.31,380.39,313.43,328.33,259.46,262.34,248.27,236.12,202.31,247.47,131.49,112.17,254.14,299.49,258.79,186.13,134.87,117.98,203.63,251.96,256.22,261.55,185.45,259.17,297.55,270.12,257.83
111.25,112.05,100.19,79.11,99.80,11.46,86.62,75.21,88.77,138.39,281.97,348.24,779.23,432.41,186.16,399.84,712.42,269.20,356.43,403.19,195.40,206.63,289.00,278.63,330.21,278.27,201.86,286.78,287.54,146.88,129.49,267.54,216.66,198.55,270.63,308.93,283.77,134.95,150.79,288.13,229.61,272.55,266.63,279.92,382.92,277.42,397.38,425.50,363.42,374.16,155.74,62.51,299.48,265.48,288.86,277.82,440.85,347.44,346.75,566.94,493.85,498.54,439.36,425.83,476.23,283.42,451.94,265.13,475.32,413.01,460.89,326.72,412.02,390.17,358.41,289.51,282.51,269.74,273.16,230.83,281.26,153.74,129.71,294.48,343.41,293.93,218.69,152.77,130.34,220.15,272.22,276.10,280.55,204.92,278.28,323.84,303.52,273.52
98.15,98.46,88.57,70.40,87.90,10.23,75.93,65.99,79.75,137.24,236.31,283.48,653.73,363.59,166.39,325.92,599.79,260.86,335.54,345.47,170.92,205.51,222.16,230.06,252.02,214.73,157.70,222.40,222.47,130.33,115.27,211.52,169.01,160.41,212.75,255.99,236.82,117.84,135.08,229.00,181.59,228.19,205.38,214.79,291.33,241.32,296.30,332.83,310.61,289.37,158.46,60.94,246.82,218.43,233.40,250.09,362.33,288.99,311.34,457.85,388.77,394.26,376.55,329.00,403.17,221.39,351.58,214.50,380.42,353.07,364.52,285.95,329.37,337.89,284.03,294.47,234.27,226.00,219.91,181.49,229.13,130.14,115.10,231.26,269.31,224.43,163.93,138.89,121.79,181.70,230.64,236.81,240.97,164.64,230.64,269.50,238.58,232.88
