" -F478,S217+F4228,S4229"," -F478,S217+F4230,S4231"," -F478,S217+F4256,S4257"," -F478,S217+F392,S391"," -F478,S217+F4200,S4201"," -F478,S217+F485,S224"," -F478,S217+F591,S332"," -F478,S217+F112,S370"," -F478,S217+F310,S311"," -F474,S475+F4249,S4250"," -F474,S475+F227,S228"," -F4351,S4352+F447,S448"," -F4351,S4352+F254,S255"," -F4213,S4214+F503,S504"," -F4213,S4214+F198,S199"," -F4349,S4350+F445,S446"," -F4349,S4350+F256,S257"," -F4237,S4238+F472,S473"," -F4237,S4238+F229,S230"," -F4215,S4216+F501,S502"," -F4215,S4216+F200,S201"," -F212,S213+F491,S492"," -F4310,S4311+F401,S402"," -F4146,S4147+F140,S141"," -F4313,S4314+F409,S410"," -F4308,S4309+F406,S407"," -F4259,S4260+F397,S398"," -F4315,S4316+F413,S414"," -F4317,S4318+F426,S427"," -F4262,S4263+F419,S420"," -F4252,S4253+F417,S418"," -F4319,S4320+F433,S434"," -F4304,S4305+F430,S431"," -F4197,S4198+F137,S138"," -F4148,S4149+F145,S146"," -F4143,S4144+F149,S150"," -F4141,S4142+F152,S153"," -F4204,S4205+F158,S159"," -F4194,S4195+F160,S161"," -F4139,S4140+F166,S167"," -F4152,S4153+F169,S170"," -F4137,S4138+F173,S174"," -F4321,S4322+F438,S439"," -F4323,S4324+F442,S443"," -F4266,S4267+F453,S454"," -F4300,S4301+F455,S456"," -F4246,S4247+F457,S458"," -F4298,S4299+F466,S467"," -F4269,S4270+F464,S465"," -F4244,S4245+F462,S463"," -F4207,S4208+F210,S211"," -F4209,S4210+F190,S191"," -F4190,S4191+F192,S193"," -F4135,S4136+F178,S179"," -F4133,S4134+F181,S182"," -F4211,S4212+F194,S195"," -F4187,S4188+F206,S207"," -F4156,S4157+F204,S205"," -F4158,S4159+F208,S209"," -F4105,S4106+F470,S471"," -F4296,S4297+F235,S236"," -F4271,S4272+F237,S238"," -F4242,S4243+F239,S240"," -F4294,S4295+F246,S247"," -F4240,S4241+F244,S245"," -F4328,S4329+F520,S521"," -F4274,S4275+F248,S249"," -F4330,S4331+F523,S524"," -F4185,S4186+F495,S496"," -F4217,S4218+F507,S508"," -F4160,S4161+F493,S494"," -F4107,S4108+F231,S232"," -F4162,S4163+F497,S498"," -F4219,S4220+F511,S512"," -F4182,S4183+F509,S510"," -F4221,S4222+F489,S490"," -F4128,S4129+F259,S260"," -F4126,S4127+F263,S264"," -F4332,S4333+F528,S529"," -F4290,S4291+F532,S533"," -F4334,S4335+F535,S536"," -F4278,S4279+F541,S542"," -F4234,S4235+F543,S544"," -F4336,S4337+F549,S550"," -F4338,S4339+F552,S553"," -F4286,S4287+F556,S557"," -F4281,S4282+F564,S565"," -F4178,S4179+F282,S283"," -F4224,S4225+F284,S285"," -F4166,S4167+F271,S272"," -F4124,S4125+F268,S269"," -F4122,S4123+F275,S276"," -F4120,S4121+F288,S289"," -F4175,S4176+F304,S305"," -F4170,S4171+F295,S296"," -F4118,S4119+F292,S293"," -F4284,S4285+F561,S562"," -F4172,S4173+F300,S301"
97.40,97.96,91.91,72.28,91.01,10.50,76.49,68.71,78.84,114.32,260.19,330.00,620.69,343.12,145.88,372.55,564.96,224.58,293.13,322.38,149.84,191.28,267.76,259.60,309.49,273.69,187.07,268.99,275.46,137.85,117.41,256.46,205.08,186.40,247.46,282.95,259.11,117.02,131.20,254.92,208.72,245.53,249.71,270.17,356.30,235.87,368.42,398.84,298.70,348.32,125.95,54.41,273.30,242.33,259.75,223.50,400.67,309.84,272.56,516.16,449.34,450.79,351.02,385.29,373.50,255.42,403.40,239.69,435.28,324.12,414.49,293.58,370.78,307.15,318.30,248.18,248.39,236.33,241.00,205.14,254.64,132.45,115.10,252.96,294.44,247.70,174.20,129.79,111.59,193.13,235.32,243.98,248.40,182.63,247.88,284.92,254.90,237.99
103.54,103.79,97.73,76.64,97.37,10.87,81.28,73.19,83.69,126.96,264.04,336.47,660.07,358.78,160.41,380.40,600.05,248.11,317.10,337.10,167.67,197.31,274.22,279.19,313.24,272.93,191.84,274.00,278.48,143.16,122.13,258.13,211.01,200.83,266.59,319.79,292.13,121.41,139.04,285.91,230.49,274.14,258.12,276.88,367.01,251.24,372.58,410.52,320.67,356.78,138.53,58.49,300.89,272.24,289.04,238.84,444.54,343.00,298.42,559.04,465.35,467.20,371.56,398.77,393.96,260.73,426.13,245.09,457.85,342.21,444.68,328.92,402.38,326.00,339.36,268.23,272.06,257.24,246.19,209.17,261.46,138.10,120.62,259.14,296.35,252.27,180.15,139.46,120.66,206.69,254.59,257.96,257.64,182.08,249.18,291.75,260.47,242.37
106.72,107.47,100.78,79.13,100.75,11.34,84.31,75.76,86.33,127.86,272.75,351.60,739.15,393.97,174.01,394.22,673.45,260.02,330.06,367.82,182.88,199.39,295.51,284.27,333.18,289.20,200.87,291.98,292.49,146.88,125.64,269.70,223.78,203.88,277.98,322.43,288.57,130.68,145.63,289.99,235.32,279.55,268.80,290.05,381.89,274.08,395.02,427.77,356.22,369.08,138.53,59.54,310.49,275.42,299.05,258.22,462.71,357.61,321.17,580.93,474.99,479.59,409.96,408.71,431.61,273.16,428.12,251.13,464.36,374.98,451.34,333.67,408.58,357.82,343.60,266.67,274.67,263.34,253.27,212.63,265.97,142.86,125.79,264.49,303.87,265.74,186.37,141.20,121.01,214.17,265.68,267.94,273.55,196.84,262.16,314.63,265.54,257.04
112.50,113.41,102.36,80.24,101.14,11.54,87.96,76.42,90.21,136.87,301.30,367.56,796.79,438.33,189.14,416.78,728.85,269.73,353.76,408.43,201.22,208.27,305.34,293.43,349.46,299.26,216.57,300.93,300.78,150.50,130.38,283.18,232.65,211.91,286.44,328.71,301.33,135.77,149.23,304.88,243.32,288.75,278.82,295.16,399.90,286.00,420.44,447.18,373.19,395.04,149.68,63.08,318.02,289.57,304.76,281.51,468.82,368.44,353.74,603.00,519.84,521.51,451.87,434.15,482.69,293.71,468.46,275.54,507.26,417.19,485.57,339.14,436.55,396.50,369.67,283.06,299.86,278.82,281.48,239.70,289.81,153.34,131.91,298.60,346.76,300.33,218.48,159.56,134.73,229.48,281.41,286.55,289.69,211.95,287.95,330.07,305.33,275.26
100.16,101.21,91.60,72.87,91.49,10.57,78.36,68.75,80.46,126.02,260.26,328.76,667.07,364.27,157.53,379.58,610.50,247.04,317.16,343.38,164.49,195.36,268.35,253.12,308.58,264.40,191.72,268.45,270.56,137.58,121.83,254.53,203.08,183.17,237.55,280.53,253.72,118.50,129.82,253.89,203.65,241.67,249.40,261.06,351.54,249.76,357.64,401.56,319.98,344.02,138.94,56.35,271.66,239.18,258.06,236.92,398.93,312.85,289.64,504.07,448.94,447.16,377.38,383.83,399.69,261.01,401.21,245.46,431.62,348.10,410.45,291.71,367.18,331.60,318.79,264.91,251.74,235.43,247.82,208.78,259.55,136.16,118.92,265.11,304.68,262.50,188.85,131.30,115.34,194.81,241.72,248.30,253.37,181.69,254.80,290.03,274.89,248.54
108.45,109.30,98.71,77.89,98.42,11.30,84.82,74.29,86.94,125.33,285.33,348.54,681.51,371.66,162.17,391.94,619.26,247.32,318.94,349.20,169.90,198.15,287.38,286.20,331.15,280.49,204.99,280.55,285.78,144.15,125.68,263.63,222.72,206.53,282.24,321.67,295.63,127.89,142.30,298.80,238.59,283.90,262.41,281.42,382.75,248.80,402.31,424.84,320.39,377.29,139.22,58.58,316.99,287.45,307.96,245.97,465.53,364.91,305.40,597.51,503.24,504.12,381.55,426.57,409.55,282.90,454.45,261.69,490.51,356.09,474.35,330.48,427.52,338.34,368.68,266.67,298.33,271.17,262.33,226.48,275.48,143.67,125.81,277.15,327.55,282.48,207.79,145.59,124.33,223.30,276.22,279.79,283.52,210.60,287.46,332.89,290.17,272.95
99.36,100.33,89.87,71.24,88.72,10.25,77.63,66.82,80.09,119.23,258.43,325.68,648.19,351.71,148.31,376.57,591.43,234.65,304.55,330.12,153.04,193.95,260.10,251.34,301.16,261.73,184.53,259.97,267.42,133.68,118.92,246.96,194.07,179.07,236.57,272.04,249.54,118.17,131.71,252.97,201.51,238.03,243.54,258.27,342.51,243.77,355.50,387.78,312.73,337.88,133.34,55.59,267.60,233.88,253.48,225.93,392.26,309.06,277.40,504.98,442.79,445.84,360.83,382.69,385.95,257.12,404.25,241.73,428.42,334.61,413.75,285.99,368.18,322.36,319.86,257.87,247.59,237.83,244.78,208.73,257.89,138.25,118.10,264.13,309.69,260.27,185.78,133.96,113.88,193.49,236.75,246.40,250.88,183.32,253.65,287.12,271.76,250.88
105.97,106.76,94.28,75.40,94.84,10.82,82.44,71.34,84.73,135.03,265.70,335.31,695.36,374.41,165.84,388.12,633.61,260.15,330.25,351.70,172.74,199.49,266.63,270.70,306.25,259.47,190.24,267.63,273.54,138.44,122.36,254.28,203.36,191.56,254.42,306.63,281.34,123.15,138.26,280.71,223.35,266.23,255.37,267.46,358.39,260.10,369.53,407.87,331.05,358.89,149.32,60.00,294.30,264.52,283.06,245.59,434.99,339.47,307.63,560.18,472.06,477.44,388.95,403.98,415.16,267.30,431.58,254.37,458.13,360.24,445.80,324.42,401.40,343.86,344.62,277.42,278.76,263.41,255.49,218.38,266.95,144.29,123.94,273.15,317.79,271.41,195.68,144.77,124.83,211.19,262.62,267.35,272.74,190.46,267.53,309.79,284.45,264.70
109.44,110.08,98.39,77.60,98.11,11.32,85.34,73.71,87.65,134.80,269.40,344.38,751.97,401.08,175.85,395.40,687.49,269.34,339.26,375.23,184.43,198.02,282.20,272.92,318.89,273.44,196.32,277.22,279.50,141.31,126.68,260.75,210.34,194.32,267.04,309.22,281.08,129.19,145.15,286.23,224.46,273.69,260.47,270.56,372.09,275.22,379.39,423.33,359.27,362.45,144.84,59.53,297.32,264.35,289.05,259.83,450.19,352.43,323.87,571.67,476.45,483.61,417.83,411.18,440.91,279.43,438.13,259.82,464.51,383.01,451.00,325.18,403.39,367.24,351.20,274.79,281.27,268.46,263.69,222.19,269.75,148.53,129.89,275.75,323.52,284.76,203.12,145.15,122.64,216.89,269.70,278.09,286.64,202.58,278.33,325.83,287.80,272.88
108.49,108.45,96.83,76.53,96.87,11.15,84.06,72.82,87.11,141.38,275.30,332.21,763.37,421.01,180.02,379.21,696.85,269.65,356.16,393.96,189.24,205.11,273.89,261.91,315.13,263.81,192.31,269.05,266.77,141.43,125.45,252.78,210.99,186.32,251.80,289.21,265.95,128.02,145.67,259.32,212.39,258.21,249.45,264.24,362.79,270.07,374.11,405.42,351.16,355.17,155.40,62.23,284.95,250.77,269.30,269.76,416.28,329.28,336.03,538.31,468.02,475.00,431.09,395.93,463.41,264.96,421.56,254.91,450.34,400.60,431.32,311.68,391.55,382.16,338.83,287.50,265.73,254.29,255.23,215.51,263.45,147.34,129.00,270.26,323.82,271.00,202.86,149.45,127.48,206.81,258.00,259.10,262.72,191.17,260.36,301.34,279.88,256.90
