" -F478,S217+F4228,S4229"," -F478,S217+F4230,S4231"," -F478,S217+F4256,S4257"," -F478,S217+F392,S391"," -F478,S217+F4200,S4201"," -F478,S217+F485,S224"," -F478,S217+F591,S332"," -F478,S217+F112,S370"," -F478,S217+F310,S311"," -F474,S475+F4249,S4250"," -F474,S475+F227,S228"," -F4351,S4352+F447,S448"," -F4351,S4352+F254,S255"," -F4213,S4214+F503,S504"," -F4213,S4214+F198,S199"," -F4349,S4350+F445,S446"," -F4349,S4350+F256,S257"," -F4237,S4238+F472,S473"," -F4237,S4238+F229,S230"," -F4215,S4216+F501,S502"," -F4215,S4216+F200,S201"," -F212,S213+F491,S492"," -F4310,S4311+F401,S402"," -F4146,S4147+F140,S141"," -F4313,S4314+F409,S410"," -F4308,S4309+F406,S407"," -F4259,S4260+F397,S398"," -F4315,S4316+F413,S414"," -F4317,S4318+F426,S427"," -F4262,S4263+F419,S420"," -F4252,S4253+F417,S418"," -F4319,S4320+F433,S434"," -F4304,S4305+F430,S431"," -F4197,S4198+F137,S138"," -F4148,S4149+F145,S146"," -F4143,S4144+F149,S150"," -F4141,S4142+F152,S153"," -F4204,S4205+F158,S159"," -F4194,S4195+F160,S161"," -F4139,S4140+F166,S167"," -F4152,S4153+F169,S170"," -F4137,S4138+F173,S174"," -F4321,S4322+F438,S439"," -F4323,S4324+F442,S443"," -F4266,S4267+F453,S454"," -F4300,S4301+F455,S456"," -F4246,S4247+F457,S458"," -F4298,S4299+F466,S467"," -F4269,S4270+F464,S465"," -F4244,S4245+F462,S463"," -F4207,S4208+F210,S211"," -F4209,S4210+F190,S191"," -F4190,S4191+F192,S193"," -F4135,S4136+F178,S179"," -F4133,S4134+F181,S182"," -F4211,S4212+F194,S195"," -F4187,S4188+F206,S207"," -F4156,S4157+F204,S205"," -F4158,S4159+F208,S209"," -F4105,S4106+F470,S471"," -F4296,S4297+F235,S236"," -F4271,S4272+F237,S238"," -F4242,S4243+F239,S240"," -F4294,S4295+F246,S247"," -F4240,S4241+F244,S245"," -F4328,S4329+F520,S521"," -F4274,S4275+F248,S249"," -F4330,S4331+F523,S524"," -F4185,S4186+F495,S496"," -F4217,S4218+F507,S508"," -F4160,S4161+F493,S494"," -F4107,S4108+F231,S232"," -F4162,S4163+F497,S498"," -F4219,S4220+F511,S512"," -F4182,S4183+F509,S510"," -F4221,S4222+F489,S490"," -F4128,S4129+F259,S260"," -F4126,S4127+F263,S264"," -F4332,S4333+F528,S529"," -F4290,S4291+F532,S533"," -F4334,S4335+F535,S536"," -F4278,S4279+F541,S542"," -F4234,S4235+F543,S544"," -F4336,S4337+F549,S550"," -F4338,S4339+F552,S553"," -F4286,S4287+F556,S557"," -F4281,S4282+F564,S565"," -F4178,S4179+F282,S283"," -F4224,S4225+F284,S285"," -F4166,S4167+F271,S272"," -F4124,S4125+F268,S269"," -F4122,S4123+F275,S276"," -F4120,S4121+F288,S289"," -F4175,S4176+F304,S305"," -F4170,S4171+F295,S296"," -F4118,S4119+F292,S293"," -F4284,S4285+F561,S562"," -F4172,S4173+F300,S301"
120.25,118.84,112.47,85.84,112.27,12.74,94.11,84.35,95.63,139.48,276.67,340.83,727.97,377.37,161.78,400.14,673.84,270.90,342.49,351.41,170.48,187.67,291.35,286.99,332.99,290.87,207.12,285.38,294.10,167.36,146.12,272.18,216.30,209.02,269.63,305.54,277.33,148.81,173.73,273.80,225.54,270.63,266.83,283.66,382.37,267.69,402.26,426.69,353.04,374.01,156.26,57.23,300.89,266.83,291.53,253.71,437.06,345.79,312.35,559.92,485.47,491.88,395.48,415.36,417.56,272.83,435.94,261.61,473.68,361.67,450.54,309.33,411.65,352.41,351.49,279.29,274.76,252.83,256.30,221.82,265.45,168.52,145.49,265.27,316.74,265.57,188.94,162.91,143.67,213.83,255.61,257.20,262.36,190.06,260.56,303.33,270.97,259.07
126.52,126.81,118.74,91.07,118.69,13.44,99.54,89.31,100.45,145.16,307.44,365.31,789.19,428.09,183.19,422.74,732.92,287.09,370.30,397.22,192.17,197.54,331.23,329.40,374.42,323.28,231.36,315.91,324.05,171.67,154.38,293.93,243.34,233.02,319.69,357.88,319.68,157.33,181.14,319.32,255.94,310.83,286.23,302.04,426.72,287.56,452.49,466.80,376.43,412.27,163.03,61.45,343.72,303.49,332.99,286.59,505.99,396.56,359.37,639.90,523.56,533.12,441.84,450.23,471.92,287.90,473.64,272.88,521.22,407.37,498.62,350.08,456.05,395.86,387.47,291.33,310.29,284.03,269.09,236.67,276.55,168.11,145.78,273.46,332.19,279.72,205.04,168.30,144.98,243.29,291.48,295.81,298.12,217.42,295.09,353.02,283.08,292.13
122.43,122.26,115.74,88.97,115.37,13.18,96.36,86.97,97.66,140.80,297.52,347.51,765.14,406.01,175.81,409.30,709.02,277.59,353.51,377.01,184.96,193.88,312.73,319.66,353.83,311.15,224.01,303.10,308.72,164.86,144.88,283.62,228.20,229.91,299.05,351.96,311.79,152.03,173.76,308.95,246.82,300.02,276.06,293.44,403.55,275.16,431.68,451.12,362.37,395.84,159.60,60.22,328.95,294.88,318.88,273.16,484.41,380.55,346.72,613.38,505.31,514.34,418.21,436.79,448.07,280.94,455.61,268.15,504.26,388.83,484.46,345.22,442.44,376.48,372.53,285.68,303.89,280.62,264.54,231.24,274.31,164.96,141.56,274.22,327.42,275.76,198.16,165.53,145.33,239.06,286.63,290.21,292.91,206.26,289.05,339.89,277.94,289.49
111.37,111.97,104.81,80.55,104.06,11.84,87.63,78.31,89.26,125.57,271.13,336.47,658.13,343.60,150.42,393.01,610.03,246.12,314.93,319.84,156.64,183.15,285.97,279.22,327.20,284.11,201.67,284.15,289.81,159.38,140.07,267.06,213.10,201.82,260.75,305.14,272.21,133.97,150.84,272.28,221.27,265.39,263.29,278.88,376.01,247.45,384.24,422.80,319.21,367.46,138.83,56.09,291.39,263.18,282.99,233.21,426.96,334.64,287.27,548.61,475.28,479.11,362.56,409.42,380.27,269.05,426.66,256.92,466.26,330.81,437.85,305.09,400.42,322.98,345.60,258.81,274.40,251.77,253.05,218.67,264.69,152.46,131.62,262.08,314.08,262.27,185.68,150.43,132.24,214.07,257.95,256.06,261.85,185.37,257.53,302.64,265.59,257.55
119.67,119.93,113.48,87.39,113.55,12.71,94.38,85.04,95.57,130.36,297.07,361.52,702.54,372.50,165.07,418.85,648.48,254.12,330.21,342.67,171.98,193.60,313.76,300.68,354.69,309.75,217.16,304.83,314.52,167.80,149.41,289.88,235.50,219.85,301.93,342.21,308.37,150.57,170.01,313.97,258.45,306.64,285.70,305.20,406.85,256.34,422.87,454.30,331.24,403.47,146.20,59.57,342.88,305.11,332.11,257.16,495.99,390.34,316.14,643.71,530.74,538.96,388.13,448.88,414.68,287.62,473.92,275.89,522.58,358.38,501.00,346.87,459.73,349.98,390.48,272.52,313.77,286.53,270.64,235.23,279.71,167.47,147.42,278.57,331.68,288.27,200.75,161.57,139.08,242.34,291.81,288.52,295.80,210.03,286.45,343.16,280.73,284.32
118.37,118.79,111.75,86.59,111.44,12.58,93.38,83.99,94.93,130.97,307.20,362.68,695.50,375.32,163.32,414.55,643.19,256.82,331.21,346.59,169.99,195.94,320.30,319.51,366.01,313.71,227.96,309.57,318.81,163.59,146.87,293.43,240.97,232.84,314.25,353.09,318.28,148.45,169.73,319.79,260.43,315.81,288.04,309.11,424.12,259.35,448.08,459.87,334.82,416.68,146.21,59.93,345.62,310.48,335.60,255.10,506.41,395.03,313.28,646.36,536.09,547.17,385.81,461.20,411.45,292.51,485.50,280.88,528.89,355.85,504.99,351.20,463.33,348.96,393.92,273.52,315.97,288.49,276.54,242.89,283.83,162.43,141.54,281.41,339.19,286.07,209.80,159.46,138.62,244.58,291.87,292.27,295.57,214.49,289.85,348.70,287.13,282.57
125.26,125.15,114.95,88.63,113.34,13.13,97.61,86.34,98.91,133.03,313.72,367.72,720.43,382.35,165.24,422.66,666.54,261.86,337.97,355.50,172.75,196.10,318.73,321.76,367.58,314.57,228.24,311.29,321.17,172.31,152.51,300.68,243.04,235.58,317.43,357.08,316.35,152.82,173.62,322.29,260.91,311.28,288.98,311.28,428.25,263.57,459.45,474.00,342.62,423.75,147.83,59.45,343.96,307.05,332.86,259.18,509.14,399.63,321.65,659.28,553.47,563.03,400.10,490.09,425.01,310.05,507.62,292.62,544.70,366.04,532.50,357.06,479.06,360.08,409.49,277.28,327.50,299.05,294.44,260.17,301.54,165.38,144.36,310.46,370.92,313.65,232.70,167.61,145.51,257.11,303.59,307.29,314.39,239.71,318.21,378.49,316.29,314.99
128.00,127.93,117.17,89.37,115.77,13.31,99.90,87.77,101.02,133.54,304.76,370.29,712.34,381.42,168.47,425.66,661.33,259.91,336.72,353.86,175.44,194.37,313.10,301.90,358.69,311.52,221.08,309.83,315.57,174.21,154.28,297.96,233.73,220.11,301.47,341.35,305.51,152.70,171.38,317.95,259.95,306.94,287.81,308.15,418.16,260.85,435.95,463.56,339.61,411.37,147.66,59.98,348.42,308.21,337.69,262.62,511.18,393.60,326.50,666.50,553.33,561.26,393.90,486.23,422.58,307.17,506.41,289.13,544.79,366.78,536.13,356.79,485.23,359.19,415.12,275.90,329.44,298.20,288.70,255.36,297.72,174.48,155.62,305.65,358.41,314.69,218.73,169.30,144.88,258.97,307.23,304.67,314.09,231.01,310.63,368.28,306.70,311.75
116.72,116.91,106.47,81.96,106.25,12.21,90.76,80.20,92.07,127.74,275.95,338.03,684.87,353.46,153.45,396.24,634.49,251.92,320.13,328.58,160.44,183.46,285.01,272.99,330.16,284.24,203.12,286.05,295.93,161.73,141.37,275.38,215.85,198.23,257.20,300.48,267.50,137.66,155.01,273.02,221.89,264.73,265.53,284.04,386.59,253.75,393.13,431.70,330.04,373.78,139.53,55.21,297.58,264.19,283.70,239.39,438.65,342.88,294.52,566.64,484.66,488.82,373.82,424.51,392.85,276.64,436.15,260.15,468.53,340.20,455.22,307.70,407.05,335.11,350.75,262.10,277.59,253.84,262.45,226.34,272.08,156.89,138.37,281.87,332.62,279.57,198.67,156.09,137.50,215.38,259.06,261.87,270.23,196.67,265.92,315.59,284.45,270.88
127.96,128.14,117.74,90.44,118.12,13.34,100.01,88.62,101.02,143.02,309.23,358.86,789.32,427.23,182.14,421.30,732.13,285.56,362.78,394.22,193.20,195.48,311.53,326.58,357.98,316.29,230.00,308.16,322.18,171.44,150.20,298.09,234.75,232.84,306.97,359.59,314.10,156.78,177.30,320.06,259.07,309.89,283.17,302.94,427.97,284.13,452.12,473.00,374.60,412.75,160.52,60.78,349.04,309.37,336.94,282.65,522.15,403.64,362.42,652.10,527.18,540.22,433.23,457.67,461.30,295.44,479.89,278.70,523.36,399.91,512.01,362.07,459.32,391.00,394.84,289.83,322.80,293.89,278.88,243.97,286.57,170.58,148.40,298.56,351.04,297.39,217.58,174.09,150.51,249.67,302.01,306.96,317.43,232.18,319.90,373.90,305.94,319.26
