" -F1882,S1621+F4756,S4757"," -F1882,S1621+F4758,S4759"," -F1882,S1621+F4784,S4785"," -F1882,S1621+F1796,S1795"," -F1882,S1621+F4728,S4729"," -F1882,S1621+F1889,S1628"," -F1882,S1621+F1995,S1736"," -F1882,S1621+F1516,S1774"," -F1882,S1621+F1714,S1715"," -F1878,S1879+F4777,S4778"," -F1878,S1879+F1631,S1632"," -F4879,S4880+F1851,S1852"," -F4879,S4880+F1658,S1659"," -F4741,S4742+F1907,S1908"," -F4741,S4742+F1602,S1603"," -F4877,S4878+F1849,S1850"," -F4877,S4878+F1660,S1661"," -F4765,S4766+F1876,S1877"," -F4765,S4766+F1633,S1634"," -F4743,S4744+F1905,S1906"," -F4743,S4744+F1604,S1605"," -F1616,S1617+F1895,S1896"," -F4838,S4839+F1805,S1806"," -F4674,S4675+F1544,S1545"," -F4841,S4842+F1813,S1814"," -F4836,S4837+F1810,S1811"," -F4787,S4788+F1801,S1802"," -F4843,S4844+F1817,S1818"," -F4845,S4846+F1830,S1831"," -F4790,S4791+F1823,S1824"," -F4780,S4781+F1821,S1822"," -F4847,S4848+F1837,S1838"," -F4832,S4833+F1834,S1835"," -F4725,S4726+F1541,S1542"," -F4676,S4677+F1549,S1550"," -F4671,S4672+F1553,S1554"," -F4669,S4670+F1556,S1557"," -F4732,S4733+F1562,S1563"," -F4722,S4723+F1564,S1565"," -F4667,S4668+F1570,S1571"," -F4680,S4681+F1573,S1574"," -F4665,S4666+F1577,S1578"," -F4849,S4850+F1842,S1843"," -F4851,S4852+F1846,S1847"," -F4794,S4795+F1857,S1858"," -F4828,S4829+F1859,S1860"," -F4774,S4775+F1861,S1862"," -F4826,S4827+F1870,S1871"," -F4797,S4798+F1868,S1869"," -F4772,S4773+F1866,S1867"," -F4735,S4736+F1614,S1615"," -F4737,S4738+F1594,S1595"," -F4718,S4719+F1596,S1597"," -F4663,S4664+F1582,S1583"," -F4661,S4662+F1585,S1586"," -F4739,S4740+F1598,S1599"," -F4715,S4716+F1610,S1611"," -F4684,S4685+F1608,S1609"," -F4686,S4687+F1612,S1613"," -F4633,S4634+F1874,S1875"," -F4824,S4825+F1639,S1640"," -F4799,S4800+F1641,S1642"," -F4770,S4771+F1643,S1644"," -F4822,S4823+F1650,S1651"," -F4768,S4769+F1648,S1649"," -F4856,S4857+F1924,S1925"," -F4802,S4803+F1652,S1653"," -F4858,S4859+F1927,S1928"," -F4713,S4714+F1899,S1900"," -F4745,S4746+F1911,S1912"," -F4688,S4689+F1897,S1898"," -F4635,S4636+F1635,S1636"," -F4690,S4691+F1901,S1902"," -F4747,S4748+F1915,S1916"," -F4710,S4711+F1913,S1914"," -F4749,S4750+F1893,S1894"," -F4656,S4657+F1663,S1664"," -F4654,S4655+F1667,S1668"," -F4860,S4861+F1932,S1933"," -F4818,S4819+F1936,S1937"," -F4862,S4863+F1939,S1940"," -F4806,S4807+F1945,S1946"," -F4762,S4763+F1947,S1948"," -F4864,S4865+F1953,S1954"," -F4866,S4867+F1956,S1957"," -F4814,S4815+F1960,S1961"," -F4809,S4810+F1968,S1969"," -F4706,S4707+F1686,S1687"," -F4752,S4753+F1688,S1689"," -F4694,S4695+F1675,S1676"," -F4652,S4653+F1672,S1673"," -F4650,S4651+F1679,S1680"," -F4648,S4649+F1692,S1693"," -F4703,S4704+F1708,S1709"," -F4698,S4699+F1699,S1700"," -F4646,S4647+F1696,S1697"," -F4812,S4813+F1965,S1966"," -F4700,S4701+F1704,S1705"
127.91,127.90,120.15,91.55,119.90,13.47,100.68,89.84,101.74,145.88,290.65,364.31,785.10,422.70,180.30,429.56,728.50,286.95,365.79,390.21,187.85,197.27,315.89,317.91,363.99,314.25,222.74,308.18,320.90,175.16,155.21,298.35,234.69,231.72,308.38,350.69,316.60,164.41,194.39,311.93,252.75,304.59,288.10,303.93,413.74,285.99,425.14,461.16,375.97,399.69,163.57,60.55,336.26,297.64,322.94,281.28,483.87,384.69,352.45,623.81,512.77,513.56,436.67,439.45,463.02,286.16,458.64,273.32,502.23,400.97,482.69,346.23,436.26,389.86,373.20,294.38,303.80,276.82,267.36,235.24,275.57,173.11,150.08,279.88,328.32,280.14,202.03,172.95,150.18,232.96,281.56,281.39,288.79,200.79,283.51,332.94,286.48,278.12
122.43,122.67,115.78,89.03,115.66,13.19,96.36,86.95,97.41,140.70,297.38,347.71,765.18,406.76,176.69,409.79,708.69,276.09,352.50,377.10,184.74,193.67,312.75,321.24,353.56,311.19,223.86,302.64,307.87,164.41,145.86,283.36,227.80,229.47,299.84,350.84,310.53,151.94,174.63,309.43,247.04,299.58,275.48,292.97,403.62,273.47,431.38,450.02,362.12,396.05,159.33,60.25,330.62,294.95,319.00,273.46,482.81,380.20,346.03,612.62,505.75,514.05,418.57,435.87,448.08,281.48,456.02,267.62,503.99,389.76,484.33,344.20,442.38,376.21,372.87,286.89,304.73,280.59,264.78,231.51,274.55,165.02,141.81,274.44,327.50,277.41,200.41,164.63,145.65,239.37,287.28,291.11,293.59,207.00,289.13,340.58,279.64,289.54
111.60,111.99,102.70,80.52,104.16,11.98,87.22,77.72,88.88,130.70,270.72,324.38,678.16,379.73,166.73,380.16,630.18,256.62,330.11,351.24,175.23,189.17,284.87,299.99,319.11,278.32,198.58,272.93,282.95,147.30,131.72,262.42,206.86,211.87,276.62,323.36,292.10,138.27,158.62,286.96,231.86,282.65,251.55,267.33,374.01,247.54,377.77,411.04,324.22,357.99,149.53,59.06,308.83,275.80,300.50,258.71,458.26,358.38,322.52,570.01,464.60,474.98,386.30,402.35,416.43,257.66,424.06,250.79,469.68,360.83,448.76,328.33,412.21,350.66,344.14,274.48,285.76,264.79,244.56,214.79,257.80,147.30,128.20,256.16,306.24,259.09,186.47,149.30,132.09,222.80,267.20,269.95,270.89,193.31,268.47,312.39,264.54,267.51
119.03,119.65,112.91,86.83,112.16,12.75,93.71,84.71,94.91,130.45,292.78,345.90,689.07,373.22,165.43,403.07,637.60,256.08,329.02,347.95,172.07,190.91,307.16,313.59,348.60,307.20,217.97,300.54,313.83,170.12,150.86,289.81,232.15,225.73,296.25,345.94,307.05,150.50,172.17,307.41,249.45,300.34,285.52,303.80,401.64,251.82,417.02,444.32,325.91,395.99,144.68,58.77,331.69,294.89,323.17,255.71,484.91,379.90,315.14,624.40,517.47,524.26,384.50,453.79,409.93,290.45,469.00,277.12,512.00,355.69,491.30,338.17,452.11,350.78,380.10,271.48,304.55,276.93,267.61,234.07,281.54,165.35,141.79,278.21,330.00,277.40,201.04,159.65,142.14,233.18,280.11,279.72,283.50,200.61,278.41,328.56,279.68,275.12
118.76,118.73,111.53,86.62,111.56,12.55,93.34,83.93,94.94,130.85,307.28,363.23,695.44,376.31,164.05,414.72,643.16,256.27,330.07,346.78,169.95,195.79,320.21,320.29,366.17,313.32,226.42,309.90,318.16,163.91,146.91,293.00,240.60,232.23,315.88,353.23,317.52,147.87,169.78,320.62,260.74,315.97,289.18,309.79,424.46,258.24,447.68,458.84,334.31,416.18,146.01,59.41,345.40,309.34,334.96,255.99,505.32,395.36,312.87,646.20,536.17,547.13,386.20,460.49,411.98,293.54,485.70,280.64,529.81,358.03,505.18,350.35,463.78,349.13,393.40,276.32,316.06,288.67,276.12,243.05,283.73,162.25,140.32,282.02,339.21,287.17,211.11,159.62,138.68,244.80,291.19,292.76,295.82,214.22,289.50,348.75,288.79,282.39
110.09,109.78,103.04,80.22,103.38,11.54,86.11,77.39,88.26,124.73,289.45,334.52,642.28,357.36,158.32,382.44,595.18,239.85,315.01,332.15,164.62,196.48,293.69,309.03,329.28,285.82,211.71,285.04,293.69,149.40,134.28,269.58,221.49,218.71,291.62,343.59,307.17,135.48,154.72,307.57,247.80,300.89,266.15,280.34,384.85,238.00,408.72,421.02,305.67,379.67,142.22,60.79,337.27,297.90,322.85,248.94,491.33,385.76,306.54,619.05,503.40,513.36,361.52,431.88,391.40,269.31,456.49,258.63,505.82,342.51,486.29,348.58,447.84,332.74,377.31,272.68,306.90,280.48,254.26,224.03,262.01,146.53,126.63,262.65,314.69,263.13,191.60,149.78,131.89,237.60,287.37,287.44,288.90,203.52,284.43,339.91,270.06,277.71
115.60,115.54,105.59,82.49,104.95,12.01,90.32,79.02,92.33,128.05,293.94,331.65,658.04,366.56,161.99,379.53,607.84,245.07,321.60,338.53,167.17,199.38,289.34,305.58,328.08,281.64,207.89,284.45,291.03,151.05,135.47,274.29,221.05,216.75,287.55,335.63,299.60,140.78,157.21,304.66,244.02,296.38,263.58,281.44,383.58,240.85,412.78,425.35,311.39,384.18,144.50,60.29,335.93,297.26,320.37,252.88,494.18,385.82,312.57,632.38,511.04,518.53,370.40,439.60,401.11,274.97,463.15,259.89,513.50,350.79,501.94,352.42,449.33,342.09,379.85,278.74,318.46,292.09,261.61,231.98,268.53,150.76,132.65,276.47,326.38,273.98,206.00,156.82,137.20,249.60,302.96,303.86,310.03,225.09,306.73,365.14,285.29,304.76
125.46,125.53,114.37,88.50,114.06,13.15,97.60,86.36,98.96,133.35,314.14,368.03,720.86,383.69,166.26,423.70,666.80,260.65,336.58,355.76,171.86,195.97,318.82,322.70,367.19,314.70,228.27,312.06,320.88,171.96,152.29,300.48,242.23,234.50,319.03,356.73,315.93,152.76,173.37,322.08,260.44,310.13,288.90,310.69,427.82,263.08,459.43,473.77,342.46,423.51,147.78,59.77,344.06,308.28,332.38,260.15,509.25,398.98,321.69,659.28,553.64,562.94,400.98,490.02,424.86,310.93,508.07,293.77,544.90,367.82,533.52,356.33,480.00,360.62,409.45,278.65,327.02,298.92,294.19,260.47,301.25,165.60,145.51,310.99,371.22,315.70,234.39,167.51,145.93,257.32,304.88,307.79,314.88,239.24,318.22,378.52,317.89,314.89
126.16,126.76,116.09,89.12,115.78,13.34,98.91,87.66,99.89,133.68,305.88,355.76,716.68,387.87,169.35,413.61,665.27,261.03,337.87,359.13,176.42,193.93,311.39,319.04,360.12,315.81,224.13,307.98,323.52,174.71,154.23,304.50,240.13,231.45,303.66,356.81,316.62,156.04,178.21,316.97,256.98,305.04,291.37,310.95,416.32,257.50,433.35,460.40,338.15,412.90,148.02,58.78,344.89,306.32,331.73,261.45,504.66,391.35,327.23,654.78,546.94,554.72,399.62,480.48,428.32,304.24,493.13,289.28,535.36,371.33,527.93,357.07,471.47,362.43,403.82,276.53,323.82,292.99,285.12,249.43,297.23,172.69,150.64,306.06,359.34,305.67,220.79,169.03,151.85,249.92,301.70,299.49,307.69,226.64,306.41,361.28,307.73,306.34
114.84,114.39,104.99,81.69,105.82,12.05,89.19,78.93,90.76,131.92,276.20,322.99,692.16,389.76,171.33,377.48,644.69,260.41,335.49,359.69,178.44,191.89,283.10,302.00,318.64,279.44,202.40,273.38,283.84,150.17,135.18,269.41,209.45,213.76,279.95,326.30,295.28,140.19,160.59,296.55,234.79,287.74,252.08,266.75,371.66,251.16,384.24,410.30,329.53,364.08,149.50,59.08,295.63,283.19,303.52,263.69,469.48,361.31,329.09,587.51,474.03,485.33,392.03,413.89,422.17,264.25,434.14,251.90,476.49,367.99,466.12,334.25,414.23,358.45,355.17,279.05,299.68,278.12,249.46,220.66,262.40,148.01,131.80,270.07,318.21,270.73,195.46,152.59,136.01,232.32,280.89,288.56,291.86,208.84,287.27,338.32,280.88,286.94
