" -F1180,S919+F4492,S4493"," -F1180,S919+F4494,S4495"," -F1180,S919+F4520,S4521"," -F1180,S919+F1094,S1093"," -F1180,S919+F4464,S4465"," -F1180,S919+F1187,S926"," -F1180,S919+F1293,S1034"," -F1180,S919+F814,S1072"," -F1180,S919+F1012,S1013"," -F1176,S1177+F4513,S4514"," -F1176,S1177+F929,S930"," -F4615,S4616+F1149,S1150"," -F4615,S4616+F956,S957"," -F4477,S4478+F1205,S1206"," -F4477,S4478+F900,S901"," -F4613,S4614+F1147,S1148"," -F4613,S4614+F958,S959"," -F4501,S4502+F1174,S1175"," -F4501,S4502+F931,S932"," -F4479,S4480+F1203,S1204"," -F4479,S4480+F902,S903"," -F914,S915+F1193,S1194"," -F4574,S4575+F1103,S1104"," -F4410,S4411+F842,S843"," -F4577,S4578+F1111,S1112"," -F4572,S4573+F1108,S1109"," -F4523,S4524+F1099,S1100"," -F4579,S4580+F1115,S1116"," -F4581,S4582+F1128,S1129"," -F4526,S4527+F1121,S1122"," -F4516,S4517+F1119,S1120"," -F4583,S4584+F1135,S1136"," -F4568,S4569+F1132,S1133"," -F4461,S4462+F839,S840"," -F4412,S4413+F847,S848"," -F4407,S4408+F851,S852"," -F4405,S4406+F854,S855"," -F4468,S4469+F860,S861"," -F4458,S4459+F862,S863"," -F4403,S4404+F868,S869"," -F4416,S4417+F871,S872"," -F4401,S4402+F875,S876"," -F4585,S4586+F1140,S1141"," -F4587,S4588+F1144,S1145"," -F4530,S4531+F1155,S1156"," -F4564,S4565+F1157,S1158"," -F4510,S4511+F1159,S1160"," -F4562,S4563+F1168,S1169"," -F4533,S4534+F1166,S1167"," -F4508,S4509+F1164,S1165"," -F4471,S4472+F912,S913"," -F4473,S4474+F892,S893"," -F4454,S4455+F894,S895"," -F4399,S4400+F880,S881"," -F4397,S4398+F883,S884"," -F4475,S4476+F896,S897"," -F4451,S4452+F908,S909"," -F4420,S4421+F906,S907"," -F4422,S4423+F910,S911"," -F4369,S4370+F1172,S1173"," -F4560,S4561+F937,S938"," -F4535,S4536+F939,S940"," -F4506,S4507+F941,S942"," -F4558,S4559+F948,S949"," -F4504,S4505+F946,S947"," -F4592,S4593+F1222,S1223"," -F4538,S4539+F950,S951"," -F4594,S4595+F1225,S1226"," -F4449,S4450+F1197,S1198"," -F4481,S4482+F1209,S1210"," -F4424,S4425+F1195,S1196"," -F4371,S4372+F933,S934"," -F4426,S4427+F1199,S1200"," -F4483,S4484+F1213,S1214"," -F4446,S4447+F1211,S1212"," -F4485,S4486+F1191,S1192"," -F4392,S4393+F961,S962"," -F4390,S4391+F965,S966"," -F4596,S4597+F1230,S1231"," -F4554,S4555+F1234,S1235"," -F4598,S4599+F1237,S1238"," -F4542,S4543+F1243,S1244"," -F4498,S4499+F1245,S1246"," -F4600,S4601+F1251,S1252"," -F4602,S4603+F1254,S1255"," -F4550,S4551+F1258,S1259"," -F4545,S4546+F1266,S1267"," -F4442,S4443+F984,S985"," -F4488,S4489+F986,S987"," -F4430,S4431+F973,S974"," -F4388,S4389+F970,S971"," -F4386,S4387+F977,S978"," -F4384,S4385+F990,S991"," -F4439,S4440+F1006,S1007"," -F4434,S4435+F997,S998"," -F4382,S4383+F994,S995"," -F4548,S4549+F1263,S1264"," -F4436,S4437+F1002,S1003"
125.69,125.85,119.35,91.55,118.92,13.25,98.82,89.33,100.55,148.35,290.20,363.92,791.60,421.87,178.73,416.94,737.31,289.35,369.17,392.34,188.69,201.04,317.51,304.31,359.93,309.73,217.37,307.95,314.07,177.32,158.00,290.99,234.00,218.12,298.11,335.69,301.13,155.78,181.85,306.89,244.26,293.82,283.97,304.19,407.07,286.21,421.83,450.88,375.86,392.99,163.82,61.12,328.89,288.75,315.34,276.79,477.37,375.31,349.28,612.60,507.89,513.48,441.80,435.14,467.74,284.63,458.18,273.52,498.69,404.08,476.63,344.80,432.29,390.27,363.39,297.58,294.76,272.41,269.59,232.73,276.26,175.67,154.47,278.42,331.51,281.67,196.39,166.03,144.41,227.96,272.80,274.94,281.56,200.14,270.15,329.78,275.48,269.34
124.29,124.39,117.77,89.84,117.57,13.28,97.69,88.10,99.30,142.34,297.19,363.65,761.79,414.77,178.66,430.58,708.65,279.14,356.87,385.35,188.95,195.31,321.77,311.03,366.28,319.22,226.99,305.94,317.91,169.51,152.06,297.22,237.53,222.59,304.58,348.84,309.24,153.94,179.56,312.44,246.20,300.26,285.44,301.72,422.11,276.85,429.09,463.94,361.21,399.36,160.58,60.89,336.29,290.61,319.88,276.49,490.15,381.49,351.16,614.23,508.65,516.89,422.54,439.44,449.72,290.87,458.75,278.10,511.24,391.78,484.05,341.75,438.93,377.33,372.81,289.27,297.11,273.15,263.83,237.06,278.20,165.70,144.16,281.44,333.08,284.48,197.72,165.79,145.59,231.88,275.22,281.40,286.72,207.52,287.63,341.41,283.61,281.25
119.21,119.00,111.80,85.71,111.60,12.66,93.39,83.59,94.89,137.01,289.07,348.29,716.31,387.17,170.44,407.57,663.99,266.62,341.47,358.54,178.95,191.83,310.65,309.61,342.80,305.40,218.04,291.93,305.73,160.94,145.31,279.48,224.30,223.78,302.82,342.18,301.32,146.59,169.02,304.12,244.44,293.74,272.18,289.71,397.32,262.47,420.04,437.25,342.49,387.33,153.27,58.78,326.70,290.91,314.33,260.90,481.20,379.75,327.89,612.86,503.59,513.22,398.02,429.61,424.04,276.88,456.65,265.53,500.72,369.10,482.62,339.86,439.47,354.12,373.37,280.35,298.56,275.78,258.21,228.77,266.97,157.86,138.36,262.59,318.67,276.45,194.97,159.91,138.97,233.18,276.23,280.24,287.67,204.08,280.58,332.62,271.35,278.52
117.47,117.53,110.76,86.02,110.70,12.43,92.55,83.20,93.74,129.63,281.85,354.93,687.21,371.62,161.42,412.50,634.86,253.76,330.15,345.34,168.32,192.63,303.84,304.06,343.71,299.86,214.44,292.15,303.07,166.53,150.24,278.40,222.27,217.81,297.86,339.17,297.66,144.83,167.26,304.37,241.49,294.17,271.90,292.41,395.78,251.99,409.89,445.77,327.27,388.80,144.79,58.55,323.74,289.85,315.04,252.04,473.33,372.82,309.35,599.10,502.55,506.93,384.51,433.10,408.27,282.49,454.37,270.45,493.28,354.58,472.76,337.89,432.03,342.91,366.39,273.29,297.24,274.97,265.66,231.90,274.57,162.77,142.89,276.27,326.76,279.69,194.54,159.59,137.27,229.90,278.15,277.14,282.06,195.43,273.58,327.18,273.65,273.31
117.88,118.37,111.66,85.94,111.51,12.55,92.78,83.35,94.65,131.17,290.13,345.22,688.19,370.26,163.84,408.71,637.68,255.39,328.99,336.79,168.58,193.29,305.22,317.89,343.02,302.57,217.37,296.04,306.62,168.25,148.88,284.80,228.24,225.05,304.20,348.15,309.69,145.71,170.44,310.39,251.21,303.39,281.00,294.80,400.15,255.48,418.51,446.04,331.01,396.22,143.70,59.43,338.34,302.71,327.77,254.14,495.39,386.33,317.96,629.82,512.90,521.07,384.10,440.04,406.17,283.18,462.49,271.23,507.14,353.49,489.93,350.70,450.89,345.93,376.25,273.11,309.02,283.40,265.59,232.74,273.93,161.75,141.55,279.06,335.07,280.32,197.20,158.55,139.65,235.14,286.02,283.74,287.85,198.28,280.03,333.13,284.49,276.55
116.31,117.33,110.55,85.13,110.08,12.40,91.86,82.65,93.83,128.27,289.75,358.38,663.52,364.71,163.17,421.24,614.47,247.37,323.23,337.37,169.38,195.54,305.96,300.03,352.40,305.09,215.95,297.93,306.07,165.02,148.93,287.61,227.37,210.97,290.74,332.03,297.75,143.39,166.84,302.01,240.15,293.98,279.53,301.46,400.26,247.09,414.31,446.28,319.57,389.84,145.80,60.90,327.01,292.29,315.10,256.06,473.13,373.58,312.28,606.83,504.19,512.01,373.44,436.50,399.37,282.24,453.60,270.46,496.10,348.98,474.55,339.14,436.03,337.77,369.12,276.90,296.13,269.90,265.28,232.31,273.92,156.28,137.46,273.26,324.88,275.77,191.87,158.07,138.74,223.60,272.64,270.66,280.43,197.19,271.10,319.51,278.94,272.95
123.01,123.10,112.43,86.76,112.38,12.91,96.21,84.26,97.68,131.50,298.78,362.71,684.38,374.40,165.42,426.07,633.65,252.23,330.27,346.65,172.04,195.36,300.44,294.09,351.51,304.70,216.53,301.56,312.24,167.98,151.28,299.10,232.80,211.75,288.26,328.52,294.21,146.88,169.78,300.82,242.81,292.78,283.97,305.08,411.49,252.34,426.30,457.79,325.73,402.37,148.42,60.65,329.86,292.76,319.87,259.24,489.97,380.18,318.79,627.79,530.25,532.99,383.19,463.93,411.24,298.75,475.85,283.55,513.90,360.13,501.98,346.75,448.02,347.76,386.22,279.60,312.69,288.09,283.47,248.72,290.18,162.66,146.73,300.97,353.97,300.03,211.91,166.96,145.23,239.91,289.91,292.61,302.88,223.13,301.55,352.79,307.45,300.86
126.99,127.10,116.05,89.00,115.74,13.36,98.90,87.03,100.17,132.77,294.48,352.45,704.76,370.74,163.30,417.59,649.98,259.46,333.35,345.47,170.99,191.42,302.19,318.64,347.25,305.27,217.98,296.73,307.36,175.72,153.63,291.21,225.86,228.16,305.29,350.63,309.55,153.51,176.90,317.40,255.67,310.18,279.83,295.56,401.44,259.50,423.35,448.02,340.45,399.09,145.73,59.00,342.60,305.57,330.48,256.92,508.37,394.91,323.07,645.81,527.53,535.61,389.57,460.69,415.40,297.41,473.42,276.36,521.04,360.51,515.81,359.71,459.46,350.56,388.49,274.19,322.21,294.45,279.36,244.41,290.35,166.81,149.16,301.55,363.49,309.17,219.50,167.71,148.20,246.96,299.36,301.58,308.10,220.08,303.98,360.56,313.98,304.18
124.45,124.76,114.68,88.07,114.71,12.77,97.07,85.90,98.83,134.44,291.06,360.54,723.02,391.45,168.81,421.54,675.76,261.68,340.77,363.05,176.44,191.62,305.40,308.61,348.86,302.98,215.08,294.48,308.60,171.10,154.07,283.63,228.38,223.14,302.97,348.59,302.25,149.52,172.19,310.69,247.35,299.63,278.09,298.72,411.54,262.80,426.02,460.63,343.22,401.42,147.41,59.23,335.05,295.37,318.46,261.38,493.15,386.98,325.44,623.95,523.20,527.46,406.94,457.76,433.76,297.08,474.87,278.54,511.26,374.87,503.04,345.43,451.47,365.93,386.45,275.42,313.96,289.22,280.69,248.20,291.36,168.35,151.85,299.39,350.28,303.75,213.45,168.48,145.83,245.05,293.99,292.89,301.25,222.01,300.49,352.97,299.91,300.10
125.95,125.48,114.73,88.07,114.83,13.01,97.95,86.14,99.29,138.66,298.67,356.73,734.96,399.60,171.48,417.27,684.08,271.22,345.16,369.70,181.17,190.01,312.81,313.36,350.64,309.89,221.64,297.50,311.29,163.26,147.21,292.28,230.68,226.91,309.21,352.72,306.32,149.58,171.90,314.52,251.61,300.60,279.71,301.06,412.10,269.93,437.71,452.70,353.86,405.55,154.17,59.14,336.64,299.84,324.60,266.01,499.78,389.15,334.63,634.66,520.70,532.32,408.75,455.04,435.19,289.10,471.96,273.57,517.48,377.44,509.70,345.98,459.63,368.69,388.63,282.15,315.07,289.85,271.09,242.76,280.70,163.72,147.85,288.93,344.85,300.86,211.31,167.76,144.84,246.75,294.17,299.33,304.58,225.05,305.13,359.89,295.88,303.63
